"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"PRY","Paraguay","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.16268","11.21697"
"PRY","Paraguay","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.23538","2.22806"
"PRY","Paraguay","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"BOL","Bolivia","2016","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.32890","6.54884"
"BOL","Bolivia","2016","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.16782","0.82704"
"BOL","Bolivia","2016","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"CHL","Chile","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.86586","4.86898"
"CHL","Chile","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.16877","7.68574"
"CHL","Chile","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"PER","Perú","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.75822","9.25808"
"PER","Perú","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.35474","1.87097"
"PER","Perú","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"PAN","Panamá","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.03653","26.44848"
"PAN","Panamá","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.06543","13.83677"
"PAN","Panamá","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.01005","0.13051"
"ARG","Argentina","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.68908","9.46907"
"ARG","Argentina","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.80618","4.62900"
"ARG","Argentina","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.90382","0.79431"
"MEX","México","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.62795","21.78562"
"MEX","México","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.55478","10.21596"
"MEX","México","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"BRA","Brasil","2024","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.42786","3.17218"
"BRA","Brasil","2024","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.93387","28.32360"
"BRA","Brasil","2024","Otros","Ingreso no percibido (Revenue Forgone)","0.00051","0.00361"
"CRI","Costa Rica","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.39596","15.49002"
"CRI","Costa Rica","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.22897","14.41043"
"CRI","Costa Rica","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
"ECU","Ecuador","2023","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","3.21912","19.36355"
"ECU","Ecuador","2023","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.48232","9.40323"
"ECU","Ecuador","2023","Otros","Ingreso no percibido (Revenue Forgone)","0.06640","0.43781"
"Países miembros de OCDE","Países OCDE","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.23000","0.00000"
"Países miembros de OCDE","Países OCDE","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.43000","0.00000"
"Países miembros de OCDE","Países OCDE","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.21000","0.00000"
"Mundo","Mundo","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.99000","0.00000"
"Mundo","Mundo","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.72000","0.00000"
"Mundo","Mundo","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.18000","0.00000"
"América Latina y el Caribe","A. Latina y el Caribe","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.33000","0.00000"
"América Latina y el Caribe","A. Latina y el Caribe","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.84000","0.00000"
"América Latina y el Caribe","A. Latina y el Caribe","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.27000","0.00000"
"URY","Uruguay","2023","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","3.09515","10.99428"
"URY","Uruguay","2023","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.19806","8.11981"
"URY","Uruguay","2023","Otros","Ingreso no percibido (Revenue Forgone)","1.48969","5.25768"
"COL","Colombia","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","5.25587","35.61801"
"COL","Colombia","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.51783","23.83962"
"COL","Colombia","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00000"
