"anio","indicador","valor"
"1941","Asistencia monetaria","3.93662"
"1941","Déficit fiscal","-2.61354"
"1942","Asistencia monetaria","2.22253"
"1942","Déficit fiscal","-2.65187"
"1943","Asistencia monetaria","2.20761"
"1943","Déficit fiscal","-3.54064"
"1944","Asistencia monetaria","3.35123"
"1944","Déficit fiscal","-4.23679"
"1945","Asistencia monetaria","2.18122"
"1945","Déficit fiscal","-4.82975"
"1946","Asistencia monetaria","1.22361"
"1946","Déficit fiscal","-3.79804"
"1947","Asistencia monetaria","6.22567"
"1947","Déficit fiscal","-1.47327"
"1948","Asistencia monetaria","7.17735"
"1948","Déficit fiscal","-2.51327"
"1949","Asistencia monetaria","4.15376"
"1949","Déficit fiscal","-3.67644"
"1950","Asistencia monetaria","0.82759"
"1950","Déficit fiscal","-3.12154"
"1951","Asistencia monetaria","0.56473"
"1951","Déficit fiscal","-3.21060"
"1952","Asistencia monetaria","0.80972"
"1952","Déficit fiscal","-2.76675"
"1953","Asistencia monetaria","2.20987"
"1953","Déficit fiscal","-2.87832"
"1954","Asistencia monetaria","2.88166"
"1954","Déficit fiscal","-2.98199"
"1955","Asistencia monetaria","2.27622"
"1955","Déficit fiscal","-3.47718"
"1956","Asistencia monetaria","0.83061"
"1956","Déficit fiscal","-3.48008"
"1957","Asistencia monetaria","-6.19200"
"1957","Déficit fiscal","-2.52403"
"1958","Asistencia monetaria","1.75222"
"1958","Déficit fiscal","-6.09457"
"1959","Asistencia monetaria","-0.03448"
"1959","Déficit fiscal","-4.45998"
"1960","Asistencia monetaria","0.34877"
"1960","Déficit fiscal","-1.82671"
"1961","Asistencia monetaria","0.31331"
"1961","Déficit fiscal","1.61573"
"1962","Asistencia monetaria","0.33419"
"1962","Déficit fiscal","-2.70384"
"1963","Asistencia monetaria","0.95539"
"1963","Déficit fiscal","-2.70635"
"1964","Asistencia monetaria","1.29930"
"1964","Déficit fiscal","-3.15270"
"1965","Asistencia monetaria","1.12590"
"1965","Déficit fiscal","-1.31862"
"1966","Asistencia monetaria","0.22172"
"1966","Déficit fiscal","-2.97030"
"1967","Asistencia monetaria","0.78901"
"1967","Déficit fiscal","-1.11612"
"1968","Asistencia monetaria","0.41867"
"1968","Déficit fiscal","-1.70779"
"1969","Asistencia monetaria","0.42970"
"1969","Déficit fiscal","-1.17597"
"1970","Asistencia monetaria","0.43749"
"1970","Déficit fiscal","-0.66370"
"1971","Asistencia monetaria","0.04695"
"1971","Déficit fiscal","-1.71814"
"1972","Asistencia monetaria","1.04078"
"1972","Déficit fiscal","-2.19175"
"1973","Asistencia monetaria","1.67412"
"1973","Déficit fiscal","-4.21894"
"1974","Asistencia monetaria","1.20246"
"1974","Déficit fiscal","-4.74298"
"1975","Asistencia monetaria","2.47234"
"1975","Déficit fiscal","-8.83419"
"1976","Asistencia monetaria","1.73769"
"1976","Déficit fiscal","-7.22824"
"1977","Asistencia monetaria","2.50033"
"1977","Déficit fiscal","-3.07330"
"1978","Asistencia monetaria","3.07417"
"1978","Déficit fiscal","-3.45951"
"1979","Asistencia monetaria","3.68469"
"1979","Déficit fiscal","-2.76182"
"1980","Asistencia monetaria","1.80989"
"1980","Déficit fiscal","-3.45012"
"1981","Asistencia monetaria","6.49105"
"1981","Déficit fiscal","-6.72747"
"1982","Asistencia monetaria","7.54692"
"1982","Déficit fiscal","-6.95090"
"1983","Asistencia monetaria","5.36065"
"1983","Déficit fiscal","-10.25747"
"1984","Asistencia monetaria","11.75595"
"1984","Déficit fiscal","-5.88117"
"1985","Asistencia monetaria","23.53773"
"1985","Déficit fiscal","-3.13230"
"1986","Asistencia monetaria","12.79679"
"1986","Déficit fiscal","-3.43314"
"1987","Asistencia monetaria","26.13144"
"1987","Déficit fiscal","-6.07946"
"1988","Asistencia monetaria","26.98372"
"1988","Déficit fiscal","-4.10000"
"1989","Asistencia monetaria","52.93640"
"1989","Déficit fiscal","-2.82867"
"1990","Asistencia monetaria","15.34850"
"1990","Déficit fiscal","-1.42549"
"1991","Asistencia monetaria","4.94245"
"1991","Déficit fiscal","-0.61093"
"1992","Asistencia monetaria","-0.56193"
"1992","Déficit fiscal","-0.44741"
"1993","Asistencia monetaria","1.84598"
"1993","Déficit fiscal","1.06511"
"1994","Asistencia monetaria","-1.65988"
"1994","Déficit fiscal","-0.03020"
"1995","Asistencia monetaria","1.62678"
"1995","Déficit fiscal","-0.49040"
"1996","Asistencia monetaria","0.88519"
"1996","Déficit fiscal","-1.86935"
"1997","Asistencia monetaria","0.59262"
