"geocodigoFundar","geonombreFundar","anio","categoria","porcentaje_pbi","porcentaje_total"
"ARG","Argentina","2024","A los bienes y servicios","15.16176","54.88016"
"ARG","Argentina","2024","Al ingreso","4.48173","16.22225"
"ARG","Argentina","2024","A los salarios y la mano de obra","0.00000","0.00000"
"ARG","Argentina","2024","A la propiedad","0.65723","2.37895"
"ARG","Argentina","2024","Seguridad social","5.13959","18.60349"
"ARG","Argentina","2024","Otros","2.18672","7.91515"
"PRY","Paraguay","2024","A los bienes y servicios","8.22290","52.18789"
"PRY","Paraguay","2024","Al ingreso","3.17920","20.17728"
"PRY","Paraguay","2024","A los salarios y la mano de obra","0.00000","0.00000"
"PRY","Paraguay","2024","A la propiedad","0.17194","1.09126"
"PRY","Paraguay","2024","Seguridad social","3.93454","24.97117"
"PRY","Paraguay","2024","Otros","0.24775","1.57239"
"BOL","Bolivia","2024","A los bienes y servicios","11.85751","50.23310"
"BOL","Bolivia","2024","Al ingreso","2.76359","11.70765"
"BOL","Bolivia","2024","A los salarios y la mano de obra","0.00000","0.00000"
"BOL","Bolivia","2024","A la propiedad","0.05232","0.22167"
"BOL","Bolivia","2024","Seguridad social","5.80693","24.60044"
"BOL","Bolivia","2024","Otros","3.12463","13.23713"
"LAC","América Latina y el Caribe","2024","A los bienes y servicios","10.70702","49.15780"
"LAC","América Latina y el Caribe","2024","Al ingreso","6.22196","29.09020"
"LAC","América Latina y el Caribe","2024","A los salarios y la mano de obra","0.21790","0.91752"
"LAC","América Latina y el Caribe","2024","A la propiedad","0.43710","1.97428"
"LAC","América Latina y el Caribe","2024","Seguridad social","3.49273","15.89330"
"LAC","América Latina y el Caribe","2024","Otros","0.77275","3.53452"
"PER","Perú","2024","A los bienes y servicios","7.27710","44.74163"
"PER","Perú","2024","Al ingreso","5.85805","36.01692"
"PER","Perú","2024","A los salarios y la mano de obra","0.01140","0.07010"
"PER","Perú","2024","A la propiedad","0.75108","4.61789"
"PER","Perú","2024","Seguridad social","1.82811","11.23975"
"PER","Perú","2024","Otros","0.53897","3.31371"
"BRA","Brasil","2024","A los bienes y servicios","14.38155","42.70371"
"BRA","Brasil","2024","Al ingreso","9.06200","26.90816"
"BRA","Brasil","2024","A los salarios y la mano de obra","0.56516","1.67815"
"BRA","Brasil","2024","A la propiedad","0.79507","2.36084"
"BRA","Brasil","2024","Seguridad social","8.08703","24.01314"
"BRA","Brasil","2024","Otros","0.78670","2.33599"
"COL","Colombia","2024","A los bienes y servicios","8.40562","42.31183"
"COL","Colombia","2024","Al ingreso","6.87446","34.60435"
"COL","Colombia","2024","A los salarios y la mano de obra","0.32667","1.64440"
"COL","Colombia","2024","A la propiedad","0.81761","4.11568"
"COL","Colombia","2024","Seguridad social","1.69727","8.54364"
"COL","Colombia","2024","Otros","1.74425","8.78010"
"URY","Uruguay","2024","A los bienes y servicios","10.63499","39.02624"
"URY","Uruguay","2024","Al ingreso","6.93994","25.46688"
"URY","Uruguay","2024","A los salarios y la mano de obra","0.00000","0.00000"
"URY","Uruguay","2024","A la propiedad","1.92736","7.07265"
"URY","Uruguay","2024","Seguridad social","7.39504","27.13691"
"URY","Uruguay","2024","Otros","0.35353","1.29731"
"MEX","México","2024","A los bienes y servicios","6.61968","36.21249"
"MEX","México","2024","Al ingreso","7.93339","43.39900"
"MEX","México","2024","A los salarios y la mano de obra","0.55660","3.04481"
"MEX","México","2024","A la propiedad","0.19547","1.06931"
"MEX","México","2024","Seguridad social","2.51332","13.74892"
"MEX","México","2024","Otros","0.46165","2.52546"
"CRI","Costa Rica","2024","A los bienes y servicios","8.42083","33.90016"
"CRI","Costa Rica","2024","Al ingreso","4.92313","19.81931"
"CRI","Costa Rica","2024","A los salarios y la mano de obra","1.50177","6.04574"
"CRI","Costa Rica","2024","A la propiedad","0.35047","1.41092"
"CRI","Costa Rica","2024","Seguridad social","9.03503","36.37281"
"CRI","Costa Rica","2024","Otros","0.60885","2.45107"
"OECD","Países OCDE","2023","A los bienes y servicios","10.38027","31.23938"
"OECD","Países OCDE","2023","Al ingreso","12.21427","36.35934"
"OECD","Países OCDE","2023","A los salarios y la mano de obra","0.46476","1.33570"
"OECD","Países OCDE","2023","A la propiedad","1.31056","3.91620"
"OECD","Países OCDE","2023","Seguridad social","8.82912","25.46347"
"OECD","Países OCDE","2023","Otros","0.53247","1.68592"
