"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"LUX","Luxemburgo","2018","Paying Taxes score","87.40000"
"LBN","Líbano","2018","Paying Taxes score","67.50000"
"MKD","Macedonia del Norte","2018","Paying Taxes score","84.70000"
"MDG","Madagascar","2018","Paying Taxes score","62.60000"
"MYS","Malasia","2018","Paying Taxes score","76.00000"
"MWI","Malawi","2018","Paying Taxes score","62.40000"
"MDV","Maldivas","2018","Paying Taxes score","66.40000"
"MLT","Malta","2018","Paying Taxes score","76.20000"
"MLI","Malí","2018","Paying Taxes score","48.90000"
"MAR","Marruecos","2018","Paying Taxes score","87.20000"
"MUS","Mauricio","2018","Paying Taxes score","94.00000"
"MRT","Mauritania","2018","Paying Taxes score","42.60000"
"FSM","Micronesia","2018","Paying Taxes score","68.80000"
"MDA","Moldavia","2018","Paying Taxes score","85.20000"
"MNG","Mongolia","2018","Paying Taxes score","77.30000"
"MNE","Montenegro","2018","Paying Taxes score","76.70000"
"MOZ","Mozambique","2018","Paying Taxes score","64.00000"
"MMR","Myanmar","2018","Paying Taxes score","63.90000"
"MEX","México","2018","Paying Taxes score","65.80000"
"NAM","Namibia","2018","Paying Taxes score","74.50000"
"NPL","Nepal","2018","Paying Taxes score","47.10000"
"NIC","Nicaragua","2018","Paying Taxes score","52.70000"
"NGA","Nigeria","2018","Paying Taxes score","53.70000"
"NOR","Noruega","2018","Paying Taxes score","85.10000"
"NZL","Nueva Zelanda","2018","Paying Taxes score","91.00000"
"NER","Níger","2018","Paying Taxes score","49.40000"
"OMN","Omán","2018","Paying Taxes score","90.20000"
"MEA","Oriente Medio y África del Norte","2018","Paying Taxes score","75.10000"
"PAK","Pakistán","2018","Paying Taxes score","52.90000"
"PLW","Palau","2018","Paying Taxes score","68.50000"
"PAN","Panamá","2018","Paying Taxes score","46.70000"
"PNG","Papúa Nueva Guinea","2018","Paying Taxes score","67.20000"
"PRY","Paraguay","2018","Paying Taxes score","64.10000"
"NLD","Países Bajos","2018","Paying Taxes score","87.40000"
"","Países de ingresos altos OCDE","2018","Paying Taxes score","84.30000"
"PER","Perú","2018","Paying Taxes score","65.80000"
"POL","Polonia","2018","Paying Taxes score","76.40000"
"PRT","Portugal","2018","Paying Taxes score","83.70000"
"PRI","Puerto Rico","2018","Paying Taxes score","52.00000"
"QAT","Qatar","2018","Paying Taxes score","99.40000"
"GBR","Reino Unido","2018","Paying Taxes score","86.20000"
"CAF","Rep. Centroafricana","2018","Paying Taxes score","18.90000"
"COD","Rep. Dem. Congo","2018","Paying Taxes score","40.90000"
"DOM","Rep. Dominicana","2018","Paying Taxes score","57.40000"
"RWA","Ruanda","2018","Paying Taxes score","84.60000"
"ROU","Rumania","2018","Paying Taxes score","85.20000"
"RUS","Rusia","2018","Paying Taxes score","80.50000"
"KNA","Saint Kitts y Nevis","2018","Paying Taxes score","64.40000"
"WSM","Samoa","2018","Paying Taxes score","75.70000"
"SMR","San Marino","2018","Paying Taxes score","82.00000"
"LCA","Santa Lucía","2018","Paying Taxes score","75.50000"
"STP","Santo Tomé y Príncipe","2018","Paying Taxes score","61.80000"
"SEN","Senegal","2018","Paying Taxes score","51.20000"
"SRB","Serbia","2018","Paying Taxes score","75.30000"
"SYC","Seychelles","2018","Paying Taxes score","84.70000"
"SLE","Sierra Leona","2018","Paying Taxes score","73.00000"
"SGP","Singapur","2018","Paying Taxes score","91.60000"
"SYR","Siria","2018","Paying Taxes score","74.00000"
"SOM","Somalia","2018","Paying Taxes score","0.00000"
"LKA","Sri Lanka","2018","Paying Taxes score","59.80000"
"ZAF","Sudáfrica","2018","Paying Taxes score","81.20000"
"SDN","Sudán","2018","Paying Taxes score","51.80000"
"SSD","Sudán del Sur","2018","Paying Taxes score","76.70000"
"SWE","Suecia","2018","Paying Taxes score","85.30000"
"CHE","Suiza","2018","Paying Taxes score","87.70000"
"SUR","Suriname","2018","Paying Taxes score","69.40000"
"THA","Tailandia","2018","Paying Taxes score","77.70000"
"TWN","Taiwán","2018","Paying Taxes score","84.30000"
"TZA","Tanzanía","2018","Paying Taxes score","51.30000"
"TJK","Tayikistán","2018","Paying Taxes score","60.90000"
"TLS","Timor-Leste","2018","Paying Taxes score","61.90000"
"TGO","Togo","2018","Paying Taxes score","47.30000"
"TON","Tonga","2018","Paying Taxes score","70.60000"
"TTO","Trinidad y Tobago","2018","Paying Taxes score","53.50000"
"TUR","Turquía","2018","Paying Taxes score","86.60000"
"TUN","Túnez","2018","Paying Taxes score","69.40000"
"UKR","Ucrania","2018","Paying Taxes score","78.10000"
"UGA","Uganda","2018","Paying Taxes score","73.10000"
"URY","Uruguay","2018","Paying Taxes score","70.30000"
"UZB","Uzbekistán","2018","Paying Taxes score","77.50000"
"VUT","Vanuatu","2018","Paying Taxes score","77.80000"
"VEN","Venezuela","2018","Paying Taxes score","11.40000"
"VNM","Vietnam","2018","Paying Taxes score","69.00000"
"YEM","Yemen","2018","Paying Taxes score","74.10000"
"ZMB","Zambia","2018","Paying Taxes score","88.90000"
"ZWE","Zimbabwe","2018","Paying Taxes score","58.70000"
"SSF","África Subsahariana","2018","Paying Taxes score","57.80000"
