"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AR-B","Buenos Aires","2023","Porcentaje del PBG","4.71096"
"AR-C","CABA","2023","Porcentaje del PBG","7.26360"
"AR-K","Catamarca","2023","Porcentaje del PBG","3.83864"
"AR-H","Chaco","2023","Porcentaje del PBG","3.11947"
"AR-U","Chubut","2023","Porcentaje del PBG","3.74237"
"AR-W","Corrientes","2023","Porcentaje del PBG","3.24798"
"AR-X","Córdoba","2023","Porcentaje del PBG","4.15776"
"AR-E","Entre Ríos","2023","Porcentaje del PBG","3.50213"
"AR-P","Formosa","2023","Porcentaje del PBG","3.80287"
"AR-Y","Jujuy","2023","Porcentaje del PBG","3.20067"
"AR-L","La Pampa","2023","Porcentaje del PBG","4.50478"
"AR-F","La Rioja","2023","Porcentaje del PBG","2.63282"
"AR-M","Mendoza","2023","Porcentaje del PBG","5.25254"
"AR-N","Misiones","2023","Porcentaje del PBG","11.67639"
"AR-Q","Neuquén","2023","Porcentaje del PBG","4.66411"
"AR-R","Río Negro","2023","Porcentaje del PBG","4.17519"
"AR-A","Salta","2023","Porcentaje del PBG","5.27629"
"AR-J","San Juan","2023","Porcentaje del PBG","2.45015"
"AR-D","San Luis","2023","Porcentaje del PBG","3.85653"
"AR-Z","Santa Cruz","2023","Porcentaje del PBG","3.52505"
"AR-S","Santa Fe","2023","Porcentaje del PBG","4.35309"
"AR-G","Santiago del Estero","2023","Porcentaje del PBG","1.77045"
"AR-V","Tierra del Fuego","2023","Porcentaje del PBG","2.94561"
"ARG","Total","2023","Porcentaje del PBG","4.99942"
"AR-T","Tucumán","2023","Porcentaje del PBG","6.06467"
