"decil","categoria","indicador","valor"
"1","Ganancias personales y corporativas","Presión tributaria media","0.80000"
"1","Aportes y contribuciones a la seguridad social","Presión tributaria media","5.00000"
"1","IVA","Presión tributaria media","16.70000"
"1","Otros impuestos indirectos","Presión tributaria media","5.00000"
"1","En cascada","Presión tributaria media","8.30000"
"2","Ganancias personales y corporativas","Presión tributaria media","1.20000"
"2","Aportes y contribuciones a la seguridad social","Presión tributaria media","7.50000"
"2","IVA","Presión tributaria media","12.20000"
"2","Otros impuestos indirectos","Presión tributaria media","3.50000"
"2","En cascada","Presión tributaria media","6.40000"
"3","Ganancias personales y corporativas","Presión tributaria media","1.30000"
"3","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.00000"
"3","IVA","Presión tributaria media","10.20000"
"3","Otros impuestos indirectos","Presión tributaria media","3.00000"
"3","En cascada","Presión tributaria media","5.30000"
"4","Ganancias personales y corporativas","Presión tributaria media","1.50000"
"4","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.40000"
"4","IVA","Presión tributaria media","9.40000"
"4","Otros impuestos indirectos","Presión tributaria media","2.80000"
"4","En cascada","Presión tributaria media","4.90000"
"5","Ganancias personales y corporativas","Presión tributaria media","1.40000"
"5","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.20000"
"5","IVA","Presión tributaria media","8.80000"
"5","Otros impuestos indirectos","Presión tributaria media","2.60000"
"5","En cascada","Presión tributaria media","4.60000"
"6","Ganancias personales y corporativas","Presión tributaria media","1.50000"
"6","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.00000"
"6","IVA","Presión tributaria media","8.60000"
"6","Otros impuestos indirectos","Presión tributaria media","2.50000"
"6","En cascada","Presión tributaria media","4.50000"
"7","Ganancias personales y corporativas","Presión tributaria media","1.70000"
"7","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.20000"
"7","IVA","Presión tributaria media","8.20000"
"7","Otros impuestos indirectos","Presión tributaria media","2.40000"
"7","En cascada","Presión tributaria media","4.20000"
"8","Ganancias personales y corporativas","Presión tributaria media","2.20000"
"8","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.40000"
"8","IVA","Presión tributaria media","7.80000"
"8","Otros impuestos indirectos","Presión tributaria media","2.20000"
"8","En cascada","Presión tributaria media","4.00000"
"9","Ganancias personales y corporativas","Presión tributaria media","3.00000"
"9","Aportes y contribuciones a la seguridad social","Presión tributaria media","8.40000"
"9","IVA","Presión tributaria media","7.10000"
"9","Otros impuestos indirectos","Presión tributaria media","2.00000"
"9","En cascada","Presión tributaria media","3.70000"
"10","Ganancias personales y corporativas","Presión tributaria media","9.00000"
"10","Aportes y contribuciones a la seguridad social","Presión tributaria media","7.00000"
"10","IVA","Presión tributaria media","5.00000"
"10","Otros impuestos indirectos","Presión tributaria media","1.30000"
"10","En cascada","Presión tributaria media","2.60000"
