"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"DEU","Alemania","2018","Paying Taxes score","82.20000"
"LCN","América Latina y el Caribe","2018","Paying Taxes score","60.50000"
"ARG","Argentina","2018","Paying Taxes score","49.30000"
"F5303","Asia del Sur","2018","Paying Taxes score","60.20000"
"APA","Asia y el Pacífico","2018","Paying Taxes score","73.60000"
"AUS","Australia","2018","Paying Taxes score","85.70000"
"BOL","Bolivia","2018","Paying Taxes score","21.60000"
"BRA","Brasil","2018","Paying Taxes score","34.40000"
"CAN","Canadá","2018","Paying Taxes score","88.10000"
"CHL","Chile","2018","Paying Taxes score","75.30000"
"COL","Colombia","2018","Paying Taxes score","58.60000"
"CRI","Costa Rica","2018","Paying Taxes score","78.00000"
"ECU","Ecuador","2018","Paying Taxes score","58.60000"
"ESP","España","2018","Paying Taxes score","84.70000"
"USA","Estados Unidos","2018","Paying Taxes score","86.80000"
"ECS","Europa y Asia Central","2018","Paying Taxes score","77.90000"
"FRA","Francia","2018","Paying Taxes score","79.20000"
"ITA","Italia","2018","Paying Taxes score","64.00000"
"JPN","Japón","2018","Paying Taxes score","81.60000"
"MEX","México","2018","Paying Taxes score","65.80000"
"MEA","Oriente Medio y África del Norte","2018","Paying Taxes score","75.10000"
"PAN","Panamá","2018","Paying Taxes score","46.70000"
"PRY","Paraguay","2018","Paying Taxes score","64.10000"
"","Países de ingresos altos OCDE","2018","Paying Taxes score","84.30000"
"PER","Perú","2018","Paying Taxes score","65.80000"
"PRT","Portugal","2018","Paying Taxes score","83.70000"
"GBR","Reino Unido","2018","Paying Taxes score","86.20000"
"URY","Uruguay","2018","Paying Taxes score","70.30000"
"VEN","Venezuela","2018","Paying Taxes score","11.40000"
"SSF","África Subsahariana","2018","Paying Taxes score","57.80000"
