"geocodigoFundar","geonombreFundar","anio","impuesto","categoria","valor"
"ARG","Argentina","2021-2023","IRE","Eficiencia","27.20000"
"ARG","Argentina","2021-2023","IRE","Ineficiencia GT","3.20000"
"ARG","Argentina","2021-2023","IRE","Ineficiencia X","69.60000"
"BOL","Bolivia","2021-2023","IRE","Eficiencia","33.00000"
"BOL","Bolivia","2021-2023","IRE","Ineficiencia GT","5.70000"
"BOL","Bolivia","2021-2023","IRE","Ineficiencia X","61.40000"
"BRA","Brasil","2021-2023","IRE","Eficiencia","40.40000"
"BRA","Brasil","2021-2023","IRE","Ineficiencia GT","16.20000"
"BRA","Brasil","2021-2023","IRE","Ineficiencia X","43.40000"
"CHL","Chile","2021-2023","IRE","Eficiencia","49.90000"
"CHL","Chile","2021-2023","IRE","Ineficiencia GT","13.40000"
"CHL","Chile","2021-2023","IRE","Ineficiencia X","36.70000"
"COL","Colombia","2021-2023","IRE","Eficiencia","44.90000"
"COL","Colombia","2021-2023","IRE","Ineficiencia GT","11.10000"
"COL","Colombia","2021-2023","IRE","Ineficiencia X","44.00000"
"CRI","Costa Rica","2021-2023","IRE","Eficiencia","41.40000"
"CRI","Costa Rica","2021-2023","IRE","Ineficiencia GT","17.50000"
"CRI","Costa Rica","2021-2023","IRE","Ineficiencia X","41.10000"
"ECU","Ecuador","2021-2023","IRE","Eficiencia","46.20000"
"ECU","Ecuador","2021-2023","IRE","Ineficiencia GT","12.20000"
"ECU","Ecuador","2021-2023","IRE","Ineficiencia X","41.60000"
"SLV","El Salvador","2021-2023","IRE","Eficiencia","55.30000"
"SLV","El Salvador","2021-2023","IRE","Ineficiencia GT","16.30000"
"SLV","El Salvador","2021-2023","IRE","Ineficiencia X","28.40000"
"GTM","Guatemala","2021-2023","IRE","Eficiencia","26.00000"
"GTM","Guatemala","2021-2023","IRE","Ineficiencia GT","7.10000"
"GTM","Guatemala","2021-2023","IRE","Ineficiencia X","66.90000"
"HND","Honduras","2021-2023","IRE","Eficiencia","34.20000"
"HND","Honduras","2021-2023","IRE","Ineficiencia GT","17.10000"
"HND","Honduras","2021-2023","IRE","Ineficiencia X","48.70000"
"JAM","Jamaica","2021-2023","IRE","Eficiencia","53.20000"
"JAM","Jamaica","2021-2023","IRE","Ineficiencia GT","0.90000"
"JAM","Jamaica","2021-2023","IRE","Ineficiencia X","45.90000"
"MEX","México","2021-2023","IRE","Eficiencia","54.20000"
"MEX","México","2021-2023","IRE","Ineficiencia GT","3.90000"
"MEX","México","2021-2023","IRE","Ineficiencia X","41.90000"
"NIC","Nicaragua","2021-2023","IRE","Eficiencia","47.10000"
"NIC","Nicaragua","2021-2023","IRE","Ineficiencia GT","8.90000"
"NIC","Nicaragua","2021-2023","IRE","Ineficiencia X","44.00000"
"PAN","Panamá","2021-2023","IRE","Eficiencia","20.60000"
"PAN","Panamá","2021-2023","IRE","Ineficiencia GT","13.70000"
"PAN","Panamá","2021-2023","IRE","Ineficiencia X","65.70000"
"PRY","Paraguay","2021-2023","IRE","Eficiencia","65.60000"
"PRY","Paraguay","2021-2023","IRE","Ineficiencia GT","5.80000"
"PRY","Paraguay","2021-2023","IRE","Ineficiencia X","28.60000"
"PER","Perú","2021-2023","IRE","Eficiencia","36.20000"
"PER","Perú","2021-2023","IRE","Ineficiencia GT","1.40000"
"PER","Perú","2021-2023","IRE","Ineficiencia X","62.40000"
"","Promedio","2021-2023","IRE","Eficiencia","41.40000"
"","Promedio","2021-2023","IRE","Ineficiencia GT","10.00000"
"","Promedio","2021-2023","IRE","Ineficiencia X","48.60000"
"DOM","Rep. Dominicana","2021-2023","IRE","Eficiencia","34.30000"
"DOM","Rep. Dominicana","2021-2023","IRE","Ineficiencia GT","6.50000"
"DOM","Rep. Dominicana","2021-2023","IRE","Ineficiencia X","59.20000"
"URY","Uruguay","2021-2023","IRE","Eficiencia","36.20000"
"URY","Uruguay","2021-2023","IRE","Ineficiencia GT","18.80000"
"URY","Uruguay","2021-2023","IRE","Ineficiencia X","45.00000"
