"geocodigoFundar","geonombreFundar","anio","categoria","porcentaje_pbi","porcentaje_total"
"BOL","Bolivia","2024","Al ingreso de personas físicas","0.30127","1.27631"
"BOL","Bolivia","2024","Al ingreso de empresas","2.46231","10.43134"
"BOL","Bolivia","2024","No asignable entre personas físicas y empresas","0.00000","0.00000"
"ARG","Argentina","2024","Al ingreso de personas físicas","1.46565","5.30514"
"ARG","Argentina","2024","Al ingreso de empresas","2.72591","9.86681"
"ARG","Argentina","2024","No asignable entre personas físicas y empresas","0.29017","1.05030"
"CRI","Costa Rica","2024","Al ingreso de personas físicas","1.46090","5.88122"
"CRI","Costa Rica","2024","Al ingreso de empresas","2.28158","9.18505"
"CRI","Costa Rica","2024","No asignable entre personas físicas y empresas","1.18066","4.75303"
"PRY","Paraguay","2024","Al ingreso de personas físicas","0.15020","0.95328"
"PRY","Paraguay","2024","Al ingreso de empresas","3.02900","19.22400"
"PRY","Paraguay","2024","No asignable entre personas físicas y empresas","0.00000","0.00000"
"URY","Uruguay","2024","Al ingreso de personas físicas","3.87617","14.22403"
"URY","Uruguay","2024","Al ingreso de empresas","2.63881","9.68339"
"URY","Uruguay","2024","No asignable entre personas físicas y empresas","0.42497","1.55947"
"BRA","Brasil","2024","Al ingreso de personas físicas","3.25122","9.65398"
"BRA","Brasil","2024","Al ingreso de empresas","3.70929","11.01416"
"BRA","Brasil","2024","No asignable entre personas físicas y empresas","2.10148","6.24002"
"LAC","América Latina y el Caribe","2024","Al ingreso de personas físicas","2.08148","9.60650"
"LAC","América Latina y el Caribe","2024","Al ingreso de empresas","3.64273","17.37641"
"LAC","América Latina y el Caribe","2024","No asignable entre personas físicas y empresas","0.53597","2.29204"
"COL","Colombia","2024","Al ingreso de personas físicas","1.49829","7.54201"
"COL","Colombia","2024","Al ingreso de empresas","5.37617","27.06234"
"COL","Colombia","2024","No asignable entre personas físicas y empresas","0.00000","0.00000"
"PER","Perú","2024","Al ingreso de personas físicas","1.77179","10.89347"
"PER","Perú","2024","Al ingreso de empresas","3.75445","23.08341"
"PER","Perú","2024","No asignable entre personas físicas y empresas","0.33181","2.04003"
"OECD","Países OCDE","2023","Al ingreso de personas físicas","8.22191","23.73639"
"OECD","Países OCDE","2023","Al ingreso de empresas","3.75478","11.86088"
"OECD","Países OCDE","2023","No asignable entre personas físicas y empresas","0.23758","0.76207"
"CHL","Chile","2024","Al ingreso de personas físicas","2.25603","11.01608"
"CHL","Chile","2024","Al ingreso de empresas","4.25306","20.76746"
"CHL","Chile","2024","No asignable entre personas físicas y empresas","0.94788","4.62845"
"MEX","México","2024","Al ingreso de personas físicas","3.92604","21.47714"
"MEX","México","2024","Al ingreso de empresas","3.74789","20.50256"
"MEX","México","2024","No asignable entre personas físicas y empresas","0.25945","1.41930"
