"geocodigoFundar","geonombreFundar","anio","categoria","porcentaje_pbi","porcentaje_total"
"BOL","Bolivia","2024","A los bienes inmuebles","0.00000","0.00000"
"BOL","Bolivia","2024","Al patrimonio neto","0.05233","0.22167"
"BOL","Bolivia","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"BOL","Bolivia","2024","A los automotores","0.00000","0.00000"
"BOL","Bolivia","2024","Otros a la propiedad","0.00000","0.00000"
"LAC","A. Latina y el Caribe","2024","A los bienes inmuebles","0.00000","0.00000"
"LAC","A. Latina y el Caribe","2024","Al patrimonio neto","0.00000","0.00000"
"LAC","A. Latina y el Caribe","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"LAC","A. Latina y el Caribe","2024","A los automotores","0.14275","0.58581"
"LAC","A. Latina y el Caribe","2024","Otros a la propiedad","0.00000","0.00000"
"PRY","Paraguay","2024","A los bienes inmuebles","0.17171","1.08979"
"PRY","Paraguay","2024","Al patrimonio neto","0.00000","0.00000"
"PRY","Paraguay","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"PRY","Paraguay","2024","A los automotores","0.03821","0.24251"
"PRY","Paraguay","2024","Otros a la propiedad","0.00023","0.00147"
"MEX","México","2024","A los bienes inmuebles","0.19547","1.06931"
"MEX","México","2024","Al patrimonio neto","0.00000","0.00000"
"MEX","México","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"MEX","México","2024","A los automotores","0.06227","0.34063"
"MEX","México","2024","Otros a la propiedad","0.00000","0.00000"
"ECU","Ecuador","2024","A los bienes inmuebles","0.18638","0.85911"
"ECU","Ecuador","2024","Al patrimonio neto","0.01896","0.08739"
"ECU","Ecuador","2024","Sucesiones, herencias y donaciones","0.04321","0.19917"
"ECU","Ecuador","2024","A los automotores","0.21842","1.00680"
"ECU","Ecuador","2024","Otros a la propiedad","0.12032","0.55463"
"CRI","Costa Rica","2024","A los bienes inmuebles","0.35047","1.41091"
"CRI","Costa Rica","2024","Al patrimonio neto","0.00000","0.00000"
"CRI","Costa Rica","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"CRI","Costa Rica","2024","A los automotores","0.33623","1.35358"
"CRI","Costa Rica","2024","Otros a la propiedad","0.00000","0.00000"
"ARG","Argentina","2024","A los bienes inmuebles","0.25373","0.91842"
"ARG","Argentina","2024","Al patrimonio neto","0.40350","1.46053"
"ARG","Argentina","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"ARG","Argentina","2024","A los automotores","0.17100","0.61896"
"ARG","Argentina","2024","Otros a la propiedad","0.00000","0.00000"
"BRA","Brasil","2024","A los bienes inmuebles","0.64587","1.91780"
"BRA","Brasil","2024","Al patrimonio neto","0.00000","0.00000"
"BRA","Brasil","2024","Sucesiones, herencias y donaciones","0.14920","0.44304"
"BRA","Brasil","2024","A los automotores","0.71795","2.13185"
"BRA","Brasil","2024","Otros a la propiedad","0.00000","0.00000"
"OECD","Países OCDE","2023","A los bienes inmuebles","0.94768","2.87534"
"OECD","Países OCDE","2023","Al patrimonio neto","0.15936","0.44753"
"OECD","Países OCDE","2023","Sucesiones, herencias y donaciones","0.14678","0.41752"
"OECD","Países OCDE","2023","A los automotores","0.24744","0.73239"
"OECD","Países OCDE","2023","Otros a la propiedad","0.05674","0.17582"
"PER","Perú","2024","A los bienes inmuebles","0.26484","1.62830"
"PER","Perú","2024","Al patrimonio neto","0.48625","2.98959"
"PER","Perú","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"PER","Perú","2024","A los automotores","0.03773","0.23198"
"PER","Perú","2024","Otros a la propiedad","0.00000","0.00000"
"CHL","Chile","2024","A los bienes inmuebles","0.96041","4.68963"
"CHL","Chile","2024","Al patrimonio neto","0.00000","0.00000"
"CHL","Chile","2024","Sucesiones, herencias y donaciones","0.06447","0.31479"
"CHL","Chile","2024","A los automotores","0.00000","0.00000"
"CHL","Chile","2024","Otros a la propiedad","0.00000","0.00000"
"COL","Colombia","2024","A los bienes inmuebles","0.73126","3.68097"
"COL","Colombia","2024","Al patrimonio neto","0.08631","0.43446"
"COL","Colombia","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"COL","Colombia","2024","A los automotores","0.20089","1.01126"
"COL","Colombia","2024","Otros a la propiedad","0.00005","0.00026"
"URY","Uruguay","2024","A los bienes inmuebles","1.00038","3.67099"
"URY","Uruguay","2024","Al patrimonio neto","0.90332","3.31483"
"URY","Uruguay","2024","Sucesiones, herencias y donaciones","0.00000","0.00000"
"URY","Uruguay","2024","A los automotores","0.59641","2.18859"
"URY","Uruguay","2024","Otros a la propiedad","0.02366","0.08682"
