"geocodigoFundar","geonombreFundar","anio","sector_institucional","indicador","valor"
"DEU","Alemania","1990","European institutions and bodies (EU accounts)","Porcentaje del total","0.91136"
"DEU","Alemania","1990","Fondos de seguridad social","Porcentaje del total","37.48080"
"DEU","Alemania","1990","Gobierno municipal local","Porcentaje del total","8.45305"
"DEU","Alemania","1990","Gobierno nacional","Porcentaje del total","31.65063"
"DEU","Alemania","1990","Gobierno provincial o regional","Porcentaje del total","21.50416"
"DEU","Alemania","1991","European institutions and bodies (EU accounts)","Porcentaje del total","0.87793"
"DEU","Alemania","1991","Fondos de seguridad social","Porcentaje del total","38.20623"
"DEU","Alemania","1991","Gobierno municipal local","Porcentaje del total","7.83715"
"DEU","Alemania","1991","Gobierno nacional","Porcentaje del total","32.24698"
"DEU","Alemania","1991","Gobierno provincial o regional","Porcentaje del total","20.83171"
"DEU","Alemania","1992","European institutions and bodies (EU accounts)","Porcentaje del total","0.73945"
"DEU","Alemania","1992","Fondos de seguridad social","Porcentaje del total","37.98372"
"DEU","Alemania","1992","Gobierno municipal local","Porcentaje del total","7.83936"
"DEU","Alemania","1992","Gobierno nacional","Porcentaje del total","32.44250"
"DEU","Alemania","1992","Gobierno provincial o regional","Porcentaje del total","20.99497"
"DEU","Alemania","1993","European institutions and bodies (EU accounts)","Porcentaje del total","0.67601"
"DEU","Alemania","1993","Fondos de seguridad social","Porcentaje del total","38.36501"
"DEU","Alemania","1993","Gobierno municipal local","Porcentaje del total","7.93988"
"DEU","Alemania","1993","Gobierno nacional","Porcentaje del total","31.41935"
"DEU","Alemania","1993","Gobierno provincial o regional","Porcentaje del total","21.59974"
"DEU","Alemania","1994","European institutions and bodies (EU accounts)","Porcentaje del total","0.63924"
"DEU","Alemania","1994","Fondos de seguridad social","Porcentaje del total","38.74040"
"DEU","Alemania","1994","Gobierno municipal local","Porcentaje del total","7.65494"
"DEU","Alemania","1994","Gobierno nacional","Porcentaje del total","31.74038"
"DEU","Alemania","1994","Gobierno provincial o regional","Porcentaje del total","21.22505"
"DEU","Alemania","1995","European institutions and bodies (EU accounts)","Porcentaje del total","0.59708"
"DEU","Alemania","1995","Fondos de seguridad social","Porcentaje del total","38.96283"
"DEU","Alemania","1995","Gobierno municipal local","Porcentaje del total","7.36465"
"DEU","Alemania","1995","Gobierno nacional","Porcentaje del total","31.43171"
"DEU","Alemania","1995","Gobierno provincial o regional","Porcentaje del total","21.64373"
"DEU","Alemania","1996","European institutions and bodies (EU accounts)","Porcentaje del total","0.54854"
"DEU","Alemania","1996","Fondos de seguridad social","Porcentaje del total","40.25191"
"DEU","Alemania","1996","Gobierno municipal local","Porcentaje del total","7.33703"
"DEU","Alemania","1996","Gobierno nacional","Porcentaje del total","29.72526"
"DEU","Alemania","1996","Gobierno provincial o regional","Porcentaje del total","22.13726"
"DEU","Alemania","1997","European institutions and bodies (EU accounts)","Porcentaje del total","0.55535"
"DEU","Alemania","1997","Fondos de seguridad social","Porcentaje del total","41.16218"
"DEU","Alemania","1997","Gobierno municipal local","Porcentaje del total","7.39626"
"DEU","Alemania","1997","Gobierno nacional","Porcentaje del total","29.24086"
"DEU","Alemania","1997","Gobierno provincial o regional","Porcentaje del total","21.64536"
"DEU","Alemania","1998","European institutions and bodies (EU accounts)","Porcentaje del total","0.50640"
"DEU","Alemania","1998","Fondos de seguridad social","Porcentaje del total","40.46347"
"DEU","Alemania","1998","Gobierno municipal local","Porcentaje del total","7.88165"
"DEU","Alemania","1998","Gobierno nacional","Porcentaje del total","29.31230"
"DEU","Alemania","1998","Gobierno provincial o regional","Porcentaje del total","21.83618"
"DEU","Alemania","1999","European institutions and bodies (EU accounts)","Porcentaje del total","0.47363"
"DEU","Alemania","1999","Fondos de seguridad social","Porcentaje del total","39.27120"
"DEU","Alemania","1999","Gobierno municipal local","Porcentaje del total","7.91437"
"DEU","Alemania","1999","Gobierno nacional","Porcentaje del total","30.29951"
"DEU","Alemania","1999","Gobierno provincial o regional","Porcentaje del total","22.04130"
"DEU","Alemania","2000","European institutions and bodies (EU accounts)","Porcentaje del total","0.48824"
"DEU","Alemania","2000","Fondos de seguridad social","Porcentaje del total","39.03808"
"DEU","Alemania","2000","Gobierno municipal local","Porcentaje del total","7.42612"
"DEU","Alemania","2000","Gobierno nacional","Porcentaje del total","30.61578"
"DEU","Alemania","2000","Gobierno provincial o regional","Porcentaje del total","22.43179"
"DEU","Alemania","2001","European institutions and bodies (EU accounts)","Porcentaje del total","0.44671"
"DEU","Alemania","2001","Fondos de seguridad social","Porcentaje del total","39.75674"
"DEU","Alemania","2001","Gobierno municipal local","Porcentaje del total","7.29449"
"DEU","Alemania","2001","Gobierno nacional","Porcentaje del total","30.55083"
"DEU","Alemania","2001","Gobierno provincial o regional","Porcentaje del total","21.95123"
"DEU","Alemania","2002","European institutions and bodies (EU accounts)","Porcentaje del total","0.42230"
"DEU","Alemania","2002","Fondos de seguridad social","Porcentaje del total","40.27370"
"DEU","Alemania","2002","Gobierno municipal local","Porcentaje del total","6.95819"
"DEU","Alemania","2002","Gobierno nacional","Porcentaje del total","30.58624"
"DEU","Alemania","2002","Gobierno provincial o regional","Porcentaje del total","21.75957"
"DEU","Alemania","2003","European institutions and bodies (EU accounts)","Porcentaje del total","0.39823"
"DEU","Alemania","2003","Fondos de seguridad social","Porcentaje del total","40.50885"
