"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"TUV","Tuvalu",1,"Diferenciado","66.8245667872105"
2020,"TUV","Tuvalu",2,"No diferenciado","33.1754332127895"
2020,"TWN","Other Asia, nes",1,"Diferenciado","65.6917345950822"
2020,"TWN","Other Asia, nes",2,"No diferenciado","34.3082654049177"
2020,"TZA","United Rep. of Tanzania",1,"Diferenciado","48.2740263122539"
2020,"TZA","United Rep. of Tanzania",2,"No diferenciado","51.7259736877462"
2020,"UGA","Uganda",1,"Diferenciado","40.0110907882086"
2020,"UGA","Uganda",2,"No diferenciado","59.9889092117914"
2020,"UKR","Ukraine",1,"Diferenciado","64.5190018733212"
2020,"UKR","Ukraine",2,"No diferenciado","35.4809981266789"
2020,"URY","Uruguay",1,"Diferenciado","63.2492127486693"
2020,"URY","Uruguay",2,"No diferenciado","36.7507872513307"
2020,"USA","USA",1,"Diferenciado","78.2686519282197"
2020,"USA","USA",2,"No diferenciado","21.7313480717802"
2020,"UZB","Uzbekistan",1,"Diferenciado","67.2214603945078"
2020,"UZB","Uzbekistan",2,"No diferenciado","32.7785396054921"
2020,"VCT","Saint Vincent and the Grenadines",1,"Diferenciado","67.7179245182552"
2020,"VCT","Saint Vincent and the Grenadines",2,"No diferenciado","32.2820754817448"
2020,"VEN","Venezuela",1,"Diferenciado","59.0023087581635"
2020,"VEN","Venezuela",2,"No diferenciado","40.9976912418365"
2020,"VGB","Br. Virgin Isds",1,"Diferenciado","89.0351830312533"
2020,"VGB","Br. Virgin Isds",2,"No diferenciado","10.9648169687467"
2020,"VNM","Viet Nam",1,"Diferenciado","67.4358142040425"
2020,"VNM","Viet Nam",2,"No diferenciado","32.5641857959575"
2020,"VUT","Vanuatu",1,"Diferenciado","64.8164614281582"
2020,"VUT","Vanuatu",2,"No diferenciado","35.1835385718417"
2020,"WLF","Wallis and Futuna Isds",1,"Diferenciado","73.3878902781444"
2020,"WLF","Wallis and Futuna Isds",2,"No diferenciado","26.6121097218556"
2020,"WSM","Samoa",1,"Diferenciado","56.0089224780787"
2020,"WSM","Samoa",2,"No diferenciado","43.9910775219213"
2020,"YEM","Yemen",1,"Diferenciado","54.9577411201682"
2020,"YEM","Yemen",2,"No diferenciado","45.0422588798317"
2020,"ZAF","South Africa",1,"Diferenciado","59.5387019163268"
2020,"ZAF","South Africa",2,"No diferenciado","40.4612980836732"
2020,"ZMB","Zambia",1,"Diferenciado","57.200261397569"
2020,"ZMB","Zambia",2,"No diferenciado","42.799738602431"
2020,"ZWE","Zimbabwe",1,"Diferenciado","53.0545143115313"
2020,"ZWE","Zimbabwe",2,"No diferenciado","46.9454856884687"
