"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"CIV","Côte d'Ivoire",1,"Diferenciado","48.3728723770811"
2020,"CIV","Côte d'Ivoire",2,"No diferenciado","51.627127622919"
2020,"CMR","Cameroon",1,"Diferenciado","56.7932767672681"
2020,"CMR","Cameroon",2,"No diferenciado","43.2067232327319"
2020,"COD","Dem. Rep. of the Congo",1,"Diferenciado","70.1586628889679"
2020,"COD","Dem. Rep. of the Congo",2,"No diferenciado","29.8413371110321"
2020,"COG","Congo",1,"Diferenciado","73.7903446432066"
2020,"COG","Congo",2,"No diferenciado","26.2096553567934"
2020,"COK","Cook Isds",1,"Diferenciado","83.7934958098336"
2020,"COK","Cook Isds",2,"No diferenciado","16.2065041901664"
2020,"COL","Colombia",1,"Diferenciado","63.8135087155718"
2020,"COL","Colombia",2,"No diferenciado","36.1864912844282"
2020,"COM","Comoros",1,"Diferenciado","48.3079678030778"
2020,"COM","Comoros",2,"No diferenciado","51.6920321969222"
2020,"CPV","Cabo Verde",1,"Diferenciado","34.2212811414233"
2020,"CPV","Cabo Verde",2,"No diferenciado","65.7787188585766"
2020,"CRI","Costa Rica",1,"Diferenciado","68.0703428462196"
2020,"CRI","Costa Rica",2,"No diferenciado","31.9296571537805"
2020,"CUB","Cuba",1,"Diferenciado","86.1867255356642"
2020,"CUB","Cuba",2,"No diferenciado","13.8132744643358"
2020,"CUW","Curaçao",1,"Diferenciado","70.6257792620262"
2020,"CUW","Curaçao",2,"No diferenciado","29.3742207379738"
2020,"CXR","Christmas Isds",1,"Diferenciado","23.7909070822882"
2020,"CXR","Christmas Isds",2,"No diferenciado","76.2090929177117"
2020,"CYM","Cayman Isds",1,"Diferenciado","95.5516658362546"
2020,"CYM","Cayman Isds",2,"No diferenciado","4.44833416374543"
2020,"CYP","Cyprus",1,"Diferenciado","69.9202623354452"
2020,"CYP","Cyprus",2,"No diferenciado","30.0797376645548"
2020,"CZE","Czechia",1,"Diferenciado","79.29320787476"
2020,"CZE","Czechia",2,"No diferenciado","20.7067921252401"
2020,"DEU","Germany",1,"Diferenciado","73.3747288677715"
2020,"DEU","Germany",2,"No diferenciado","26.6252711322286"
2020,"DJI","Djibouti",1,"Diferenciado","65.3176747649326"
2020,"DJI","Djibouti",2,"No diferenciado","34.6823252350674"
2020,"DMA","Dominica",1,"Diferenciado","74.0357092022367"
2020,"DMA","Dominica",2,"No diferenciado","25.9642907977634"
2020,"DNK","Denmark",1,"Diferenciado","72.8821629368001"
2020,"DNK","Denmark",2,"No diferenciado","27.1178370631999"
2020,"DOM","Dominican Rep.",1,"Diferenciado","59.478034338849"
2020,"DOM","Dominican Rep.",2,"No diferenciado","40.521965661151"
2020,"DZA","Algeria",1,"Diferenciado","57.8664788727935"
2020,"DZA","Algeria",2,"No diferenciado","42.1335211272064"
2020,"ECU","Ecuador",1,"Diferenciado","60.9123981842354"
2020,"ECU","Ecuador",2,"No diferenciado","39.0876018157646"
2020,"EGY","Egypt",1,"Diferenciado","47.274866997907"
2020,"EGY","Egypt",2,"No diferenciado","52.7251330020931"
2020,"ERI","Eritrea",1,"Diferenciado","75.1399495781721"
2020,"ERI","Eritrea",2,"No diferenciado","24.8600504218279"
2020,"ESP","Spain",1,"Diferenciado","65.5624169379653"
2020,"ESP","Spain",2,"No diferenciado","34.4375830620347"
2020,"EST","Estonia",1,"Diferenciado","62.7180648730635"
2020,"EST","Estonia",2,"No diferenciado","37.2819351269365"
2020,"ETH","Ethiopia",1,"Diferenciado","61.5547991452862"
2020,"ETH","Ethiopia",2,"No diferenciado","38.4452008547137"
2020,"FIN","Finland",1,"Diferenciado","65.1087700462151"
2020,"FIN","Finland",2,"No diferenciado","34.8912299537849"
2020,"FJI","Fiji",1,"Diferenciado","54.2206633704647"
2020,"FJI","Fiji",2,"No diferenciado","45.7793366295353"
2020,"FLK","Falkland Isds (Malvinas)",1,"Diferenciado","41.4550361581618"
2020,"FLK","Falkland Isds (Malvinas)",2,"No diferenciado","58.5449638418382"
2020,"FRA","France",1,"Diferenciado","73.4199831346984"
2020,"FRA","France",2,"No diferenciado","26.5800168653015"
2020,"FSM","FS Micronesia",1,"Diferenciado","72.2644620376028"
2020,"FSM","FS Micronesia",2,"No diferenciado","27.7355379623972"
2020,"GAB","Gabon",1,"Diferenciado","81.8566233692695"
2020,"GAB","Gabon",2,"No diferenciado","18.1433766307306"
2020,"GBR","United Kingdom",1,"Diferenciado","64.6615232544389"
2020,"GBR","United Kingdom",2,"No diferenciado","35.338476745561"
2020,"GEO","Georgia",1,"Diferenciado","64.6830045986016"
2020,"GEO","Georgia",2,"No diferenciado","35.3169954013984"
2020,"GHA","Ghana",1,"Diferenciado","67.4910414328957"
2020,"GHA","Ghana",2,"No diferenciado","32.5089585671043"
2020,"GIB","Gibraltar",1,"Diferenciado","15.2552705514201"
2020,"GIB","Gibraltar",2,"No diferenciado","84.7447294485799"
2020,"GIN","Guinea",1,"Diferenciado","73.3052749887002"
2020,"GIN","Guinea",2,"No diferenciado","26.6947250112998"
