year,iso3,country_name_abbreviation,microd,microd_name,export_value_pc,geocodigoFundar,geonombreFundar
2020,AFG,Afghanistan,2,No diferenciado,84.351181764883,AFG,Afganistán
2020,AFG,Afghanistan,1,Diferenciado,15.6488182351171,AFG,Afganistán
2020,BHS,Bahamas,1,Diferenciado,51.5991143412592,BHS,Bahamas
2020,BHS,Bahamas,2,No diferenciado,48.4008856587408,BHS,Bahamas
2020,CYM,Cayman Isds,1,Diferenciado,97.0846671127484,CYM,Islas Caimán
2020,CYM,Cayman Isds,2,No diferenciado,2.91533288725163,CYM,Islas Caimán
2020,CHN,China,2,No diferenciado,11.7395637467287,CHN,China
2020,CHN,China,1,Diferenciado,88.2604362532713,CHN,China
2020,FLK,Falkland Isds (Malvinas),1,Diferenciado,33.4835898940297,FLK,Islas Malvinas
2020,FLK,Falkland Isds (Malvinas),2,No diferenciado,66.5164101059703,FLK,Islas Malvinas
2020,GUY,Guyana,1,Diferenciado,4.65163696324209,GUY,Guyana
2020,GUY,Guyana,2,No diferenciado,95.3483630367579,GUY,Guyana
2020,PRK,Dem. People's Rep. of Korea,1,Diferenciado,62.2675848194068,PRK,Corea del Norte
2020,PRK,Dem. People's Rep. of Korea,2,No diferenciado,37.7324151805932,PRK,Corea del Norte
2020,LBR,Liberia,1,Diferenciado,17.4644126287506,LBR,Liberia
2020,LBR,Liberia,2,No diferenciado,82.5355873712494,LBR,Liberia
2020,MDA,Rep. of Moldova,2,No diferenciado,36.4006739477289,MDA,Moldavia
2020,MDA,Rep. of Moldova,1,Diferenciado,63.5993260522711,MDA,Moldavia
2020,NLD,Netherlands,1,Diferenciado,66.5433636547911,NLD,Países Bajos
2020,NLD,Netherlands,2,No diferenciado,33.4566363452089,NLD,Países Bajos
2020,FSM,FS Micronesia,2,No diferenciado,97.6015671237785,FSM,Micronesia
2020,FSM,FS Micronesia,1,Diferenciado,2.39843287622153,FSM,Micronesia
2020,AUT,Austria,2,No diferenciado,26.3265557691304,AUT,Austria
2020,AUT,Austria,1,Diferenciado,73.6734442308695,AUT,Austria
2020,BOL,Bolivia (Plurinational State of),1,Diferenciado,7.04557595663616,BOL,Bolivia
2020,BOL,Bolivia (Plurinational State of),2,No diferenciado,92.9544240433638,BOL,Bolivia
2020,ECU,Ecuador,2,No diferenciado,94.1766920224568,ECU,Ecuador
2020,ECU,Ecuador,1,Diferenciado,5.82330797754314,ECU,Ecuador
2020,SLV,El Salvador,1,Diferenciado,75.4301430501652,SLV,El Salvador
2020,SLV,El Salvador,2,No diferenciado,24.5698569498348,SLV,El Salvador
2020,KIR,Kiribati,2,No diferenciado,97.3126058148627,KIR,Kiribati
2020,KIR,Kiribati,1,Diferenciado,2.68739418513731,KIR,Kiribati
2020,LTU,Lithuania,1,Diferenciado,65.4176475409581,LTU,Lituania
2020,LTU,Lithuania,2,No diferenciado,34.5823524590419,LTU,Lituania
2020,VUT,Vanuatu,2,No diferenciado,78.5233675683425,VUT,Vanuatu
2020,VUT,Vanuatu,1,Diferenciado,21.4766324316575,VUT,Vanuatu
2020,POL,Poland,1,Diferenciado,79.2394224691431,POL,Polonia
2020,POL,Poland,2,No diferenciado,20.7605775308569,POL,Polonia
2020,SMR,San Marino,2,No diferenciado,21.6411127862502,SMR,San Marino
2020,SMR,San Marino,1,Diferenciado,78.3588872137498,SMR,San Marino
2020,ESP,Spain,2,No diferenciado,30.9505404272035,ESP,España
2020,ESP,Spain,1,Diferenciado,69.0494595727965,ESP,España
2020,CHE,Switzerland,2,No diferenciado,34.7210880098165,CHE,Suiza
2020,CHE,Switzerland,1,Diferenciado,65.2789119901835,CHE,Suiza
2020,SYR,Syria,1,Diferenciado,27.9847573296174,SYR,Siria
2020,SYR,Syria,2,No diferenciado,72.0152426703826,SYR,Siria
2020,TKM,Turkmenistan,2,No diferenciado,99.0086372998463,TKM,Turkmenistán
2020,TKM,Turkmenistan,1,Diferenciado,0.991362700153654,TKM,Turkmenistán
2020,AUS,Australia,1,Diferenciado,13.6183019396739,AUS,Australia
2020,AUS,Australia,2,No diferenciado,86.3816980603261,AUS,Australia
2020,BHR,Bahrain,1,Diferenciado,32.5503948682996,BHR,Bahrein
2020,BHR,Bahrain,2,No diferenciado,67.4496051317005,BHR,Bahrein
2020,MMR,Myanmar,2,No diferenciado,54.2602113676464,MMR,Myanmar
