geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
BHR,Bahrein,2020,Bahrain,1,Productos agropecuarios,1.97863307479992
TCD,Chad,2020,Chad,3,Minerales,79.9610893080288
COK,Islas Cook,2020,Cook Isds,12,Transporte,14.3336314584835
NPL,Nepal,2020,Nepal,5,Plásticos y gomas,1.41924690864284
COG,Congo,2020,Congo,6,Cueros y pieles,0.0029516208121556
MYS,Malasia,2020,Malaysia,10,Metales,5.46254034099881
VUT,Vanuatu,2020,Vanuatu,3,Minerales,0.0362661488637248
NER,Níger,2020,Niger,13,Otros productos industriales,0.145023149391091
THA,Tailandia,2020,Thailand,12,Transporte,11.368792748025
COM,Comoras,2020,Comoros,3,Minerales,0.0023455360683093
SLV,El Salvador,2020,El Salvador,13,Otros productos industriales,1.57115088322471
GIN,Guinea,2020,Guinea,11,Maquinaria,0.0893336472113543
KGZ,Kirguistán,2020,Kyrgyzstan,7,Madera,0.550049803629869
MRT,Mauritania,2020,Mauritania,13,Otros productos industriales,0.0340885669715426
PER,Perú,2020,Peru,10,Metales,8.9237186071062
VCT,San Vicente y las Granadinas,2020,Saint Vincent and the Grenadines,8,"Textiles, indumentaria y calzado",0.175337909271203
YEM,Yemen,2020,Yemen,5,Plásticos y gomas,0.506104438909525
BDI,Burundi,2020,Burundi,5,Plásticos y gomas,1.51074202291943
BGD,Bangladesh,2020,Bangladesh,3,Minerales,0.0793358982699103
KHM,Camboya,2020,Cambodia,3,Minerales,0.0494356357888567
HRV,Croacia,2020,Croatia,13,Otros productos industriales,5.41801758829694
PER,Perú,2020,Peru,7,Madera,0.59465144444397
MLI,Malí,2020,Mali,7,Madera,1.11589458243431
PAK,Pakistán,2020,Pakistan,13,Otros productos industriales,3.48285504486699
AND,Andorra,2020,Andorra,6,Cueros y pieles,1.1048448510381
CUB,Cuba,2020,Cuba,8,"Textiles, indumentaria y calzado",0.0396832929543749
MOZ,Mozambique,2020,Mozambique,13,Otros productos industriales,0.0730819310063022
NAM,Namibia,2020,Namibia,13,Otros productos industriales,0.262328395506707
