geocodigoFundar,geonombreFundar,location_name_short_en,partner_code,partner_name_short_en,import_value_pca,import_value_pcb
AFG,Afganistán,Afghanistan,ANT,Netherlands Antilles,0.274182960390241,
AFG,Afganistán,Afghanistan,AUT,Austria,0.189248002540083,0.183867981955882
AFG,Afganistán,Afghanistan,BEL,Belgium,0.160562241872896,0.668316029897686
AFG,Afganistán,Afghanistan,BGR,Bulgaria,0.105148647069419,0.0330933696237489
AFG,Afganistán,Afghanistan,CHE,Switzerland,1.29123304830878,0.0588156336966416
AFG,Afganistán,Afghanistan,CHN,China,0.668500567563897,6.92116998378426
AFG,Afganistán,Afghanistan,COD,Congo (Democratic Republic of the),0.139269302417694,0.0
AFG,Afganistán,Afghanistan,CSK,Czechoslovakia,3.41419312032676,
AFG,Afganistán,Afghanistan,DEU,Germany,5.93944563800237,0.984307594722095
AFG,Afganistán,Afghanistan,DNK,Denmark,0.189883767820729,0.11187360409517
AFG,Afganistán,Afghanistan,EGY,Egypt,0.271339313492296,0.0433096911342811
AFG,Afganistán,Afghanistan,FIN,Finland,0.103936256774275,0.0101245401894947
AFG,Afganistán,Afghanistan,FRA,France,0.566214935920908,0.300296492330888
AFG,Afganistán,Afghanistan,GBR,United Kingdom,1.84191705671807,0.496513577323697
AFG,Afganistán,Afghanistan,HKG,Hong Kong,0.295311678094221,0.0317906472193338
AFG,Afganistán,Afghanistan,HUN,Hungary,0.0,0.167950635477841
AFG,Afganistán,Afghanistan,IND,India,9.77928213387363,9.23125756311855
AFG,Afganistán,Afghanistan,IRN,Iran,0.969169488535093,20.4084162583572
AFG,Afganistán,Afghanistan,ITA,Italy,1.07827651615559,0.224931403480314
AFG,Afganistán,Afghanistan,JPN,Japan,6.51420291952844,0.613582307330605
AFG,Afganistán,Afghanistan,LBN,Lebanon,0.466568349646978,0.0080435554738191
AFG,Afganistán,Afghanistan,MYS,Malaysia,0.0587560823426516,1.86953332308451
AFG,Afganistán,Afghanistan,NLD,Netherlands,0.253442489261938,0.430415895954076
AFG,Afganistán,Afghanistan,NOR,Norway,0.07738147656036,0.0304991824755544
AFG,Afganistán,Afghanistan,PAK,Pakistan,3.57699787764331,13.1226695723335
AFG,Afganistán,Afghanistan,POL,Poland,0.573990417774572,0.127200250275155
AFG,Afganistán,Afghanistan,RUS,Russian Federation,51.6209595518461,1.76095288718945
AFG,Afganistán,Afghanistan,SGP,Singapore,0.221244579803737,0.222313427863128
AFG,Afganistán,Afghanistan,SWE,Sweden,0.0436105143198354,0.092752285873135
AFG,Afganistán,Afghanistan,SYR,Syrian Arab Republic,0.101022748468704,
AFG,Afganistán,Afghanistan,USA,United States of America,9.68051762609255,8.50391273345132
AFG,Afganistán,Afghanistan,TWN,Taiwan,0.239334616817435,0.0131742152398408
AFG,Afganistán,Afghanistan,ANS,Undeclared Countries,0.499912447273184,0.774361406286421
AGO,Angola,Angola,ANT,Netherlands Antilles,0.879555038831521,
AGO,Angola,Angola,ARG,Argentina,1.16626990141377,0.466270305816515
AGO,Angola,Angola,AUS,Australia,0.0945703338496406,0.0651056157804591
AGO,Angola,Angola,AUT,Austria,0.310243477297333,0.148106861473784
AGO,Angola,Angola,BEL,Belgium,3.24983339687397,2.10927021590827
AGO,Angola,Angola,BGR,Bulgaria,0.0,0.0175061106895901
AGO,Angola,Angola,BRA,Brazil,0.233100645948906,4.31822707697087
AGO,Angola,Angola,CAN,Canada,0.0741504462387681,0.61147504990297
AGO,Angola,Angola,CHE,Switzerland,1.38145188169533,0.164611593294179
AGO,Angola,Angola,CIV,Côte d'Ivoire,0.0,0.0682532370758201
AGO,Angola,Angola,COD,Congo (Democratic Republic of the),0.359434071321211,0.0625390612878312
AGO,Angola,Angola,COG,Congo,0.038694150759515,0.521934815237659
AGO,Angola,Angola,CPV,Cabo Verde,0.0,0.0200652053521718
AGO,Angola,Angola,CSK,Czechoslovakia,0.325460531589865,
AGO,Angola,Angola,DEU,Germany,9.80211938759347,1.62475371668586
AGO,Angola,Angola,DNK,Denmark,0.729829127736715,0.241733367101502
AGO,Angola,Angola,ESP,Spain,0.426262471390498,1.35878283167656
AGO,Angola,Angola,FIN,Finland,0.0,0.07324780070999
AGO,Angola,Angola,FRA,France,4.21078421534844,3.10489878133842
AGO,Angola,Angola,GBR,United Kingdom,11.1770827399446,3.15945962152943
AGO,Angola,Angola,GHA,Ghana,0.078455364834629,0.0232013185694423
AGO,Angola,Angola,GIB,Gibraltar,0.0,0.0006906351862916
AGO,Angola,Angola,GIN,Guinea,0.0,0.0020426961765436
AGO,Angola,Angola,GNQ,Equatorial Guinea,0.0,0.0143031236439009
AGO,Angola,Angola,GRC,Greece,0.0,0.0152240530327561
AGO,Angola,Angola,HKG,Hong Kong,0.253214747766561,0.291523876795449
AGO,Angola,Angola,IRN,Iran,0.396702556163392,0.0180503190143817
AGO,Angola,Angola,ISR,Israel,0.0,0.107866490667425
AGO,Angola,Angola,ITA,Italy,2.06131824464424,2.40361031589149
