"iso3","location_name_short_en","partner_code","partner_name_short_en","export_value_pca","export_value_pcb"
"TUN","Tunisia","RUS","Russian Federation","1.32245008219249",
"TUN","Tunisia","GBR","United Kingdom","4.86314286318694",
"ZAF","South Africa","ARG","Argentina","0.137232034748217",
"ZAF","South Africa","NLD","Netherlands","2.13923457826508",
"ZAF","South Africa","CMR","Cameroon","0.0195051260346548",
"AGO","Angola","SVK","Slovakia",,"0.000139675080230294"
"AGO","Angola","MUS","Mauritius",,"0.000260075446019564"
"AGO","Angola","SWZ","Eswatini",,"0.000596853519966167"
"AGO","Angola","BHS","Bahamas",,"0.00787769997553038"
"AGO","Angola","GNQ","Equatorial Guinea",,"0.0052456762857986"
"AGO","Angola","ZMB","Zambia",,"0.000685786815057236"
"AGO","Angola","PAN","Panama",,"0.217436766082302"
"AIA","Anguilla","NLD","Netherlands",,"0.0862434790815272"
"AIA","Anguilla","GRC","Greece",,"4.25344972499773"
"AIA","Anguilla","TUR","Turkey",,"0"
"AIA","Anguilla","KNA","Saint Kitts and Nevis",,"3.50779815021817"
"BDI","Burundi","CZE","Czech Republic",,"0.00639813386111853"
"BDI","Burundi","LVA","Latvia",,"0"
"BDI","Burundi","CAN","Canada",,"0.229680504097904"
"BDI","Burundi","FRA","France",,"1.18129843991588"
"BDI","Burundi","SUR","Suriname",,"0"
"BDI","Burundi","GUM","Guam",,"0"
"BDI","Burundi","SWE","Sweden",,"2.10140680242126"
"BEL","Belgium","BLR","Belarus",,"0.0499486634849227"
"BEL","Belgium","SUR","Suriname",,"0.00506474901129247"
"BEL","Belgium","TGO","Togo",,"0.0709591331184057"
"BEL","Belgium","NGA","Nigeria",,"0.444237811820675"
"BEL","Belgium","BLM","Saint Barthélemy",,"0.000138743281916044"
"BEL","Belgium","BGR","Bulgaria",,"0.210913655820925"
"BEL","Belgium","UMI","United States Minor Outlying Islands",,"3.22176725255118e-05"
"BEL","Belgium","CRI","Costa Rica",,"0.0146845002590255"
"BEL","Belgium","PRY","Paraguay",,"0.00985258310959533"
"BEL","Belgium","ALB","Albania",,"0.0103232488804068"
"BEL","Belgium","NIC","Nicaragua",,"0.00327811026177749"
"BFA","Burkina Faso","VEN","Venezuela",,"0"
"BFA","Burkina Faso","CZE","Czech Republic",,"0.0157309542326108"
"BFA","Burkina Faso","RUS","Russian Federation",,"0.00284469754059424"
"BFA","Burkina Faso","HRV","Croatia",,"0"
"BFA","Burkina Faso","LBY","Libya",,"0"
"BFA","Burkina Faso","LUX","Luxembourg",,"0.00693068942122903"
"BFA","Burkina Faso","TUR","Turkey",,"0.662132933653174"
"BFA","Burkina Faso","MAR","Morocco",,"0.0310536153728128"
"BFA","Burkina Faso","BEN","Benin",,"0.0983858926326047"
"BFA","Burkina Faso","SYR","Syrian Arab Republic",,"0.000675728505019781"
"BFA","Burkina Faso","AUS","Australia",,"0.00250554392129337"
"BOL","Bolivia","DNK","Denmark",,"0.0382240379371058"
"BOL","Bolivia","CHN","China",,"4.57221653535304"
"BOL","Bolivia","BGD","Bangladesh",,"0.00384939280463746"
"BOL","Bolivia","PER","Peru",,"5.88816719035761"
"BOL","Bolivia","HTI","Haiti",,"0"
"BOL","Bolivia","FIN","Finland",,"0.158576599477648"
"BOL","Bolivia","ARG","Argentina",,"14.5661920270486"
"BOL","Bolivia","MAR","Morocco",,"0.00262476920402846"
"BOL","Bolivia","LBN","Lebanon",,"0.00308492076831869"
"BOL","Bolivia","NCL","New Caledonia",,"0.00111937884821605"
"BOL","Bolivia","BRN","Brunei Darussalam",,"0.00016371161906532"
"BOL","Bolivia","COG","Congo",,"0.00183429360428571"
"COM","Comoros","SWE","Sweden",,"0"
"COM","Comoros","MLI","Mali",,"0"
"COM","Comoros","UKR","Ukraine",,"0.0626625753701432"
"COM","Comoros","DEU","Germany",,"7.8672445644147"
"ECU","Ecuador","TKM","Turkmenistan",,"0.000919416353998836"
"ECU","Ecuador","IND","India",,"1.5050276035976"
"ECU","Ecuador","ALB","Albania",,"0.0873184819960122"
"ECU","Ecuador","PRY","Paraguay",,"0.0278152290021173"
"ECU","Ecuador","EGY","Egypt",,"0.0205313553093301"
"ECU","Ecuador","BHR","Bahrain",,"0.0117696119462865"
"GIN","Guinea","EST","Estonia",,"0.000275039884238372"
"GIN","Guinea","CHL","Chile",,"0.000548333094219831"
"GIN","Guinea","COD","Congo (Democratic Republic of the)",,"0"
"GIN","Guinea","USA","United States of America",,"0.20248489011476"
