"anio","cantidades_exportacion_ferreres","cantidades_exportacion_indec"
"1810","0.0193818140785088",
"1811","0.0243618245441735",
"1812","0.010766870672322",
"1813","0.0137301494494932",
"1814","0.018323915400348",
"1815","0.0324911309278311",
"1816","0.0314797913290354",
"1817","0.0435999076686258",
"1818","0.0349135802590546",
"1819","0.0304633871234389",
"1820","0.0354907065464652",
"1821","0.0333788284692368",
"1822","0.0445766494746926",
"1823","0.049928710382826",
"1824","0.0527256466425442",
"1825","0.0522847113442336",
"1826","0.0327432277081608",
"1827","0.00379776892805539",
"1828","0.017184119736449",
"1829","0.0687201033701089",
"1830","0.0681046546505426",
"1831","0.0690053113133226",
"1832","0.067556187539931",
"1833","0.0673098189427698",
"1834","0.0704962701563661",
"1835","0.0803042223511012",
"1836","0.0797661758559832",
"1837","0.0823126578418997",
"1838","0.0751173889476798",
"1839","0.0601888833143324",
"1840","0.0393267821388776",
"1841","0.0943349554589159",
"1842","0.135136026777939",
"1843","0.165562089528183",
"1844","0.124380528765905",
"1845","0.117022162185056",
"1846","0.037650608703018",
"1847","0.093456069232711",
"1848","0.154189418479049",
"1849","0.288012619663531",
"1850","0.212905227784923",
"1851","0.226757920283442",
"1852","0.187863822114524",
"1853","0.0928195972276474",
"1854","0.171879370159165",
"1855","0.150600079293509",
"1856","0.173449756517902",
"1857","0.227585898897015",
"1858","0.185063077864975",
"1859","0.215198626505375",
"1860","0.277169127621232",
"1861","0.238101354018419",
"1862","0.263700883248987",
"1863","0.297363457503947",
"1864","0.361233377649165",
"1865","0.462260484972515",
"1866","0.448183674635931",
"1867","0.573050791268879",
"1868","0.512866442260479",
"1869","0.571588673130926",
"1870","0.537864523548303",
"1871","0.419660332155407",
"1872","0.631241209997365",
"1873","0.672509162984014",
"1874","0.626615911422049",
"1875","0.721874292608131",
"1876","0.792890600638847",
"1877","0.624532050205882",
"1878","0.622381265139136",
"1879","0.763675597503502",
"1880","0.865346203897686",
"1881","0.868881290112369",
"1882","0.885614724491048",
"1883","0.91032702207212",
"1884","1.07361047996544",
"1885","1.3464718432815",
"1886","1.32719163241118",
"1887","1.31682961229077",
"1888","1.4027634722186",
"1889","1.08793644383403",
"1890","1.63426666549282",
