"anio","cantidades_exportacion_ferreres","cantidades_exportacion_indec"
"1891","1.61003204800656",
"1892","1.70407023737791",
"1893","1.92061325769833",
"1894","2.36805636884841",
"1895","2.91943185937781",
"1896","2.60975271383989",
"1897","1.92269424784263",
"1898","2.54339144020852",
"1899","3.21836443022415",
"1900","2.5561797249762",
"1901","2.80104640841554",
"1902","2.77350721056945",
"1903","3.76678528176636",
"1904","4.24039682833304",
"1905","4.60166771573251",
"1906","3.9935173756224",
"1907","3.91797973985823",
"1908","5.04297616779745",
"1909","4.76075077624223",
"1910","4.5302990282788",
"1911","4.13137082139367",
"1912","6.05454116530484",
"1913","6.16242768637944",
"1914","4.67005150390764",
"1915","5.88213804912477",
"1916","5.34040271259862",
"1917","3.77130699850584",
"1918","5.39421192942848",
"1919","6.58490799520197",
"1920","7.37494066478645",
"1921","5.83769901569519",
"1922","7.31933641620284",
"1923","7.4455375833493",
"1924","9.2800596326239",
"1925","7.35626624273714",
"1926","8.15780421112885",
"1927","10.8003087088675",
"1928","9.84349058755099",
"1929","9.87936550795959",
"1930","6.74348166590518",
"1931","9.23382719458063",
"1932","8.6379271226824",
"1933","10.9467365320346",
"1934","14.5991511201164",
"1935","14.8720890379936",
"1936","13.0035244754192",
"1937","16.1565104647661",
"1938","10.5283530573111",
"1939","13.5830578485428",
"1940","11.2250174449974",
"1941","10.0577679244802",
"1942","9.77476620910718",
"1943","10.0142847710442",
"1944","11.0626814622601",
"1945","11.145755816322",
"1946","11.7084392337154",
"1947","12.6880009940027",
"1948","11.823396861935",
"1949","7.05525134305957",
"1950","9.65026683991247",
"1951","7.48669493481435",
"1952","5.27656595330775",
"1953","8.63138173025087",
"1954","9.105332478661",
"1955","8.01438868460566",
"1956","8.94550896201234",
"1957","9.5208356916056",
"1958","10.8265613207464",
"1959","10.4190541190029",
"1960","10.4834692722316",
"1961","9.62581370601965",
"1962","13.0246066859955",
"1963","14.0234649374765",
"1964","12.8532194080951",
"1965","13.5870281290675",
"1966","14.4301785359712",
"1967","13.8954719142882",
"1968","13.316757450442",
"1969","15.626296208453",
"1970","15.915957975624",
"1971","13.3200982657043",
"1972","13.5634638158291",
"1973","15.7282144654082",
"1974","15.1577821954334",
"1975","12.6453608554654",
"1976","18.306656162076",
"1977","24.8243211895793",
"1978","27.2144663960661",
"1979","25.5010041973236",
"1980","22.1984847302751",
"1981","24.6443041899121",
"1982","24.7913234634879",
"1983","26.763858136051",
"1984","25.5008894568129",
"1985","30.8145576318689",
"1986","27.3","27.3"
"1987","24.225","24.2"
"1988","29.925","29.9"
"1989","30.75","30.7"
"1990","40.65","40.7"
"1991","40.45","40.4"
"1992","40.55","40.6"
"1993","44","44"
"1994","52.1","52.1"
"1995","64.375","64.4"
"1996","69.275","69.3"
"1997","79.75","79.7"
"1998","89.875","89.9"
"1999","87.95","88"
"2000","89.6","89.6"
"2001","95.1","95.1"
"2002","95.3","95.3"
"2003","100.1","100.1"
"2004","100.075","100"
"2005","111.65","111.7"
"2006","116.75","116.7"
"2007","123.725","123.7"
"2008","122.475","122.5"
"2009","109.325","109.3"
"2010","124.375","124.3"
"2011","128.625","127.2"
"2012","120.1","119.7"
"2013","115.3","115.3"
"2014","106.35","106.4"
"2015","104.575","104.6"
"2016","111.475","111.7"
"2017","111.525","111.6"
"2018","110.85","111.2"
"2019",,"124.8"
"2020",,"108.4"
"2021",,"122.3"
"2022",,"119.5"
"2023",,"99.9"
