anio,iso3,country_name_abbreviation,sector_bp,sector_bp_name,import_value_pc,geocodigoFundar,geonombreFundar
2020,FIN,Finland,9,Piedra y vidrio,1.39846147383506,FIN,Finlandia
2020,GIB,Gibraltar,10,Metales,0.41016934477946,GIB,Gibraltar
2020,IRQ,Iraq,13,Otros productos industriales,6.35970452791526,IRQ,Iraq
2020,ISR,Israel,10,Metales,7.72376505646236,ISR,Israel
2020,CIV,Côte d'Ivoire,8,"Textiles, indumentaria y calzado",4.09412192798379,CIV,Costa de Marfil
2020,MAC,"China, Macao SAR",13,Otros productos industriales,9.88575091860694,MAC,Macao
2020,MEX,Mexico,1,Productos agropecuarios,4.77310322210286,MEX,México
2020,PRY,Paraguay,9,Piedra y vidrio,1.19357466182484,PRY,Paraguay
2020,SHN,Saint Helena,10,Metales,3.38632449553041,SHN,Santa Elena
2020,SPM,Saint Pierre and Miquelon,13,Otros productos industriales,13.0682874557494,SPM,San Pedro y Miquelón
2020,ZWE,Zimbabwe,3,Minerales,19.6781011207897,ZWE,Zimbabwe
2020,SUR,Suriname,9,Piedra y vidrio,1.0902103111231,SUR,Suriname
2020,SWE,Sweden,10,Metales,8.50131341999305,SWE,Suecia
2020,AGO,Angola,3,Minerales,7.90184544608945,AGO,Angola
2020,ARG,Argentina,2,Alimentos procesados,1.89919746856399,ARG,Argentina
2020,BHS,Bahamas,3,Minerales,45.3249095507497,BHS,Bahamas
2020,IOT,Br. Indian Ocean Terr.,9,Piedra y vidrio,0.0975143437647335,IOT,Territorio Británico del Océano Índico
2020,LKA,Sri Lanka,2,Alimentos procesados,4.01285556056341,LKA,Sri Lanka
2020,CHL,Chile,10,Metales,5.70014904314329,CHL,Chile
2020,ATF,Fr. South Antarctic Terr.,1,Productos agropecuarios,1.67936841762924,ATF,Tierras Australes Francesas
2020,GRC,Greece,3,Minerales,17.7910536711551,GRC,Grecia
2020,JOR,Jordan,6,Cueros y pieles,0.198736530666419,JOR,Jordania
2020,MLI,Mali,2,Alimentos procesados,9.14978243713669,MLI,Malí
2020,S19,"Other Asia, nes",3,Minerales,15.7516536515997,TWN,Taiwán
2020,OMN,Oman,10,Metales,12.1956881776112,OMN,Omán
2020,CUW,Curaçao,5,Plásticos y gomas,2.99413725662477,CUW,Curazao
2020,NOR,Norway,10,Metales,9.57268688814668,NOR,Noruega
2020,MNP,N. Mariana Isds,11,Maquinaria,3.43779596030352,MNP,Islas Marianas
2020,TLS,Timor-Leste,7,Madera,1.97143225043312,TLS,Timor-Leste
2020,SPM,Saint Pierre and Miquelon,2,Alimentos procesados,14.2629505718462,SPM,San Pedro y Miquelón
2020,SLE,Sierra Leone,7,Madera,2.99792468556971,SLE,Sierra Leona
2020,ZWE,Zimbabwe,1,Productos agropecuarios,13.6059760971664,ZWE,Zimbabwe
2020,UKR,Ukraine,9,Piedra y vidrio,1.7779321430229,UKR,Ucrania
2020,UZB,Uzbekistan,8,"Textiles, indumentaria y calzado",3.2596440855293,UZB,Uzbekistán
2020,YEM,Yemen,6,Cueros y pieles,0.621039399378877,YEM,Yemen
2020,ZMB,Zambia,13,Otros productos industriales,3.26380019450256,ZMB,Zambia
2020,ARG,Argentina,7,Madera,2.4396552686969,ARG,Argentina
2020,KHM,Cambodia,10,Metales,6.15644138791002,KHM,Camboya
2020,CAN,Canada,10,Metales,6.39291455662183,CAN,Canadá
2020,COM,Comoros,8,"Textiles, indumentaria y calzado",7.28672663726141,COM,Comoras
2020,GNQ,Equatorial Guinea,8,"Textiles, indumentaria y calzado",2.36111797846979,GNQ,Guinea Ecuatorial
2020,ERI,Eritrea,13,Otros productos industriales,6.93622932423538,ERI,Eritrea
2020,GRC,Greece,9,Piedra y vidrio,1.25118579722464,GRC,Grecia
2020,GTM,Guatemala,10,Metales,6.82595479422538,GTM,Guatemala
2020,HTI,Haiti,9,Piedra y vidrio,1.55916608445671,HTI,Haití
2020,IDN,Indonesia,8,"Textiles, indumentaria y calzado",6.34532516671242,IDN,Indonesia
2020,JOR,Jordan,2,Alimentos procesados,7.80689636468892,JOR,Jordania
2020,KWT,Kuwait,3,Minerales,1.85859101630075,KWT,Kuwait
2020,LUX,Luxembourg,1,Productos agropecuarios,6.36926660425763,LUX,Luxemburgo
2020,NCL,New Caledonia,8,"Textiles, indumentaria y calzado",3.45329189560628,NCL,Nueva Caledonia
2020,NIC,Nicaragua,4,Químicos,12.0881927538842,NIC,Nicaragua
2020,FSM,FS Micronesia,10,Metales,7.31754373805577,FSM,Micronesia
2020,POL,Poland,11,Maquinaria,27.6963471314712,POL,Polonia
2020,RUS,Russian Federation,10,Metales,6.6312993214971,RUS,Rusia
2020,SDN,Sudan,6,Cueros y pieles,0.700007789052628,SDN,Sudán
2020,SWE,Sweden,4,Químicos,10.2989658152133,SWE,Suecia
2020,THA,Thailand,9,Piedra y vidrio,5.19400782253528,THA,Tailandia
2020,TUR,Türkiye,12,Transporte,10.6804900645571,TUR,Turquía
2020,WLF,Wallis and Futuna Isds,6,Cueros y pieles,0.257735636002682,WLF,Wallis y Futuna
2020,AUS,Australia,5,Plásticos y gomas,4.71704298098044,AUS,Australia
2020,AUT,Austria,13,Otros productos industriales,6.99586590749971,AUT,Austria
2020,BLR,Belarus,8,"Textiles, indumentaria y calzado",6.07006301398186,BLR,Belarús
2020,KHM,Cambodia,13,Otros productos industriales,3.46594863013963,KHM,Camboya
2020,CHN,China,6,Cueros y pieles,0.3249845321375,CHN,China
2020,CUB,Cuba,10,Metales,9.69473054802995,CUB,Cuba
2020,GTM,Guatemala,11,Maquinaria,16.347927246973,GTM,Guatemala
2020,IDN,Indonesia,10,Metales,10.5781630607985,IDN,Indonesia
2020,NIU,Niue,6,Cueros y pieles,0.038537893268482,NIU,Niue
2020,NOR,Norway,7,Madera,3.36031620717132,NOR,Noruega
2020,FSM,FS Micronesia,6,Cueros y pieles,,FSM,Micronesia
2020,QAT,Qatar,3,Minerales,1.47528224048767,QAT,Qatar
2020,SPM,Saint Pierre and Miquelon,8,"Textiles, indumentaria y calzado",9.34097529716257,SPM,San Pedro y Miquelón
2020,SRB,Serbia,4,Químicos,11.795915484713,SRB,Serbia
2020,VNM,Viet Nam,8,"Textiles, indumentaria y calzado",8.701506648662,VNM,Vietnam
2020,SVN,Slovenia,3,Minerales,6.20774882164072,SVN,Eslovenia
2020,TKM,Turkmenistan,6,Cueros y pieles,0.163133234599638,TKM,Turkmenistán
2020,UKR,Ukraine,4,Químicos,13.2812730096518,UKR,Ucrania
2020,VGB,Br. Virgin Isds,4,Químicos,4.22192441332253,VGB,Islas Vírgenes Británicas
2020,BGR,Bulgaria,10,Metales,10.6400206659578,BGR,Bulgaria
2020,CRI,Costa Rica,3,Minerales,7.67305777126802,CRI,Costa Rica
2020,PSE,State of Palestine,11,Maquinaria,11.3806708322984,PSE,Palestina
2020,KAZ,Kazakhstan,4,Químicos,9.84570965589554,KAZ,Kazajstán
2020,KEN,Kenya,7,Madera,3.26656099847164,KEN,Kenia
2020,MLI,Mali,1,Productos agropecuarios,8.08199979961839,MLI,Malí
2020,MRT,Mauritania,5,Plásticos y gomas,4.28411868652343,MRT,Mauritania
2020,NAM,Namibia,6,Cueros y pieles,0.254275278883975,NAM,Namibia
2020,ABW,Aruba,8,"Textiles, indumentaria y calzado",4.54794678904702,ABW,Aruba
2020,NZL,New Zealand,8,"Textiles, indumentaria y calzado",5.89176467468405,NZL,Nueva Zelanda
2020,NIU,Niue,5,Plásticos y gomas,3.14736930269845,NIU,Niue
2020,PNG,Papua New Guinea,10,Metales,7.57629224494848,PNG,Papúa Nueva Guinea
2020,SOM,Somalia,7,Madera,1.90328504615046,SOM,Somalia
2020,SSD,South Sudan,11,Maquinaria,12.9897288036707,SSD,Sudán del Sur
2020,SDN,Sudan,7,Madera,4.30516366167581,SDN,Sudán
2020,SUR,Suriname,11,Maquinaria,27.7700987490394,SUR,Suriname
2020,TZA,United Rep. of Tanzania,11,Maquinaria,14.7199267081232,TZA,Tanzanía
2020,BFA,Burkina Faso,4,Químicos,11.9570704090271,BFA,Burkina Faso
2020,CYM,Cayman Isds,1,Productos agropecuarios,0.134726640077735,CYM,Islas Caimán
2020,COM,Comoros,10,Metales,4.79387419539137,COM,Comoras
2020,CRI,Costa Rica,7,Madera,5.48951507726396,CRI,Costa Rica
2020,DNK,Denmark,12,Transporte,11.1547208252526,DNK,Dinamarca
2020,GAB,Gabon,2,Alimentos procesados,4.47988890993424,GAB,Gabón
2020,GRD,Grenada,9,Piedra y vidrio,1.45348224591223,GRD,Granada
2020,GUY,Guyana,2,Alimentos procesados,7.52171683109364,GUY,Guyana
2020,IRQ,Iraq,3,Minerales,6.98058827686898,IRQ,Iraq
2020,LBN,Lebanon,10,Metales,3.55166551444151,LBN,Líbano
2020,MWI,Malawi,10,Metales,2.95898489643588,MWI,Malawi
