"anio","empresas"
1996,"408982"
1997,"418956"
1998,"427770"
1999,"414507"
2000,"411670"
2001,"396259"
2002,"376671"
2003,"405628"
2004,"465392"
2005,"502142"
2006,"536298"
2007,"563198"
2008,"584671"
2009,"588717"
2010,"596246"
2011,"607332"
2012,"608697"
2013,"609369"
2014,"605990"
2015,"607960"
2016,"606911"
2017,"607466"
2018,"596815"
2019,"577214"
2020,"550258"
2021,"547970"
2022,"565115"
