anio,letra,letra_desc_abrev,gran_region_id,gran_region_desc,share_vab_sectorial
2004,L,Adm. pública y defensa,2,Centro,0.0471620445428109
2005,L,Adm. pública y defensa,2,Centro,0.0460193172268031
2006,L,Adm. pública y defensa,2,Centro,0.0443203528734677
2007,L,Adm. pública y defensa,2,Centro,0.0427689186486493
2008,L,Adm. pública y defensa,2,Centro,0.0430787787508797
2009,L,Adm. pública y defensa,2,Centro,0.0475464940431826
2010,L,Adm. pública y defensa,2,Centro,0.0445505467958051
2011,L,Adm. pública y defensa,2,Centro,0.0435362441014532
2012,L,Adm. pública y defensa,2,Centro,0.0451437588598099
2013,L,Adm. pública y defensa,2,Centro,0.0450821584796819
2014,L,Adm. pública y defensa,2,Centro,0.0476605985985981
2015,L,Adm. pública y defensa,2,Centro,0.0484159968999776
2016,L,Adm. pública y defensa,2,Centro,0.0506487868321594
2017,L,Adm. pública y defensa,2,Centro,0.0492990494781204
2018,L,Adm. pública y defensa,2,Centro,0.0507426706466427
2019,L,Adm. pública y defensa,2,Centro,0.0511172778288113
2020,L,Adm. pública y defensa,2,Centro,0.0521483622882278
2021,L,Adm. pública y defensa,2,Centro,0.0496630751924089
2022,L,Adm. pública y defensa,2,Centro,0.0504198245475084
2004,A,Agro,2,Centro,0.0979032201370346
2005,A,Agro,2,Centro,0.108916087094644
2006,A,Agro,2,Centro,0.095656105159739
2007,A,Agro,2,Centro,0.097703076152619
2008,A,Agro,2,Centro,0.0908796834532029
2009,A,Agro,2,Centro,0.0701003746764704
2010,A,Agro,2,Centro,0.0907921956841553
2011,A,Agro,2,Centro,0.0820277771298226
2012,A,Agro,2,Centro,0.0748291636524281
2013,A,Agro,2,Centro,0.0839784785091485
2014,A,Agro,2,Centro,0.0847856082306754
2015,A,Agro,2,Centro,0.0908581786477584
2016,A,Agro,2,Centro,0.0873234616173194
2017,A,Agro,2,Centro,0.08701056694334
2018,A,Agro,2,Centro,0.07333346647082
2019,A,Agro,2,Centro,0.0942031983918408
2020,A,Agro,2,Centro,0.0960866312280886
2021,A,Agro,2,Centro,0.0886548589979178
2022,A,Agro,2,Centro,0.0800382750488784
2004,O,"Serv. comunitarios, sociales y personales",2,Centro,0.032913782701343
2005,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0331321011402106
2006,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0338966881467944
2007,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0336616410996273
2008,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0338344749777754
2009,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0359966380835416
2010,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0343631980660769
2011,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0339167147251343
2012,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0350571612556938
2013,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0337689951712842
2014,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0340137117961856
2015,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0333255205180137
2016,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0339022032342978
2017,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0335976656184481
2018,O,"Serv. comunitarios, sociales y personales",2,Centro,0.034336674333605
2019,O,"Serv. comunitarios, sociales y personales",2,Centro,0.033965241040402
2020,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0232633709221767
2021,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0277275630984232
2022,O,"Serv. comunitarios, sociales y personales",2,Centro,0.0288437496231302
2004,E,"Electricidad, gas y agua",2,Centro,0.0190151342253765
2005,E,"Electricidad, gas y agua",2,Centro,0.0183796178177265
2006,E,"Electricidad, gas y agua",2,Centro,0.0180863811058937
2007,E,"Electricidad, gas y agua",2,Centro,0.0170202951262932
2008,E,"Electricidad, gas y agua",2,Centro,0.0169870455705328
2009,E,"Electricidad, gas y agua",2,Centro,0.017910568189022
2010,E,"Electricidad, gas y agua",2,Centro,0.0166236612842327
2011,E,"Electricidad, gas y agua",2,Centro,0.0163018568464204
2012,E,"Electricidad, gas y agua",2,Centro,0.0171477850006575
2013,E,"Electricidad, gas y agua",2,Centro,0.0169059952803937
2014,E,"Electricidad, gas y agua",2,Centro,0.0176256704008815
2015,E,"Electricidad, gas y agua",2,Centro,0.01777999914027
2016,E,"Electricidad, gas y agua",2,Centro,0.0183440484809365
2017,E,"Electricidad, gas y agua",2,Centro,0.0175902360369789
2018,E,"Electricidad, gas y agua",2,Centro,0.0182199970475919
2019,E,"Electricidad, gas y agua",2,Centro,0.0179613685192962
2020,E,"Electricidad, gas y agua",2,Centro,0.0203057003978576
2021,E,"Electricidad, gas y agua",2,Centro,0.0189392773277188
2022,E,"Electricidad, gas y agua",2,Centro,0.0188105076261887
2004,G,Comercio,2,Centro,0.150434806407327
2005,G,Comercio,2,Centro,0.15164921200187
2006,G,Comercio,2,Centro,0.154672545992957
2007,G,Comercio,2,Centro,0.159087620609564
2008,G,Comercio,2,Centro,0.161164344581339
2009,G,Comercio,2,Centro,0.157190789202751
2010,G,Comercio,2,Centro,0.160523333196336
2011,G,Comercio,2,Centro,0.167987989460766
2012,G,Comercio,2,Centro,0.165256856639291
2013,G,Comercio,2,Centro,0.164672951681246
2014,G,Comercio,2,Centro,0.156424537360819
2015,G,Comercio,2,Centro,0.157562673407187
2016,G,Comercio,2,Centro,0.156120655744092
2017,G,Comercio,2,Centro,0.157065935018984
2018,G,Comercio,2,Centro,0.155582954350745
2019,G,Comercio,2,Centro,0.146492896639961
2020,G,Comercio,2,Centro,0.154504527715176
2021,G,Comercio,2,Centro,0.159087364249449
2022,G,Comercio,2,Centro,0.161165412297295
2004,I,Transporte y comunicaciones,2,Centro,0.0770929953618405
2005,I,Transporte y comunicaciones,2,Centro,0.0804853003888269
2006,I,Transporte y comunicaciones,2,Centro,0.0844180879019766
2007,I,Transporte y comunicaciones,2,Centro,0.0876223176100364
2008,I,Transporte y comunicaciones,2,Centro,0.0886378900791661
2009,I,Transporte y comunicaciones,2,Centro,0.0936074359608374
2010,I,Transporte y comunicaciones,2,Centro,0.0920873185093766
