iso3,anio,intensidad_id_ocde,empleo,share
AUS,2011,Baja intensidad de I+D,9799.699896812439,.87148726
AUS,2011,Media y alta intensidad de I+D,1445.099969863892,.12851274
AUS,2012,Baja intensidad de I+D,9914.600008964539,.87626612
AUS,2012,Media y alta intensidad de I+D,1400.000007629395,.12373395
AUS,2013,Baja intensidad de I+D,9978.80010175705,.87281442
AUS,2013,Media y alta intensidad de I+D,1454.100027084351,.12718558
AUS,2014,Baja intensidad de I+D,10151.49988746643,.86932135
AUS,2014,Media y alta intensidad de I+D,1526.000001907349,.13067865
AUS,2015,Baja intensidad de I+D,10434.10007858276,.87480086
AUS,2015,Media y alta intensidad de I+D,1493.300003051758,.12519912
AUS,2016,Baja intensidad de I+D,10700.99995994568,.87807399
AUS,2016,Media y alta intensidad de I+D,1485.899980545044,.12192599
AUS,2017,Baja intensidad de I+D,10975.09995174408,.87452388
AUS,2017,Media y alta intensidad de I+D,1574.700037002563,.12547611
AUS,2018,Baja intensidad de I+D,11223.89998483658,.87152904
AUS,2018,Media y alta intensidad de I+D,1654.499982833862,.12847093
AUS,2019,Baja intensidad de I+D,11398.79996204376,.86838073
AUS,2019,Media y alta intensidad de I+D,1727.700016021729,.13161924
AUS,2020,Baja intensidad de I+D,11298.49999237061,.86834061
AUS,2020,Media y alta intensidad de I+D,1713.100008010864,.13165945
AUT,1995,Baja intensidad de I+D,3064.900015830994,.85439897
AUT,1995,Media y alta intensidad de I+D,522.2999973297119,.14560103
AUT,1996,Baja intensidad de I+D,3079.599968492985,.85513562
AUT,1996,Media y alta intensidad de I+D,521.6999945640564,.14486435
AUT,1997,Baja intensidad de I+D,3099.900009334087,.85455549
AUT,1997,Media y alta intensidad de I+D,527.600001335144,.14544453
AUT,1998,Baja intensidad de I+D,3121.699995845556,.85199237
AUT,1998,Media y alta intensidad de I+D,542.3000078201294,.14800765
AUT,1999,Baja intensidad de I+D,3159.500057429075,.84932798
AUT,1999,Media y alta intensidad de I+D,560.4999957084656,.15067205
AUT,2000,Baja intensidad de I+D,3176.300018280745,.84579539
AUT,2000,Media y alta intensidad de I+D,579.0999984741211,.15420462
AUT,2001,Baja intensidad de I+D,3187.499941438437,.8428303
AUT,2001,Media y alta intensidad de I+D,594.3999919891357,.15716968
AUT,2002,Baja intensidad de I+D,3180.99996432662,.84189075
AUT,2002,Media y alta intensidad de I+D,597.3999972343445,.15810926
AUT,2003,Baja intensidad de I+D,3203.699983686209,.84236962
AUT,2003,Media y alta intensidad de I+D,599.5000038146973,.15763041
AUT,2004,Baja intensidad de I+D,3223.500012606382,.84228265
AUT,2004,Media y alta intensidad de I+D,603.6000061035156,.15771733
AUT,2005,Baja intensidad de I+D,3260.800029009581,.84188789
AUT,2005,Media y alta intensidad de I+D,612.4000005722046,.15811215
AUT,2006,Baja intensidad de I+D,3319.699993342161,.84245652
AUT,2006,Media y alta intensidad de I+D,620.8000044822693,.15754347
AUT,2007,Baja intensidad de I+D,3364.599996864796,.83850867
AUT,2007,Media y alta intensidad de I+D,648.0000009536743,.1614913
AUT,2008,Baja intensidad de I+D,3417.800031006336,.83591366
AUT,2008,Media y alta intensidad de I+D,670.8999948501587,.16408639
AUT,2009,Baja intensidad de I+D,3403.600063979626,.83684111
AUT,2009,Media y alta intensidad de I+D,663.6000051498413,.16315894
AUT,2010,Baja intensidad de I+D,3433.099982440472,.83772963
AUT,2010,Media y alta intensidad de I+D,665.0000076293945,.16227032
AUT,2011,Baja intensidad de I+D,3480.499992787838,.83631682
AUT,2011,Media y alta intensidad de I+D,681.1999979019165,.1636831
AUT,2012,Baja intensidad de I+D,3507.700033962727,.83425295
AUT,2012,Media y alta intensidad de I+D,696.9000005722046,.16574703
AUT,2013,Baja intensidad de I+D,3513.899963773787,.83277637
AUT,2013,Media y alta intensidad de I+D,705.6000080108643,.1672236
AUT,2014,Baja intensidad de I+D,3550.599977150559,.833435
AUT,2014,Media y alta intensidad de I+D,709.5999841690063,.16656494
AUT,2015,Baja intensidad de I+D,3570.200008884072,.83314663
AUT,2015,Media y alta intensidad de I+D,715,.16685335
AUT,2016,Baja intensidad de I+D,3615.099988855422,.83278048
AUT,2016,Media y alta intensidad de I+D,725.8999862670898,.16721953
AUT,2017,Baja intensidad de I+D,3670.000003919005,.83163381
AUT,2017,Media y alta intensidad de I+D,743.0000009536743,.16836619
AUT,2018,Baja intensidad de I+D,3715.499953851104,.82805884
AUT,2018,Media y alta intensidad de I+D,771.4999923706055,.17194116
AUT,2019,Baja intensidad de I+D,3740.999975904822,.82484454
AUT,2019,Media y alta intensidad de I+D,794.4000034332275,.17515545
AUT,2020,Baja intensidad de I+D,3661.70001386106,.8208065
AUT,2020,Media y alta intensidad de I+D,799.3999881744385,.17919347
BEL,1995,Baja intensidad de I+D,3229.300032831728,.83470327
BEL,1995,Media y alta intensidad de I+D,639.5000009536743,.16529673
BEL,1996,Baja intensidad de I+D,3234.199963189662,.83372861
BEL,1996,Media y alta intensidad de I+D,645.0000033378601,.1662714
BEL,1997,Baja intensidad de I+D,3252.900032140315,.83285969
BEL,1997,Media y alta intensidad de I+D,652.7999968528748,.16714033
BEL,1998,Baja intensidad de I+D,3307.100019313395,.8321842
BEL,1998,Media y alta intensidad de I+D,666.8999834060669,.1678158
BEL,1999,Baja intensidad de I+D,3348.599986888468,.83118623
BEL,1999,Media y alta intensidad de I+D,680.099992275238,.16881377
BEL,2000,Baja intensidad de I+D,3403.00001976639,.82804096
BEL,2000,Media y alta intensidad de I+D,706.6999969482422,.17195901
BEL,2001,Baja intensidad de I+D,3435.299998022616,.82458413
BEL,2001,Media y alta intensidad de I+D,730.7999877929688,.17541584
BEL,2002,Baja intensidad de I+D,3453.700006045401,.82709479
BEL,2002,Media y alta intensidad de I+D,721.9999952316284,.17290513
BEL,2003,Baja intensidad de I+D,3451.999959982932,.82746059
BEL,2003,Media y alta intensidad de I+D,719.7999920845032,.17253944
BEL,2004,Baja intensidad de I+D,3492.399978138506,.82899737
BEL,2004,Media y alta intensidad de I+D,720.3999872207642,.17100266
BEL,2005,Baja intensidad de I+D,3541.499978996813,.82871181
BEL,2005,Media y alta intensidad de I+D,732.0000009536743,.17128818
BEL,2006,Baja intensidad de I+D,3573.2999772802,.82694221
BEL,2006,Media y alta intensidad de I+D,747.8000082969666,.17305778
BEL,2007,Baja intensidad de I+D,3629.399982668459,.82606518
BEL,2007,Media y alta intensidad de I+D,764.1999959945679,.1739348
BEL,2008,Baja intensidad de I+D,3684.599952913821,.82396352
BEL,2008,Media y alta intensidad de I+D,787.2000141143799,.17603651
BEL,2009,Baja intensidad de I+D,3682.99998626858,.8250078
BEL,2009,Media y alta intensidad de I+D,781.2000141143799,.17499216
BEL,2010,Baja intensidad de I+D,3717.799953557551,.82748336
BEL,2010,Media y alta intensidad de I+D,775.0999822616577,.17251664
BEL,2011,Baja intensidad de I+D,3757.199991323054,.82512355
BEL,2011,Media y alta intensidad de I+D,796.2999954223633,.17487647
BEL,2012,Baja intensidad de I+D,3764.700003385544,.82333517
BEL,2012,Media y alta intensidad de I+D,807.7999978065491,.17666484
BEL,2013,Baja intensidad de I+D,3748.100005298853,.82213205
BEL,2013,Media y alta intensidad de I+D,810.9000105857849,.17786795
BEL,2014,Baja intensidad de I+D,3766.300022035837,.82285726
BEL,2014,Media y alta intensidad de I+D,810.7999925613403,.17714272
BEL,2015,Baja intensidad de I+D,3806.199978210032,.82429886
BEL,2015,Media y alta intensidad de I+D,811.3000116348267,.17570114
BEL,2016,Baja intensidad de I+D,3849.19998717308,.82332301
BEL,2016,Media y alta intensidad de I+D,826.0000085830688,.17667693
BEL,2017,Baja intensidad de I+D,3900.100011020899,.82131577
BEL,2017,Media y alta intensidad de I+D,848.4999918937683,.17868423
BEL,2018,Baja intensidad de I+D,3948.79997959733,.81952518
BEL,2018,Media y alta intensidad de I+D,869.5999975204468,.18047485
BEL,2019,Baja intensidad de I+D,4000.300033956766,.81718826
BEL,2019,Media y alta intensidad de I+D,894.8999996185303,.18281172
BEL,2020,Baja intensidad de I+D,3991.700019270182,.81493199
BEL,2020,Media y alta intensidad de I+D,906.4999799728394,.18506797
BGR,1995,Baja intensidad de I+D,3161.299981355667,.89837736
BGR,1995,Media y alta intensidad de I+D,357.5999989509583,.10162267
BGR,1996,Baja intensidad de I+D,3255.099988102913,.9004426
BGR,1996,Media y alta intensidad de I+D,359.8999991416931,.0995574
BGR,1997,Baja intensidad de I+D,3159.900036334991,.90184939
BGR,1997,Media y alta intensidad de I+D,343.8999972343445,.098150574
BGR,1998,Baja intensidad de I+D,3128.699989318848,.90211064
BGR,1998,Media y alta intensidad de I+D,339.5000033378601,.097889401
BGR,1999,Baja intensidad de I+D,3006.800012350082,.90615398
BGR,1999,Media y alta intensidad de I+D,311.3999967575073,.09384606
BGR,2000,Baja intensidad de I+D,2936.599963188171,.90655386
BGR,2000,Media y alta intensidad de I+D,302.6999959945679,.093446113
BGR,2001,Baja intensidad de I+D,2919.200000286102,.90796548
BGR,2001,Media y alta intensidad de I+D,295.9000024795532,.092034459
BGR,2002,Baja intensidad de I+D,2928.500034213066,.90879464
BGR,2002,Media y alta intensidad de I+D,293.9000005722046,.091205306
BGR,2003,Baja intensidad de I+D,3018.30001604557,.90983903
BGR,2003,Media y alta intensidad de I+D,299.1000027656555,.090160973
BGR,2004,Baja intensidad de I+D,3090.300038695335,.90803045
BGR,2004,Media y alta intensidad de I+D,312.9999942779541,.091969557
BGR,2005,Baja intensidad de I+D,3171.299982666969,.90725219
BGR,2005,Media y alta intensidad de I+D,324.1999998092651,.092747815
BGR,2006,Baja intensidad de I+D,3268.999963521957,.90516406
BGR,2006,Media y alta intensidad de I+D,342.4999995231628,.094835937
BGR,2007,Baja intensidad de I+D,3361.099980786443,.90194553
BGR,2007,Media y alta intensidad de I+D,365.400004863739,.098054476
BGR,2008,Baja intensidad de I+D,3432.499970033765,.89980865
BGR,2008,Media y alta intensidad de I+D,382.1999974250793,.10019136
BGR,2009,Baja intensidad de I+D,3394.699990704656,.90549481
BGR,2009,Media y alta intensidad de I+D,354.2999939918518,.094505198
BGR,2010,Baja intensidad de I+D,3239.70001848042,.89889288
BGR,2010,Media y alta intensidad de I+D,364.4000024795532,.10110707
BGR,2011,Baja intensidad de I+D,3166.600022509694,.8984282
BGR,2011,Media y alta intensidad de I+D,358,.10157181
BGR,2012,Baja intensidad de I+D,3080.899968102574,.8965748
BGR,2012,Media y alta intensidad de I+D,355.3999977111816,.10342519
BGR,2013,Baja intensidad de I+D,3063.700006201863,.89555687
BGR,2013,Media y alta intensidad de I+D,357.300000667572,.10444315
BGR,2014,Baja intensidad de I+D,3059.799981668591,.89090115
BGR,2014,Media y alta intensidad de I+D,374.6999950408936,.10909885
BGR,2015,Baja intensidad de I+D,3053.800024330616,.8861869
BGR,2015,Media y alta intensidad de I+D,392.1999998092651,.11381312
BGR,2016,Baja intensidad de I+D,3050.69994777441,.88091594
BGR,2016,Media y alta intensidad de I+D,412.4000010490417,.11908406
BGR,2017,Baja intensidad de I+D,3101.50000808388,.87973338
BGR,2017,Media y alta intensidad de I+D,423.9999952316284,.12026662
BGR,2018,Baja intensidad de I+D,3080.500013589859,.87471962
BGR,2018,Media y alta intensidad de I+D,441.2000026702881,.12528041
BGR,2019,Baja intensidad de I+D,3085.799952745438,.87315017
BGR,2019,Media y alta intensidad de I+D,448.3000063896179,.12684985
BGR,2020,Baja intensidad de I+D,3000.499960541725,.86920625
BGR,2020,Media y alta intensidad de I+D,451.5000028610229,.13079375
BRA,1995,Baja intensidad de I+D,75504.49948430061,.91415226
BRA,1995,Media y alta intensidad de I+D,7090.60009765625,.085847706
BRA,1996,Baja intensidad de I+D,72173.30005574226,.91078573
BRA,1996,Media y alta intensidad de I+D,7069.599868774414,.089214303
BRA,1997,Baja intensidad de I+D,70349.09993290901,.9102968
BRA,1997,Media y alta intensidad de I+D,6932.400016784668,.089703225
BRA,1998,Baja intensidad de I+D,66654.40035772324,.90928864
BRA,1998,Media y alta intensidad de I+D,6649.49991607666,.090711407
BRA,1999,Baja intensidad de I+D,66276.10019755363,.9123674
BRA,1999,Media y alta intensidad de I+D,6365.799911499023,.087632619
BRA,2000,Baja intensidad de I+D,71546.30039787292,.90816355
BRA,2000,Media y alta intensidad de I+D,7235.000022888184,.09183652
BRA,2001,Baja intensidad de I+D,72188.00006151199,.90944821
BRA,2001,Media y alta intensidad de I+D,7187.599952697754,.090551756
BRA,2002,Baja intensidad de I+D,75117.09996175766,.91109335
BRA,2002,Media y alta intensidad de I+D,7330.100006103516,.088906594
BRA,2003,Baja intensidad de I+D,76056.50066518784,.90762907
BRA,2003,Media y alta intensidad de I+D,7740.399963378906,.092370957
BRA,2004,Baja intensidad de I+D,79711.30068135262,.90616035
BRA,2004,Media y alta intensidad de I+D,8254.69994354248,.093839668
BRA,2005,Baja intensidad de I+D,81807.79940414429,.90321904
BRA,2005,Media y alta intensidad de I+D,8765.800155639648,.096780963
BRA,2006,Baja intensidad de I+D,83817.20068359375,.90035218
BRA,2006,Media y alta intensidad de I+D,9276.599815368652,.099647887
BRA,2007,Baja intensidad de I+D,84992.50138545036,.89853674
BRA,2007,Media y alta intensidad de I+D,9597.400077819824,.10146327
BRA,2008,Baja intensidad de I+D,85671.69892597198,.89463055
BRA,2008,Media y alta intensidad de I+D,10090.40008544922,.10536945
BRA,2009,Baja intensidad de I+D,86461.39930200577,.89500386
BRA,2009,Media y alta intensidad de I+D,10143.10018157959,.10499614
BRA,2010,Baja intensidad de I+D,90209.19905185699,.91941279
BRA,2010,Media y alta intensidad de I+D,7906.89990234375,.080587178
BRA,2011,Baja intensidad de I+D,91381.89993906021,.91785759
BRA,2011,Media y alta intensidad de I+D,8178.09992980957,.082142428
BRA,2012,Baja intensidad de I+D,92671.39959383011,.91789943
BRA,2012,Media y alta intensidad de I+D,8288.899963378906,.082100593
BRA,2013,Baja intensidad de I+D,94032.39928007126,.91705823
BRA,2013,Media y alta intensidad de I+D,8504.599899291992,.082941763
BRA,2014,Baja intensidad de I+D,96902.09978866577,.91874021
BRA,2014,Media y alta intensidad de I+D,8570.700057983398,.081259817
BRA,2015,Baja intensidad de I+D,93838.59989070892,.92039323
BRA,2015,Media y alta intensidad de I+D,8116.300025939941,.079606771
BRA,2016,Baja intensidad de I+D,92569.90090322495,.92235643
BRA,2016,Media y alta intensidad de I+D,7792.499977111816,.077643618
BRA,2017,Baja intensidad de I+D,93657.19873666763,.92165774
BRA,2017,Media y alta intensidad de I+D,7961.000045776367,.078342266
BRA,2018,Baja intensidad de I+D,95669.69996929169,.91690248
BRA,2018,Media y alta intensidad de I+D,8670.399978637695,.083097488
BRA,2019,Baja intensidad de I+D,96782.500395298,.91691595
BRA,2019,Media y alta intensidad de I+D,8769.700035095215,.08308401
BRA,2020,Baja intensidad de I+D,90721.60076236725,.91448617
BRA,2020,Media y alta intensidad de I+D,8483.400001525879,.085513838
CAN,1995,Baja intensidad de I+D,12080.00002646446,.88689196
CAN,1995,Media y alta intensidad de I+D,1540.600004196167,.11310809
CAN,1996,Baja intensidad de I+D,12198.70002365112,.88616633
CAN,1996,Media y alta intensidad de I+D,1566.999998092651,.11383366
CAN,1997,Baja intensidad de I+D,12294.99989652634,.87588072
CAN,1997,Media y alta intensidad de I+D,1742.299989700317,.12411931
CAN,1998,Baja intensidad de I+D,12509.09984707832,.871526
CAN,1998,Media y alta intensidad de I+D,1844.000024795532,.128474
CAN,1999,Baja intensidad de I+D,12827.79995965958,.87089175
CAN,1999,Media y alta intensidad de I+D,1901.700002670288,.12910825
CAN,2000,Baja intensidad de I+D,13075.39976978302,.86786312
CAN,2000,Media y alta intensidad de I+D,1990.799997329712,.13213684
CAN,2001,Baja intensidad de I+D,13225.09993839264,.86974049
CAN,2001,Media y alta intensidad de I+D,1980.699981689453,.13025951
CAN,2002,Baja intensidad de I+D,13584.89983844757,.87195045
CAN,2002,Media y alta intensidad de I+D,1995.000038146973,.12804961
CAN,2003,Baja intensidad de I+D,13854.30004119873,.8703379
CAN,2003,Media y alta intensidad de I+D,2063.999969482422,.12966208
CAN,2004,Baja intensidad de I+D,14102.59989643097,.87162304
CAN,2004,Media y alta intensidad de I+D,2077.099994659424,.12837692
CAN,2005,Baja intensidad de I+D,14327.59985113144,.87224072
CAN,2005,Media y alta intensidad de I+D,2098.600030899048,.12775932
CAN,2006,Baja intensidad de I+D,14563.59985160828,.87366223
CAN,2006,Media y alta intensidad de I+D,2106.000015258789,.12633777
CAN,2007,Baja intensidad de I+D,14865.90011310577,.87483519
CAN,2007,Media y alta intensidad de I+D,2126.899951934814,.12516476
CAN,2008,Baja intensidad de I+D,15121.29992580414,.87709028
CAN,2008,Media y alta intensidad de I+D,2118.999988555908,.12290969
CAN,2009,Baja intensidad de I+D,14968.39999198914,.88299763
CAN,2009,Media y alta intensidad de I+D,1983.399974822998,.11700232
CAN,2010,Baja intensidad de I+D,15234.6997718811,.88319153
CAN,2010,Media y alta intensidad de I+D,2014.900001525879,.11680851
CAN,2011,Baja intensidad de I+D,15467.99992179871,.88231772
CAN,2011,Media y alta intensidad de I+D,2063.099973678589,.11768229
CAN,2012,Baja intensidad de I+D,15629.30006313324,.88319093
CAN,2012,Media y alta intensidad de I+D,2067.099973678589,.11680906
CAN,2013,Baja intensidad de I+D,15823.2999329567,.88361794
CAN,2013,Media y alta intensidad de I+D,2084.100019454956,.11638205
CAN,2014,Baja intensidad de I+D,15901.90010166168,.88382679
CAN,2014,Media y alta intensidad de I+D,2090.200021743774,.11617322
CAN,2015,Baja intensidad de I+D,15987.60015821457,.88206965
CAN,2015,Media y alta intensidad de I+D,2137.499969482422,.11793038
CAN,2016,Baja intensidad de I+D,16139.89994525909,.88208222
CAN,2016,Media y alta intensidad de I+D,2157.599994659424,.11791775
CAN,2017,Baja intensidad de I+D,16474.39976167679,.88154966
CAN,2017,Media y alta intensidad de I+D,2213.599987030029,.11845034
CAN,2018,Baja intensidad de I+D,16709.79997158051,.8800931
CAN,2018,Media y alta intensidad de I+D,2276.599979400635,.11990688
CAN,2019,Baja intensidad de I+D,17057.19997692108,.87993109
CAN,2019,Media y alta intensidad de I+D,2327.499984741211,.12006892
CAN,2020,Baja intensidad de I+D,15376.09985494614,.87547261
CAN,2020,Media y alta intensidad de I+D,2187.100023269653,.12452742
CHE,1995,Baja intensidad de I+D,3208.599972635508,.81948209
CHE,1995,Media y alta intensidad de I+D,706.800012588501,.18051796
CHE,1996,Baja intensidad de I+D,3206.60002553463,.82119441
CHE,1996,Media y alta intensidad de I+D,698.1999897956848,.17880557
CHE,1997,Baja intensidad de I+D,3204.600002169609,.82183981
CHE,1997,Media y alta intensidad de I+D,694.6999988555908,.17816018
CHE,1998,Baja intensidad de I+D,3249.600001215935,.82239211
CHE,1998,Media y alta intensidad de I+D,701.7999973297119,.17760794
CHE,1999,Baja intensidad de I+D,3272.400009989738,.82159179
CHE,1999,Media y alta intensidad de I+D,710.6000156402588,.17840824
CHE,2000,Baja intensidad de I+D,3293.100014954805,.81881249
CHE,2000,Media y alta intensidad de I+D,728.6999936103821,.18118753
CHE,2001,Baja intensidad de I+D,3332.600006699562,.81511557
CHE,2001,Media y alta intensidad de I+D,755.899995803833,.18488443
CHE,2002,Baja intensidad de I+D,3360.699978709221,.81610006
CHE,2002,Media y alta intensidad de I+D,757.2999997138977,.18389995
CHE,2003,Baja intensidad de I+D,3361.200021624565,.81916547
CHE,2003,Media y alta intensidad de I+D,742.0000057220459,.18083446
CHE,2004,Baja intensidad de I+D,3374.500031203032,.8201682
CHE,2004,Media y alta intensidad de I+D,739.8999919891357,.17983182
CHE,2005,Baja intensidad de I+D,3399.899992823601,.82024127
CHE,2005,Media y alta intensidad de I+D,745.0999870300293,.17975874
CHE,2006,Baja intensidad de I+D,3464.90003708005,.81821615
CHE,2006,Media y alta intensidad de I+D,769.7999958992004,.18178383
CHE,2007,Baja intensidad de I+D,3549.900004267693,.81710207
CHE,2007,Media y alta intensidad de I+D,794.600004196167,.18289791
CHE,2008,Baja intensidad de I+D,3633.299979805946,.81674719
CHE,2008,Media y alta intensidad de I+D,815.2000150680542,.18325278
CHE,2009,Baja intensidad de I+D,3654.699986815453,.81773436
CHE,2009,Media y alta intensidad de I+D,814.5999889373779,.18226568
CHE,2010,Baja intensidad de I+D,3676.80000744015,.82043958
CHE,2010,Media y alta intensidad de I+D,804.7000007629395,.17956041
CHE,2011,Baja intensidad de I+D,3768.899998046458,.81982505
CHE,2011,Media y alta intensidad de I+D,828.3000087738037,.18017489
CHE,2012,Baja intensidad de I+D,3830.600060082972,.81857425
CHE,2012,Media y alta intensidad de I+D,849.0000071525574,.18142577
CHE,2013,Baja intensidad de I+D,3877.499967135489,.81871158
CHE,2013,Media y alta intensidad de I+D,858.600001335144,.18128839
CHE,2014,Baja intensidad de I+D,3948.000055886805,.81818742
