geocodigoFundar,geonombreFundar,anio,letra,es_agregacion,letra_desc_abrev,valor_relativo_arg
ARG,Argentina,1995,A,0,Agro y pesca,100.0
AUS,Australia,1995,A,0,Agro y pesca,511.733558918445
AUT,Austria,1995,A,0,Agro y pesca,313.636933295736
BEL,Bélgica,1995,A,0,Agro y pesca,694.925901557164
BGR,Bulgaria,1995,A,0,Agro y pesca,36.3301688755209
BRA,Brasil,1995,A,0,Agro y pesca,36.0951843844973
CAN,Canadá,1995,A,0,Agro y pesca,439.524391390168
CHE,Suiza,1995,A,0,Agro y pesca,511.319986214243
CHL,Chile,1995,A,0,Agro y pesca,115.357019770029
CHN,China,1995,A,0,Agro y pesca,5.64119434783971
COL,Colombia,1995,A,0,Agro y pesca,45.0574928721371
CRI,Costa Rica,1995,A,0,Agro y pesca,104.403609361782
CYP,Chipre,1995,A,0,Agro y pesca,347.527963154432
CZE,Chequia,1995,A,0,Agro y pesca,147.355641194348
DEU,Alemania,1995,A,0,Agro y pesca,496.581758937243
DNK,Dinamarca,1995,A,0,Agro y pesca,811.522072876524
EA19,Eurozona,1995,A,1,Agro y pesca,384.942193815208
EGY,Egipto,1995,A,0,Agro y pesca,19.7919603972804
ESP,España,1995,A,0,Agro y pesca,381.035185011123
EST,Estonia,1995,A,0,Agro y pesca,37.5426888492026
EU13,Unión Europea (28 países excluyendo EU15),1995,A,1,Agro y pesca,40.6789485227308
EU15,Unión Europea (15 países),1995,A,1,Agro y pesca,450.412006140928
EU27_2020,Unión Europea (27 países),1995,A,1,Agro y pesca,197.125356393145
EU28,Unión Europea (28 países),1995,A,1,Agro y pesca,206.308550302347
FIN,Finlandia,1995,A,0,Agro y pesca,487.198044929035
FRA,Francia,1995,A,0,Agro y pesca,609.308518971081
G20,G-20,1995,A,1,Agro y pesca,18.8426230535451
GBR,Reino Unido,1995,A,0,Agro y pesca,541.231945358273
GRC,Grecia,1995,A,0,Agro y pesca,206.446407870414
HRV,Croacia,1995,A,0,Agro y pesca,96.161919979948
HUN,Hungría,1995,A,0,Agro y pesca,164.678697872607
IDN,Indonesia,1995,A,0,Agro y pesca,13.9847103424507
IND,India,1995,A,0,Agro y pesca,5.20725632108281
IRL,Irlanda,1995,A,0,Agro y pesca,399.254315881819
ISL,Islandia,1995,A,0,Agro y pesca,926.916690165116
ISR,Israel,1995,A,0,Agro y pesca,371.096907604098
ITA,Italia,1995,A,0,Agro y pesca,442.956731522386
JPN,Japón,1995,A,0,Agro y pesca,309.740890434565
KAZ,Kazajstán,1995,A,0,Agro y pesca,5.72735532788169
KOR,Corea del Sur,1995,A,0,Agro y pesca,195.328508318451
LTU,Lituania,1995,A,0,Agro y pesca,37.2622740232478
LUX,Luxemburgo,1995,A,0,Agro y pesca,594.366638468528
LVA,Letonia,1995,A,0,Agro y pesca,50.7801485101983
