geocodigoFundar,geonombreFundar,anio,letra,es_agregacion,letra_desc_abrev,valor_relativo_arg
MEX,México,1995,A,0,Agro y pesca,107.071466616537
MLT,Malta,1995,A,0,Agro y pesca,610.547670520412
MYS,Malasia,1995,A,0,Agro y pesca,74.2049691387035
NLD,Países Bajos,1995,A,0,Agro y pesca,983.323933953692
NOR,Noruega,1995,A,0,Agro y pesca,609.416611836952
NZL,Nueva Zelanda,1995,A,0,Agro y pesca,302.586395964533
OECD,Países miembros de OCDE,1995,A,1,Agro y pesca,241.628285866466
PER,Perú,1995,A,0,Agro y pesca,14.2369270294827
PHL,Filipinas,1995,A,0,Agro y pesca,15.0891374502616
POL,Polonia,1995,A,0,Agro y pesca,39.5369238963562
PRT,Portugal,1995,A,0,Agro y pesca,138.465394617289
ROU,Rumania,1995,A,0,Agro y pesca,21.789328570981
RUS,Rusia,1995,A,0,Agro y pesca,31.8983613748159
SAU,Arabia Saudita,1995,A,0,Agro y pesca,170.066108970141
SGP,Singapur,1995,A,0,Agro y pesca,111.346617789893
SVK,Eslovaquia,1995,A,0,Agro y pesca,40.324905222922
SVN,Eslovenia,1995,A,0,Agro y pesca,111.103800482501
SWE,Suecia,1995,A,0,Agro y pesca,953.292916000877
THA,Tailandia,1995,A,0,Agro y pesca,13.774790863803
TUR,Turquía,1995,A,0,Agro y pesca,67.7648275213836
TWN,Taiwán,1995,A,0,Agro y pesca,92.237678979854
UKR,Ucrania,1995,A,0,Agro y pesca,21.2833286336435
USA,Estados Unidos,1995,A,0,Agro y pesca,613.251558730457
VNM,Vietnam,1995,A,0,Agro y pesca,2.45793777610678
ZAF,Sudáfrica,1995,A,0,Agro y pesca,40.1901807814018
ZEUR,Europa,1995,A,1,Agro y pesca,134.122881223173
ZNAM,América del Norte,1995,A,1,Agro y pesca,375.007049534731
ARG,Argentina,1995,B,0,Petróleo y minería,100.0
AUS,Australia,1995,B,0,Petróleo y minería,207.716167856215
AUT,Austria,1995,B,0,Petróleo y minería,88.7868609928227
BEL,Bélgica,1995,B,0,Petróleo y minería,112.833623223175
BGR,Bulgaria,1995,B,0,Petróleo y minería,6.34728803054839
BRA,Brasil,1995,B,0,Petróleo y minería,24.5408744677023
CAN,Canadá,1995,B,0,Petróleo y minería,154.375837181871
CHE,Suiza,1995,B,0,Petróleo y minería,109.879045962534
CHL,Chile,1995,B,0,Petróleo y minería,47.3083228373218
CHN,China,1995,B,0,Petróleo y minería,2.88790259701313
COL,Colombia,1995,B,0,Petróleo y minería,21.6330794298167
CRI,Costa Rica,1995,B,0,Petróleo y minería,15.2367100501809
CYP,Chipre,1995,B,0,Petróleo y minería,36.7778244267178
CZE,Chequia,1995,B,0,Petróleo y minería,13.8829244886943
DEU,Alemania,1995,B,0,Petróleo y minería,74.5460724924529
DNK,Dinamarca,1995,B,0,Petróleo y minería,356.00221915672
EA19,Eurozona,1995,B,1,Petróleo y minería,97.4481696955157
EGY,Egipto,1995,B,0,Petróleo y minería,205.751814310562
ESP,España,1995,B,0,Petróleo y minería,67.0566184849757
EST,Estonia,1995,B,0,Petróleo y minería,6.47653891521222
EU13,Unión Europea (28 países excluyendo EU15),1995,B,1,Petróleo y minería,11.144065255203
EU15,Unión Europea (15 países),1995,B,1,Petróleo y minería,153.092724764589
EU27_2020,Unión Europea (27 países),1995,B,1,Petróleo y minería,44.95491713149
EU28,Unión Europea (28 países),1995,B,1,Petróleo y minería,64.3173594034267
FIN,Finlandia,1995,B,0,Petróleo y minería,81.5555089066155
FRA,Francia,1995,B,0,Petróleo y minería,69.9319258681701
G20,G-20,1995,B,1,Petróleo y minería,22.5937143885324
GBR,Reino Unido,1995,B,0,Petróleo y minería,424.392630800296
GRC,Grecia,1995,B,0,Petróleo y minería,41.5236210240109
HRV,Croacia,1995,B,0,Petróleo y minería,6.5225214418521
HUN,Hungría,1995,B,0,Petróleo y minería,5.48591535216618
IDN,Indonesia,1995,B,0,Petróleo y minería,35.8567744257182
IND,India,1995,B,0,Petróleo y minería,3.229272876307
IRL,Irlanda,1995,B,0,Petróleo y minería,116.266718646914
ISL,Islandia,1995,B,0,Petróleo y minería,80.4685219616546
ISR,Israel,1995,B,0,Petróleo y minería,147.77804434315
ITA,Italia,1995,B,0,Petróleo y minería,203.546152462064
JPN,Japón,1995,B,0,Petróleo y minería,103.732981467043
KAZ,Kazajstán,1995,B,0,Petróleo y minería,20.9394430116556
KOR,Corea del Sur,1995,B,0,Petróleo y minería,79.3564445510706
LTU,Lituania,1995,B,0,Petróleo y minería,6.85689438013555
LUX,Luxemburgo,1995,B,0,Petróleo y minería,146.603990483616
LVA,Letonia,1995,B,0,Petróleo y minería,3.327735460525
MEX,México,1995,B,0,Petróleo y minería,112.022831324097
MLT,Malta,1995,B,0,Petróleo y minería,41.1599592154981
MYS,Malasia,1995,B,0,Petróleo y minería,272.996561306703
NLD,Países Bajos,1995,B,0,Petróleo y minería,842.685379555769
NOR,Noruega,1995,B,0,Petróleo y minería,609.200003998481
NZL,Nueva Zelanda,1995,B,0,Petróleo y minería,148.349527179672
OECD,Países miembros de OCDE,1995,B,1,Petróleo y minería,103.415801995242
PER,Perú,1995,B,0,Petróleo y minería,115.059977208661
PHL,Filipinas,1995,B,0,Petróleo y minería,9.46500329874648
POL,Polonia,1995,B,0,Petróleo y minería,17.7029728703093
PRT,Portugal,1995,B,0,Petróleo y minería,48.6131270117355
ROU,Rumania,1995,B,0,Petróleo y minería,4.38183490273696
RUS,Rusia,1995,B,0,Petróleo y minería,28.049841060397
SAU,Arabia Saudita,1995,B,0,Petróleo y minería,1884.75839181111
SGP,Singapur,1995,B,0,Petróleo y minería,0.0
SVK,Eslovaquia,1995,B,0,Petróleo y minería,9.40752514044663
SVN,Eslovenia,1995,B,0,Petróleo y minería,19.9515184229993
SWE,Suecia,1995,B,0,Petróleo y minería,82.6261020812091
THA,Tailandia,1995,B,0,Petróleo y minería,57.7479557768048
TUR,Turquía,1995,B,0,Petróleo y minería,17.8852036226234
TWN,Taiwán,1995,B,0,Petróleo y minería,54.8809452408085
UKR,Ucrania,1995,B,0,Petróleo y minería,6.91577200663748
USA,Estados Unidos,1995,B,0,Petróleo y minería,130.51080589376
VNM,Vietnam,1995,B,0,Petróleo y minería,15.9909234490893
ZAF,Sudáfrica,1995,B,0,Petróleo y minería,13.6028309242488
ZEUR,Europa,1995,B,1,Petróleo y minería,47.2191567204462
ZNAM,América del Norte,1995,B,1,Petróleo y minería,130.082768547952
ARG,Argentina,1995,C,0,Industria manufacturera,100.0
AUS,Australia,1995,C,0,Industria manufacturera,156.108394557871
AUT,Austria,1995,C,0,Industria manufacturera,233.159256134996
BEL,Bélgica,1995,C,0,Industria manufacturera,291.390179105836
BGR,Bulgaria,1995,C,0,Industria manufacturera,9.03894685628481
BRA,Brasil,1995,C,0,Industria manufacturera,41.3553519987959
CAN,Canadá,1995,C,0,Industria manufacturera,198.756374760673
CHE,Suiza,1995,C,0,Industria manufacturera,355.144436238392
CHL,Chile,1995,C,0,Industria manufacturera,84.492311784863
CHN,China,1995,C,0,Industria manufacturera,7.25628900548483
COL,Colombia,1995,C,0,Industria manufacturera,26.6324112608813
CRI,Costa Rica,1995,C,0,Industria manufacturera,38.5982351932292
CYP,Chipre,1995,C,0,Industria manufacturera,87.1587731057729
CZE,Chequia,1995,C,0,Industria manufacturera,36.7350724718845
DEU,Alemania,1995,C,0,Industria manufacturera,241.725674403301
DNK,Dinamarca,1995,C,0,Industria manufacturera,235.890821394694
EA19,Eurozona,1995,C,1,Industria manufacturera,204.338512480005
EGY,Egipto,1995,C,0,Industria manufacturera,16.2612838076704
ESP,España,1995,C,0,Industria manufacturera,153.943163561395
EST,Estonia,1995,C,0,Industria manufacturera,16.8699706332233
EU13,Unión Europea (28 países excluyendo EU15),1995,C,1,Industria manufacturera,28.072398380102
EU15,Unión Europea (15 países),1995,C,1,Industria manufacturera,212.501706353234
EU27_2020,Unión Europea (27 países),1995,C,1,Industria manufacturera,160.120337280405
EU28,Unión Europea (28 países),1995,C,1,Industria manufacturera,162.514482126169
FIN,Finlandia,1995,C,0,Industria manufacturera,278.968277580794
FRA,Francia,1995,C,0,Industria manufacturera,253.0222578466
G20,G-20,1995,C,1,Industria manufacturera,71.5023258907164
GBR,Reino Unido,1995,C,0,Industria manufacturera,183.233985656132
GRC,Grecia,1995,C,0,Industria manufacturera,124.650591360777
HRV,Croacia,1995,C,0,Industria manufacturera,48.8468552347417
HUN,Hungría,1995,C,0,Industria manufacturera,35.8351680276657
IDN,Indonesia,1995,C,0,Industria manufacturera,19.9386062856803
IND,India,1995,C,0,Industria manufacturera,5.79670070039237
IRL,Irlanda,1995,C,0,Industria manufacturera,205.307721117128
ISL,Islandia,1995,C,0,Industria manufacturera,148.777551041838
ISR,Israel,1995,C,0,Industria manufacturera,119.721593156386
ITA,Italia,1995,C,0,Industria manufacturera,180.308158643598
JPN,Japón,1995,C,0,Industria manufacturera,345.575557321218
KAZ,Kazajstán,1995,C,0,Industria manufacturera,13.8132357007599
KOR,Corea del Sur,1995,C,0,Industria manufacturera,109.686136011229
LTU,Lituania,1995,C,0,Industria manufacturera,18.0316909173005
LUX,Luxemburgo,1995,C,0,Industria manufacturera,283.310990314914
LVA,Letonia,1995,C,0,Industria manufacturera,23.7132346506964
MEX,México,1995,C,0,Industria manufacturera,49.5976506578648
MLT,Malta,1995,C,0,Industria manufacturera,67.3640255235442
MYS,Malasia,1995,C,0,Industria manufacturera,36.7728747589229
NLD,Países Bajos,1995,C,0,Industria manufacturera,279.718022940388
NOR,Noruega,1995,C,0,Industria manufacturera,233.159956177349
NZL,Nueva Zelanda,1995,C,0,Industria manufacturera,153.318375761734
OECD,Países miembros de OCDE,1995,C,1,Industria manufacturera,200.97795916653
PER,Perú,1995,C,0,Industria manufacturera,29.150463603048
PHL,Filipinas,1995,C,0,Industria manufacturera,24.0951077540191
POL,Polonia,1995,C,0,Industria manufacturera,33.3328666384316
PRT,Portugal,1995,C,0,Industria manufacturera,70.243299719633
ROU,Rumania,1995,C,0,Industria manufacturera,13.3746591668796
RUS,Rusia,1995,C,0,Industria manufacturera,15.5195889351306
SAU,Arabia Saudita,1995,C,0,Industria manufacturera,267.125661102497
SGP,Singapur,1995,C,0,Industria manufacturera,159.209232158546
SVK,Eslovaquia,1995,C,0,Industria manufacturera,28.7916918973598
SVN,Eslovenia,1995,C,0,Industria manufacturera,63.7994098642968
SWE,Suecia,1995,C,0,Industria manufacturera,277.211171275862
THA,Tailandia,1995,C,0,Industria manufacturera,30.8967192515147
TUR,Turquía,1995,C,0,Industria manufacturera,50.832875388961
TWN,Taiwán,1995,C,0,Industria manufacturera,110.174415552141
UKR,Ucrania,1995,C,0,Industria manufacturera,24.5749867867006
USA,Estados Unidos,1995,C,0,Industria manufacturera,257.691190317014
VNM,Vietnam,1995,C,0,Industria manufacturera,6.41658820358632
ZAF,Sudáfrica,1995,C,0,Industria manufacturera,86.9753620094016
ZEUR,Europa,1995,C,1,Industria manufacturera,127.409108251049
ZNAM,América del Norte,1995,C,1,Industria manufacturera,209.822644269978
ARG,Argentina,1995,D,0,Electricidad y gas,100.0
AUS,Australia,1995,D,0,Electricidad y gas,143.609853921158
AUT,Austria,1995,D,0,Electricidad y gas,207.900253070043
BEL,Bélgica,1995,D,0,Electricidad y gas,330.836497983906
BGR,Bulgaria,1995,D,0,Electricidad y gas,11.3583669689023
BRA,Brasil,1995,D,0,Electricidad y gas,96.0277897631587
CAN,Canadá,1995,D,0,Electricidad y gas,175.017672061618
CHE,Suiza,1995,D,0,Electricidad y gas,456.1679830185
CHL,Chile,1995,D,0,Electricidad y gas,154.281127054218
CHN,China,1995,D,0,Electricidad y gas,6.61868434178838
COL,Colombia,1995,D,0,Electricidad y gas,32.4382548877403
CRI,Costa Rica,1995,D,0,Electricidad y gas,25.9626810940052
CYP,Chipre,1995,D,0,Electricidad y gas,78.5697309460495
CZE,Chequia,1995,D,0,Electricidad y gas,52.6241863966437
DEU,Alemania,1995,D,0,Electricidad y gas,133.205727278013
DNK,Dinamarca,1995,D,0,Electricidad y gas,298.749032244245
EA19,Eurozona,1995,D,1,Electricidad y gas,163.59269697591
EGY,Egipto,1995,D,0,Electricidad y gas,6.7002869351188
ESP,España,1995,D,0,Electricidad y gas,278.693766887912
EST,Estonia,1995,D,0,Electricidad y gas,8.87693410896598
EU13,Unión Europea (28 países excluyendo EU15),1995,D,1,Electricidad y gas,20.5189720929331
EU15,Unión Europea (15 países),1995,D,1,Electricidad y gas,179.967889379524
EU27_2020,Unión Europea (27 países),1995,D,1,Electricidad y gas,116.095397511733
EU28,Unión Europea (28 países),1995,D,1,Electricidad y gas,118.153312912284
FIN,Finlandia,1995,D,0,Electricidad y gas,176.751625166648
FRA,Francia,1995,D,0,Electricidad y gas,256.283654694546
G20,G-20,1995,D,1,Electricidad y gas,61.8849587039876
GBR,Reino Unido,1995,D,0,Electricidad y gas,141.204821489227
GRC,Grecia,1995,D,0,Electricidad y gas,95.254911201078
HRV,Croacia,1995,D,0,Electricidad y gas,46.7022861986554
HUN,Hungría,1995,D,0,Electricidad y gas,21.240645027699
IDN,Indonesia,1995,D,0,Electricidad y gas,16.1059038456242
IND,India,1995,D,0,Electricidad y gas,21.8896916544008
IRL,Irlanda,1995,D,0,Electricidad y gas,200.184523864168
ISL,Islandia,1995,D,0,Electricidad y gas,187.869876504675
ISR,Israel,1995,D,0,Electricidad y gas,62.1195661598126
ITA,Italia,1995,D,0,Electricidad y gas,162.388446704836
JPN,Japón,1995,D,0,Electricidad y gas,414.800058345854
KAZ,Kazajstán,1995,D,0,Electricidad y gas,3.94711743939222
KOR,Corea del Sur,1995,D,0,Electricidad y gas,179.144723219304
LTU,Lituania,1995,D,0,Electricidad y gas,11.1536464628846
LUX,Luxemburgo,1995,D,0,Electricidad y gas,179.579563038513
LVA,Letonia,1995,D,0,Electricidad y gas,16.0766289152669
MEX,México,1995,D,0,Electricidad y gas,49.8281755394186
MLT,Malta,1995,D,0,Electricidad y gas,36.1618832246489
MYS,Malasia,1995,D,0,Electricidad y gas,68.5934058984394
NLD,Países Bajos,1995,D,0,Electricidad y gas,227.766302413091
NOR,Noruega,1995,D,0,Electricidad y gas,189.387276727654
NZL,Nueva Zelanda,1995,D,0,Electricidad y gas,117.261906583391
OECD,Países miembros de OCDE,1995,D,1,Electricidad y gas,183.868085327752
PER,Perú,1995,D,0,Electricidad y gas,50.5816734855834
PHL,Filipinas,1995,D,0,Electricidad y gas,62.2962357743729
POL,Polonia,1995,D,0,Electricidad y gas,22.2765899500286
PRT,Portugal,1995,D,0,Electricidad y gas,168.794352284516
ROU,Rumania,1995,D,0,Electricidad y gas,8.24012787126375
RUS,Rusia,1995,D,0,Electricidad y gas,7.0061946568662
SAU,Arabia Saudita,1995,D,0,Electricidad y gas,62.601021460462
SGP,Singapur,1995,D,0,Electricidad y gas,1254.84897910056
SVK,Eslovaquia,1995,D,0,Electricidad y gas,27.8948264975861
SVN,Eslovenia,1995,D,0,Electricidad y gas,39.2317727857391
SWE,Suecia,1995,D,0,Electricidad y gas,303.219222306885
THA,Tailandia,1995,D,0,Electricidad y gas,69.668724072051
TUR,Turquía,1995,D,0,Electricidad y gas,79.6720799787017
TWN,Taiwán,1995,D,0,Electricidad y gas,147.506581759168
UKR,Ucrania,1995,D,0,Electricidad y gas,12.1029906330423
USA,Estados Unidos,1995,D,0,Electricidad y gas,234.72424953665
VNM,Vietnam,1995,D,0,Electricidad y gas,14.6292029160687
ZAF,Sudáfrica,1995,D,0,Electricidad y gas,55.3986745698778
ZEUR,Europa,1995,D,1,Electricidad y gas,62.2045348601179
ZNAM,América del Norte,1995,D,1,Electricidad y gas,207.968901251682
ARG,Argentina,1995,E,0,Agua y saneamiento,100.0
AUS,Australia,1995,E,0,Agua y saneamiento,350.772078645627
AUT,Austria,1995,E,0,Agua y saneamiento,364.974299989217
BEL,Bélgica,1995,E,0,Agua y saneamiento,342.311922648359
BGR,Bulgaria,1995,E,0,Agua y saneamiento,10.4360015815391
BRA,Brasil,1995,E,0,Agua y saneamiento,30.5431149131951
CAN,Canadá,1995,E,0,Agua y saneamiento,283.282772006758
CHE,Suiza,1995,E,0,Agua y saneamiento,330.859063297509
CHL,Chile,1995,E,0,Agua y saneamiento,128.08166492937
CHN,China,1995,E,0,Agua y saneamiento,15.116997951188
COL,Colombia,1995,E,0,Agua y saneamiento,56.7294489773912
CRI,Costa Rica,1995,E,0,Agua y saneamiento,43.8995722655548
CYP,Chipre,1995,E,0,Agua y saneamiento,98.5072427303116
CZE,Chequia,1995,E,0,Agua y saneamiento,44.9631573271989
DEU,Alemania,1995,E,0,Agua y saneamiento,338.931742209123
DNK,Dinamarca,1995,E,0,Agua y saneamiento,354.200783580748
EA19,Eurozona,1995,E,1,Agua y saneamiento,267.703173861472
EGY,Egipto,1995,E,0,Agua y saneamiento,21.7691671758743
ESP,España,1995,E,0,Agua y saneamiento,208.698465188167
EST,Estonia,1995,E,0,Agua y saneamiento,35.582473670968
EU13,Unión Europea (28 países excluyendo EU15),1995,E,1,Agua y saneamiento,24.0821681463643
EU15,Unión Europea (15 países),1995,E,1,Agua y saneamiento,318.938931023328
EU27_2020,Unión Europea (27 países),1995,E,1,Agua y saneamiento,183.978289781101
EU28,Unión Europea (28 países),1995,E,1,Agua y saneamiento,211.986628805579
FIN,Finlandia,1995,E,0,Agua y saneamiento,411.984472161317
FRA,Francia,1995,E,0,Agua y saneamiento,330.881708062255
G20,G-20,1995,E,1,Agua y saneamiento,158.1388160023
GBR,Reino Unido,1995,E,0,Agua y saneamiento,486.046152187197
GRC,Grecia,1995,E,0,Agua y saneamiento,230.235793105927
HRV,Croacia,1995,E,0,Agua y saneamiento,32.9032026167284
HUN,Hungría,1995,E,0,Agua y saneamiento,24.622048093167
IDN,Indonesia,1995,E,0,Agua y saneamiento,9.84256496890838
IND,India,1995,E,0,Agua y saneamiento,12.2004960281802
IRL,Irlanda,1995,E,0,Agua y saneamiento,523.725602961792
ISL,Islandia,1995,E,0,Agua y saneamiento,427.077387584918
ISR,Israel,1995,E,0,Agua y saneamiento,227.292692570361
ITA,Italia,1995,E,0,Agua y saneamiento,223.971460407606
JPN,Japón,1995,E,0,Agua y saneamiento,740.604579274649
KAZ,Kazajstán,1995,E,0,Agua y saneamiento,4.08540311275655
KOR,Corea del Sur,1995,E,0,Agua y saneamiento,126.803134322993
LTU,Lituania,1995,E,0,Agua y saneamiento,18.0457208583444
LUX,Luxemburgo,1995,E,0,Agua y saneamiento,278.812407893318
LVA,Letonia,1995,E,0,Agua y saneamiento,25.5547967362784
MEX,México,1995,E,0,Agua y saneamiento,55.0497825383703
MLT,Malta,1995,E,0,Agua y saneamiento,73.2198698824629
MYS,Malasia,1995,E,0,Agua y saneamiento,77.2531540922325
NLD,Países Bajos,1995,E,0,Agua y saneamiento,360.150605657597
NOR,Noruega,1995,E,0,Agua y saneamiento,472.747564789188
NZL,Nueva Zelanda,1995,E,0,Agua y saneamiento,248.817440063262
OECD,Países miembros de OCDE,1995,E,1,Agua y saneamiento,304.543330577621
PER,Perú,1995,E,0,Agua y saneamiento,38.3756874303584
PHL,Filipinas,1995,E,0,Agua y saneamiento,48.5640343625319
POL,Polonia,1995,E,0,Agua y saneamiento,23.2166349160706
PRT,Portugal,1995,E,0,Agua y saneamiento,68.4619532008195
ROU,Rumania,1995,E,0,Agua y saneamiento,8.73908198842601
RUS,Rusia,1995,E,0,Agua y saneamiento,17.2085834441609
SAU,Arabia Saudita,1995,E,0,Agua y saneamiento,83.7762841019374
SGP,Singapur,1995,E,0,Agua y saneamiento,1086.41529779663
SVK,Eslovaquia,1995,E,0,Agua y saneamiento,25.4660148808454
SVN,Eslovenia,1995,E,0,Agua y saneamiento,98.4073182128608
SWE,Suecia,1995,E,0,Agua y saneamiento,315.213328061536
THA,Tailandia,1995,E,0,Agua y saneamiento,31.3529348333992
TUR,Turquía,1995,E,0,Agua y saneamiento,109.442866899105
TWN,Taiwán,1995,E,0,Agua y saneamiento,96.1169620071169
UKR,Ucrania,1995,E,0,Agua y saneamiento,16.7675496926782
USA,Estados Unidos,1995,E,0,Agua y saneamiento,260.221415477517
VNM,Vietnam,1995,E,0,Agua y saneamiento,29.6880054634988
ZAF,Sudáfrica,1995,E,0,Agua y saneamiento,66.2841019373854
ZEUR,Europa,1995,E,1,Agua y saneamiento,163.268394378347
ZNAM,América del Norte,1995,E,1,Agua y saneamiento,232.8776823263
ARG,Argentina,1995,F,0,Construcción,100.0
AUS,Australia,1995,F,0,Construcción,255.262657987386
AUT,Austria,1995,F,0,Construcción,407.169271295053
BEL,Bélgica,1995,F,0,Construcción,393.983181783643
BGR,Bulgaria,1995,F,0,Construcción,21.9668954687065
BRA,Brasil,1995,F,0,Construcción,52.5721232998151
CAN,Canadá,1995,F,0,Construcción,245.054583217244
CHE,Suiza,1995,F,0,Construcción,453.145183759277
CHL,Chile,1995,F,0,Construcción,88.6591018464578
CHN,China,1995,F,0,Construcción,7.41242623033864
COL,Colombia,1995,F,0,Construcción,53.608064638687
CRI,Costa Rica,1995,F,0,Construcción,42.3710139054229
CYP,Chipre,1995,F,0,Construcción,203.449760644361
CZE,Chequia,1995,F,0,Construcción,54.3349965806337
DEU,Alemania,1995,F,0,Construcción,315.686026189813
DNK,Dinamarca,1995,F,0,Construcción,321.788961779084
EA19,Eurozona,1995,F,1,Construcción,287.896076593805
EGY,Egipto,1995,F,0,Construcción,19.4466958790304
ESP,España,1995,F,0,Construcción,274.711886730326
EST,Estonia,1995,F,0,Construcción,37.3128846787062
EU13,Unión Europea (28 países excluyendo EU15),1995,F,1,Construcción,61.9665155391201
EU15,Unión Europea (15 países),1995,F,1,Construcción,285.031407512474
EU27_2020,Unión Europea (27 países),1995,F,1,Construcción,248.506876725514
EU28,Unión Europea (28 países),1995,F,1,Construcción,243.600086117373
FIN,Finlandia,1995,F,0,Construcción,314.905904105772
FRA,Francia,1995,F,0,Construcción,343.694435297991
G20,G-20,1995,F,1,Construcción,100.903599199615
GBR,Reino Unido,1995,F,0,Construcción,210.571540741116
GRC,Grecia,1995,F,0,Construcción,191.759327271346
HRV,Croacia,1995,F,0,Construcción,65.9215825333705
HUN,Hungría,1995,F,0,Construcción,59.9604873230161
IDN,Indonesia,1995,F,0,Construcción,19.9678326283529
IND,India,1995,F,0,Construcción,9.5450976419037
IRL,Irlanda,1995,F,0,Construcción,260.452496137383
ISL,Islandia,1995,F,0,Construcción,448.753197740685
ISR,Israel,1995,F,0,Construcción,144.205440591677
ITA,Italia,1995,F,0,Construcción,263.979509130974
JPN,Japón,1995,F,0,Construcción,378.75307109749
KAZ,Kazajstán,1995,F,0,Construcción,42.4773941896102
KOR,Corea del Sur,1995,F,0,Construcción,163.21205136648
LTU,Lituania,1995,F,0,Construcción,31.1174995567488
LUX,Luxemburgo,1995,F,0,Construcción,319.916542134191
LVA,Letonia,1995,F,0,Construcción,27.6842025277982
MEX,México,1995,F,0,Construcción,59.5235682986753
MLT,Malta,1995,F,0,Construcción,124.028646690813
MYS,Malasia,1995,F,0,Construcción,24.9563080975659
NLD,Países Bajos,1995,F,0,Construcción,309.205060662091
NOR,Noruega,1995,F,0,Construcción,364.731769712013
NZL,Nueva Zelanda,1995,F,0,Construcción,191.056457536537
OECD,Países miembros de OCDE,1995,F,1,Construcción,257.755629290038
PER,Perú,1995,F,0,Construcción,49.9582077454978
PHL,Filipinas,1995,F,0,Construcción,22.38671766166
POL,Polonia,1995,F,0,Construcción,123.958359717332
PRT,Portugal,1995,F,0,Construcción,111.915225044958
ROU,Rumania,1995,F,0,Construcción,24.8676578607431
RUS,Rusia,1995,F,0,Construcción,30.1151186646741
SAU,Arabia Saudita,1995,F,0,Construcción,60.7007168004863
SGP,Singapur,1995,F,0,Construcción,134.044223803855
SVK,Eslovaquia,1995,F,0,Construcción,40.3371241863175
SVN,Eslovenia,1995,F,0,Construcción,126.774904384387
SWE,Suecia,1995,F,0,Construcción,330.321547073276
THA,Tailandia,1995,F,0,Construcción,16.52567057572
TUR,Turquía,1995,F,0,Construcción,98.5461361161065
TWN,Taiwán,1995,F,0,Construcción,57.4333223575897
UKR,Ucrania,1995,F,0,Construcción,13.031584812948
USA,Estados Unidos,1995,F,0,Construcción,268.967984600187
VNM,Vietnam,1995,F,0,Construcción,7.20916390162357
ZAF,Sudáfrica,1995,F,0,Construcción,62.22740052177
ZEUR,Europa,1995,F,1,Construcción,192.915579645906
ZNAM,América del Norte,1995,F,1,Construcción,221.04493300575
ARG,Argentina,1995,G,0,Comercio,100.0
AUS,Australia,1995,G,0,Comercio,109.230924352802
AUT,Austria,1995,G,0,Comercio,219.799937821919
BEL,Bélgica,1995,G,0,Comercio,240.275852217825
BGR,Bulgaria,1995,G,0,Comercio,14.1387915605858
BRA,Brasil,1995,G,0,Comercio,17.9879508961206
