"anio","provincia_id","provincia","gran_region_id","gran_region_desc","letra","letra_desc_abrev","tipo_sector","share_vab_sectorial"
2004,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0225201237798829
2005,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0218160718958105
2006,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0212830197061534
2007,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0201267174121722
2008,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.019916370230236
2009,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0201188242957362
2010,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0183336090525675
2011,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0178430768579373
2012,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0185824682075608
2013,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0186279066713024
2014,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.019372459647792
2015,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0195089098025334
2016,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0204358058326646
2017,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0193776131109945
2018,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.020395631890587
2019,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0206796393925482
2020,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0232666844289422
2021,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.021059193040556
2022,6,"Buenos Aires",2,"Centro","E","Electricidad, gas y agua","Bienes",0.0211157648411131
2004,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.143962517602575
2005,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.14584637682158
2006,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.150773546995351
2007,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.153781712557133
2008,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.155461370016679
2009,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.152083768656625
2010,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.155672960151489
2011,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.161906390917024
2012,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.159994345259934
2013,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.161226827777635
2014,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.153515789745609
2015,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.153996745239084
2016,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.152800828672478
2017,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.154616811673959
2018,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.153443553563099
2019,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.144550894177486
2020,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.15105809912145
2021,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.155390802766027
2022,6,"Buenos Aires",2,"Centro","G","Comercio","Servicios",0.157441517174326
2004,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0741105527578233
2005,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0762583226986269
2006,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.078839250392919
2007,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0833389825924258
2008,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0849659943034397
2009,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0904329085200982
2010,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.090514360862473
2011,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0929203305503185
2012,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0964935544670832
2013,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.0970514445632161
2014,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.100454333170514
2015,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.100850797292568
2016,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.105844914572725
2017,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.105985473933401
2018,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.106497551527097
2019,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.109279592953163
2020,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.10366681020325
2021,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.10014436025615
2022,6,"Buenos Aires",2,"Centro","I","Transporte y comunicaciones","Servicios",0.102745065468703
2004,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0330195032616813
2005,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0314494234423736
2006,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0341834405564181
2007,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0353366224312323
2008,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.035928893219964
2009,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0344589189984668
2010,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0339965734568183
2011,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0343918356342593
2012,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.034294933767296
2013,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.033180519304247
2014,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0348413430081315
2015,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.034577815206066
2016,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0313353291863059
2017,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0333130542404132
2018,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0346123846514865
2019,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.035328692172493
2020,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0295035313868333
2021,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0335993642368857
2022,6,"Buenos Aires",2,"Centro","F","Construcción","Bienes",0.0333348717425091
2004,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.331948588729468
2005,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.326595384405036
2006,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.331262104393059
2007,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.331267259769623
2008,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.328419721413642
2009,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.326487396733805
2010,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.325040737151953
2011,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.326322503201548
2012,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.320654121597258
2013,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.320781952489404
2014,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.316293522477733
2015,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.307971522941148
2016,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.298140421378942
2017,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.300752942094378
2018,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.296145666687484
2019,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.283028614104927
2020,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.287476240048885
2021,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.301738762881408
2022,6,"Buenos Aires",2,"Centro","D","Industria manufacturera","Bienes",0.301844383970342
2004,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.041215809614582
2005,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0418592706129418
2006,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0398258554105529
2007,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0382334410105525
2008,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0389287250430997
2009,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.043557092031243
2010,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0389184284234981
2011,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0378137965921021
2012,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0388990969920635
2013,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0388256321221523
2014,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0399096234174426
2015,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0416818232479197
2016,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0426278761584582
2017,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0419573241174967
2018,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0442515712813167
2019,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.044806612942637
2020,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0489895172008983
2021,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0467640379817486
2022,6,"Buenos Aires",2,"Centro","M","Enseñanza","Servicios",0.0462853169490909
2004,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00261727192741021
2005,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00282928931844653
2006,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00293614939667648
2007,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.0026962681372779
2008,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00248254516075168
2009,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00287028286462477
2010,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00275368857183488
2011,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00245326243749075
2012,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00251162272117655
2013,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00224095278207062
2014,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00252740362886267
2015,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00244619920515108
2016,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00252897088488288
2017,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.0026034556551429
2018,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00308081350992336
2019,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00322570903073804
2020,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00321624777818497
2021,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00308671039375441
2022,6,"Buenos Aires",2,"Centro","C","Petróleo y minería","Bienes",0.00335504308974819
2004,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0118104364043931
2005,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0126752206822748
2006,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0134193934168736
2007,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.014508226420054
2008,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0137864270315065
2009,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0144089754057799
2010,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0142613720516156
2011,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0142789596245996
2012,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0147973253760235
2013,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0142684548621277
2014,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0145244165286989
2015,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0145317371084009
2016,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0152544284331186
2017,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0151597766484639
2018,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0154791846118776
2019,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.0156658396813862
2020,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.00970909637991851
2021,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.01032431717021
2022,6,"Buenos Aires",2,"Centro","H","Hotelería y restaurantes","Servicios",0.013050305863707
2004,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0204374008191677
2005,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0206603125589932
2006,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.021498495437555
2007,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0222893514086053
2008,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0223699642223684
2009,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0234203336609558
2010,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0214912469223165
2011,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.022704817592846
2012,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0254936224196858
