"anio","letra","letra_desc_abrev","share_sectorial","id_tipo_sector","tipo_sector","share_vab"
2008,"LQ","Adm. pública y defensa",0.0692764168505836,"2","Servicios",0.0656616551871067
2008,"M","Enseñanza",0.0934606753916446,"2","Servicios",0.052007248727915
2008,"NO","Serv. comunitarios, sociales y personales",0.0964465287017158,"2","Servicios",0.0720381943485811
2008,"P","Servicio doméstico",0.0812085617662244,"2","Servicios",0.00758007624910013
2009,"AB","Agro y pesca",0.0822295654799282,"1","Bienes",0.0628831704024408
2009,"C","Petróleo y minería",0.00452201625746584,"1","Bienes",0.0483776299820937
2009,"D","Industria manufacturera",0.124297147996799,"1","Bienes",0.185822390997521
2009,"E","Electricidad, gas y agua",0.00501031319651101,"1","Bienes",0.0166323089597836
2009,"F","Construcción",0.0714807582034167,"1","Bienes",0.0506588495144995
2009,"G","Comercio",0.184849997381799,"2","Servicios",0.146758487323699
2009,"H","Hotelería y restaurantes",0.0331869440385377,"2","Servicios",0.0207613806163403
2009,"I","Transporte y comunicaciones",0.0581754283905432,"2","Servicios",0.0740982198470271
2009,"J","Finanzas",0.0151697585805362,"2","Servicios",0.0409123063165924
2009,"K","Serv. inmobiliarios y profesionales",0.0674080354268104,"2","Servicios",0.123215065883334
2009,"LQ","Adm. pública y defensa",0.0709669057885872,"2","Servicios",0.0775711224507375
2009,"M","Enseñanza",0.0997251549747561,"2","Servicios",0.0598742181201203
2009,"NO","Serv. comunitarios, sociales y personales",0.0999843420378204,"2","Servicios",0.0836764422479645
2009,"P","Servicio doméstico",0.0829936322464889,"2","Servicios",0.00875840733784696
2010,"AB","Agro y pesca",0.0810369692400067,"1","Bienes",0.0850220169414828
2010,"C","Petróleo y minería",0.0043365861775377,"1","Bienes",0.046165871976057
2010,"D","Industria manufacturera",0.125533605457939,"1","Bienes",0.18888536111366
2010,"E","Electricidad, gas y agua",0.00506336938870278,"1","Bienes",0.0140670934406811
2010,"F","Construcción",0.0717940498919519,"1","Bienes",0.0519895930947569
2010,"G","Comercio",0.17595966208109,"2","Servicios",0.149435210359299
