"anio","letra","letra_desc_abrev","porc_mujeres"
"2003","M","Enseñanza","0.745105092715888"
"2003","N","Salud","0.721325363529701"
"2003","O","Serv. comunitarios, sociales y personales","0.439956354746143"
"2003","Z","No definido","0.331865928682726"
"2004","A","Agro","0.0954647005250674"
"2004","B","Pesca","0.141504045667493"
"2004","C","Petróleo y minería","0.0706114851300566"
"2004","D","Industria manufacturera","0.183249024058026"
"2004","E","Electricidad, gas y agua","0.161300930311093"
"2004","F","Construcción","0.0464162832976309"
"2004","G","Comercio","0.315100685837126"
"2004","H","Hotelería y restaurantes","0.399747212621784"
"2004","I","Transporte y comunicaciones","0.138571477480423"
"2004","J","Finanzas","0.43906363776898"
"2004","K","Serv. inmobiliarios y profesionales","0.310604456296608"
"2004","M","Enseñanza","0.743051202074156"
"2004","N","Salud","0.719417691284783"
"2004","O","Serv. comunitarios, sociales y personales","0.4414749004366"
"2004","Z","No definido","0.348291667911768"
"2005","A","Agro","0.100301502274817"
"2005","B","Pesca","0.155593198256422"
"2005","C","Petróleo y minería","0.0703673986767619"
"2005","D","Industria manufacturera","0.183807262137798"
"2005","E","Electricidad, gas y agua","0.16285781337535"
"2005","F","Construcción","0.0406474482427146"
"2005","G","Comercio","0.321001289854785"
"2005","H","Hotelería y restaurantes","0.400831353002712"
"2005","I","Transporte y comunicaciones","0.140313460666349"
"2005","J","Finanzas","0.445897766968694"
"2005","K","Serv. inmobiliarios y profesionales","0.314588246716926"
"2005","M","Enseñanza","0.742113035280013"
"2005","N","Salud","0.717886769853535"
"2005","O","Serv. comunitarios, sociales y personales","0.442215047773663"
"2005","Z","No definido","0.38376841348611"
"2006","A","Agro","0.103538441022005"
"2006","B","Pesca","0.149856386480316"
"2006","C","Petróleo y minería","0.0725539315974824"
"2006","D","Industria manufacturera","0.183685401110917"
"2006","E","Electricidad, gas y agua","0.163823543142475"
"2006","F","Construcción","0.0385892414112326"
"2006","G","Comercio","0.327851538934266"
"2006","H","Hotelería y restaurantes","0.406862502575981"
"2006","I","Transporte y comunicaciones","0.142300720385498"
"2006","J","Finanzas","0.453482469364729"
"2006","K","Serv. inmobiliarios y profesionales","0.321439201604557"
"2006","M","Enseñanza","0.741223627281154"
"2006","N","Salud","0.718536283844839"
"2006","O","Serv. comunitarios, sociales y personales","0.446606211632712"
"2006","Z","No definido","0.396612564112905"
"2007","A","Agro","0.106432986566836"
"2007","B","Pesca","0.143812030253865"
"2007","C","Petróleo y minería","0.0764355717832176"
"2007","D","Industria manufacturera","0.183802405206987"
"2007","E","Electricidad, gas y agua","0.165384845798451"
"2007","F","Construcción","0.0393400739573411"
"2007","G","Comercio","0.335365117642561"
"2007","H","Hotelería y restaurantes","0.416550572480056"
"2007","I","Transporte y comunicaciones","0.143345491094946"
"2007","J","Finanzas","0.465107181690133"
"2007","K","Serv. inmobiliarios y profesionales","0.326795240693634"
"2007","M","Enseñanza","0.740007235664384"
"2007","N","Salud","0.719485265484781"
"2007","O","Serv. comunitarios, sociales y personales","0.451797774278413"
"2007","Z","No definido","0.415921015157981"
"2008","A","Agro","0.111085618940155"
"2008","B","Pesca","0.140364397601163"
"2008","C","Petróleo y minería","0.0794931247176364"
"2008","D","Industria manufacturera","0.184974887979181"
"2008","E","Electricidad, gas y agua","0.166520265909558"
"2008","F","Construcción","0.0431765808225254"
"2008","G","Comercio","0.342313138497787"
"2008","H","Hotelería y restaurantes","0.429821146440363"
"2008","I","Transporte y comunicaciones","0.144674969349894"
"2008","J","Finanzas","0.474196449246644"
"2008","K","Serv. inmobiliarios y profesionales","0.335103556035838"
"2008","M","Enseñanza","0.739786553946421"
"2008","N","Salud","0.720112178351348"
"2008","O","Serv. comunitarios, sociales y personales","0.457143378554906"
"2008","Z","No definido","0.39849947767198"
"2009","A","Agro","0.11298861534467"
"2009","B","Pesca","0.145262948932158"
"2009","C","Petróleo y minería","0.0820548529666208"
"2009","D","Industria manufacturera","0.187318792185391"
"2009","E","Electricidad, gas y agua","0.168737038231734"
"2009","F","Construcción","0.0469435617357125"
"2009","G","Comercio","0.34669642308274"
"2009","H","Hotelería y restaurantes","0.433929204816032"
"2009","I","Transporte y comunicaciones","0.143316900862008"
"2009","J","Finanzas","0.465577295607917"
"2009","K","Serv. inmobiliarios y profesionales","0.345848769462877"
"2009","M","Enseñanza","0.738454328259856"
"2009","N","Salud","0.722026678061623"
"2009","O","Serv. comunitarios, sociales y personales","0.460112258473786"
"2009","Z","No definido","0.388832572640555"
"2010","A","Agro","0.112251562520782"
"2010","B","Pesca","0.13657919476155"
"2010","C","Petróleo y minería","0.08252171039639"
"2010","D","Industria manufacturera","0.186582603263089"
"2010","E","Electricidad, gas y agua","0.16953641804244"
"2010","F","Construcción","0.0484928625342587"
"2010","G","Comercio","0.34876070424406"
"2010","H","Hotelería y restaurantes","0.435932750454788"
"2010","I","Transporte y comunicaciones","0.142396610551323"
"2010","J","Finanzas","0.471468465327566"
"2010","K","Serv. inmobiliarios y profesionales","0.345251656713439"
"2010","M","Enseñanza","0.737737833871987"
"2010","N","Salud","0.721823328716276"
"2010","O","Serv. comunitarios, sociales y personales","0.45888387108311"
"2010","Z","No definido","0.369827410813043"
"2011","A","Agro","0.115071486473975"
"2011","B","Pesca","0.12864016160869"
"2011","C","Petróleo y minería","0.0851837043176811"
"2011","D","Industria manufacturera","0.187116684037853"
"2011","E","Electricidad, gas y agua","0.169094506922477"
"2011","F","Construcción","0.0478728834256665"
"2011","G","Comercio","0.351577817099604"
"2011","H","Hotelería y restaurantes","0.43998400239964"
"2011","I","Transporte y comunicaciones","0.139282465023404"
"2011","J","Finanzas","0.477392372323726"
"2011","K","Serv. inmobiliarios y profesionales","0.347039917933485"
"2011","M","Enseñanza","0.737450357135314"
"2011","N","Salud","0.721562465442203"
"2011","O","Serv. comunitarios, sociales y personales","0.461882240126511"
"2011","Z","No definido","0.349712676126142"
"2012","A","Agro","0.115810455334248"
"2012","B","Pesca","0.119933988532041"
"2012","C","Petróleo y minería","0.0871527773769823"
"2012","D","Industria manufacturera","0.187565375680281"
"2012","E","Electricidad, gas y agua","0.170213632563974"
"2012","F","Construcción","0.0510195178284565"
"2012","G","Comercio","0.353055966111145"
"2012","H","Hotelería y restaurantes","0.443284390067934"
"2012","I","Transporte y comunicaciones","0.13742990469832"
"2012","J","Finanzas","0.479204846019923"
"2012","K","Serv. inmobiliarios y profesionales","0.35143446446221"
"2012","M","Enseñanza","0.737801869236404"
"2012","N","Salud","0.720650277517658"
"2012","O","Serv. comunitarios, sociales y personales","0.464195652235533"
"2012","Z","No definido","0.337397325333655"
"2013","A","Agro","0.118392693947308"
"2013","B","Pesca","0.11345466597252"
"2013","C","Petróleo y minería","0.0878700574003331"
"2013","D","Industria manufacturera","0.187356683442383"
"2013","E","Electricidad, gas y agua","0.170531170976313"
"2013","F","Construcción","0.0516812417356596"
"2013","G","Comercio","0.351718478684064"
"2013","H","Hotelería y restaurantes","0.446609658898475"
"2013","I","Transporte y comunicaciones","0.137657225596202"
"2013","J","Finanzas","0.481244649554194"
"2013","K","Serv. inmobiliarios y profesionales","0.353801656716989"
"2013","M","Enseñanza","0.737213478377555"
"2013","N","Salud","0.719381696406113"
"2013","O","Serv. comunitarios, sociales y personales","0.463317583068629"
"2013","Z","No definido","0.35713321782951"
"2014","A","Agro","0.12404273005889"
"2014","B","Pesca","0.116108809622652"
"2014","C","Petróleo y minería","0.0878894722847998"
"2014","D","Industria manufacturera","0.187314222715484"
"2014","E","Electricidad, gas y agua","0.169970936767386"
"2014","F","Construcción","0.0538314810642298"
"2014","G","Comercio","0.35139275929417"
"2014","H","Hotelería y restaurantes","0.448605287635278"
"2014","I","Transporte y comunicaciones","0.137302725323764"
"2014","J","Finanzas","0.482985497825526"
"2014","K","Serv. inmobiliarios y profesionales","0.355619134783216"
"2014","M","Enseñanza","0.736470961672856"
"2014","N","Salud","0.717653050646776"
"2014","O","Serv. comunitarios, sociales y personales","0.462218140374623"
"2014","Z","No definido","0.364298471980202"
"2015","A","Agro","0.126056258415076"
"2015","B","Pesca","0.115222489940766"
"2015","C","Petróleo y minería","0.0905011698357296"
"2015","D","Industria manufacturera","0.188688457165362"
"2015","E","Electricidad, gas y agua","0.169844980200755"
"2015","F","Construcción","0.0544519985335171"
"2015","G","Comercio","0.351468334458915"
"2015","H","Hotelería y restaurantes","0.450623524176991"
"2015","I","Transporte y comunicaciones","0.138640544787943"
"2015","J","Finanzas","0.484020197416256"
"2015","K","Serv. inmobiliarios y profesionales","0.355025283209981"
"2015","M","Enseñanza","0.736539915409855"
"2015","N","Salud","0.715951921234721"
"2015","O","Serv. comunitarios, sociales y personales","0.460889020065735"
"2015","Z","No definido","0.340768799054382"
"2016","A","Agro","0.125308595764672"
"2016","B","Pesca","0.106482835997445"
