anio,letra_desc,vab,letra
1913,Act. inmobiliarias y empresariales,7491.43,K
1913,Adm. pública y defensa,2171.162,L
1913,Otros servicios,2915.623,Z
1914,Agro,7061.134,A
1914,Pesca,34.956,B
1914,Petróleo y minería,159.843,C
1914,Industria manufacturera,5397.268,D
1914,"Electricidad, gas y agua",43.448,E
1914,Construcción,1579.804,F
1914,"Comercio, hoteles y restaurantes",8517.162,GH
1914,Transporte y comunicaciones,1228.827,I
1914,Finanzas,656.775,J
1914,Act. inmobiliarias y empresariales,7821.242,K
1914,Adm. pública y defensa,2258.258,L
1914,Otros servicios,3007.76,Z
1915,Agro,8472.789,A
1915,Pesca,34.956,B
1915,Petróleo y minería,131.484,C
1915,Industria manufacturera,4843.006,D
1915,"Electricidad, gas y agua",47.398,E
1915,Construcción,896.12,F
1915,"Comercio, hoteles y restaurantes",7924.077,GH
1915,Transporte y comunicaciones,1243.481,I
1915,Finanzas,593.216,J
1915,Act. inmobiliarias y empresariales,7949.128,K
1915,Adm. pública y defensa,2343.279,L
1915,Otros servicios,3138.799,Z
1916,Agro,7549.784,A
1916,Pesca,35.852,B
1916,Petróleo y minería,136.64,C
1916,Industria manufacturera,4961.223,D
1916,"Electricidad, gas y agua",50.909,E
1916,Construcción,743.525,F
1916,"Comercio, hoteles y restaurantes",7779.876,GH
1916,Transporte y comunicaciones,1308.377,I
1916,Finanzas,614.402,J
1916,Act. inmobiliarias y empresariales,8023.167,K
1916,Adm. pública y defensa,2417.932,L
1916,Otros servicios,3349.69,Z
1917,Agro,6218.141,A
1917,Pesca,35.852,B
1917,Petróleo y minería,144.374,C
1917,Industria manufacturera,4922.464,D
1917,"Electricidad, gas y agua",53.981,E
1917,Construcción,486.209,F
1917,"Comercio, hoteles y restaurantes",7156.556,GH
1917,Transporte y comunicaciones,1203.707,I
1917,Finanzas,622.877,J
1917,Act. inmobiliarias y empresariales,8083.744,K
1917,Adm. pública y defensa,2490.512,L
1917,Otros servicios,3388.593,Z
1918,Agro,8717.114,A
1918,Pesca,35.852,B
1918,Petróleo y minería,134.062,C
1918,Industria manufacturera,5858.507,D
1918,"Electricidad, gas y agua",57.492,E
1918,Construcción,519.121,F
1918,"Comercio, hoteles y restaurantes",8068.278,GH
1918,Transporte y comunicaciones,1349.198,I
1918,Finanzas,692.791,J
1918,Act. inmobiliarias y empresariales,8130.86,K
1918,Adm. pública y defensa,2561.017,L
1918,Otros servicios,3540.107,Z
1919,Agro,8662.819,A
1919,Pesca,36.749,B
1919,Petróleo y minería,126.328,C
1919,Industria manufacturera,6096.878,D
1919,"Electricidad, gas y agua",61.002,E
1919,Construcción,564.002,F
1919,"Comercio, hoteles y restaurantes",8949.765,GH
1919,Transporte y comunicaciones,1360.712,I
1919,Finanzas,862.282,J
1919,Act. inmobiliarias y empresariales,8191.438,K
1919,Adm. pública y defensa,2637.744,L
1919,Otros servicios,3669.098,Z
1920,Agro,9004.303,A
1920,Pesca,37.645,B
1920,Petróleo y minería,146.952,C
1920,Industria manufacturera,6333.311,D
1920,"Electricidad, gas y agua",64.513,E
1920,Construcción,1087.611,F
1920,"Comercio, hoteles y restaurantes",9961.498,GH
1920,Transporte y comunicaciones,1537.604,I
1920,Finanzas,855.926,J
1920,Act. inmobiliarias y empresariales,8252.016,K
1920,Adm. pública y defensa,2720.692,L
1920,Otros servicios,3773.52,Z
1921,Agro,9095.746,A
1921,Pesca,39.437,B
1921,Petróleo y minería,113.437,C
1921,Industria manufacturera,6664.706,D
1921,"Electricidad, gas y agua",68.024,E
1921,Construcción,1367.368,F
1921,"Comercio, hoteles y restaurantes",9961.498,GH
1921,Transporte y comunicaciones,1477.942,I
1921,Finanzas,940.671,J
1921,Act. inmobiliarias y empresariales,8400.094,K
1921,Adm. pública y defensa,2818.156,L
1921,Otros servicios,3912.75,Z
1922,Agro,9420.084,A
1922,Pesca,39.437,B
1922,Petróleo y minería,146.952,C
1922,Industria manufacturera,7403.075,D
1922,"Electricidad, gas y agua",71.535,E
1922,Construcción,1750.351,F
1922,"Comercio, hoteles y restaurantes",11061.61,GH
1922,Transporte y comunicaciones,1640.181,I
1922,Finanzas,1095.331,J
1922,Act. inmobiliarias y empresariales,8554.904,K
1922,Adm. pública y defensa,2928.062,L
1922,Otros servicios,4045.836,Z
1923,Agro,9598.684,A
1923,Pesca,40.334,B
1923,Petróleo y minería,188.202,C
1923,Industria manufacturera,8656.947,D
1923,"Electricidad, gas y agua",75.485,E
1923,Construcción,2662.927,F
1923,"Comercio, hoteles y restaurantes",12796.68,GH
1923,Transporte y comunicaciones,1850.568,I
1923,Finanzas,1199.143,J
1923,Act. inmobiliarias y empresariales,8777.021,K
1923,Adm. pública y defensa,3056.631,L
1923,Otros servicios,4197.35,Z
1924,Agro,10994.62,A
1924,Pesca,40.334,B
1924,Petróleo y minería,250.077,C
1924,Industria manufacturera,9131.751,D
1924,"Electricidad, gas y agua",79.874,E
1924,Construcción,2704.815,F
1924,"Comercio, hoteles y restaurantes",13317.66,GH
1924,Transporte y comunicaciones,2140.504,I
1924,Finanzas,1216.092,J
1924,Act. inmobiliarias y empresariales,9086.64,K
1924,Adm. pública y defensa,3191.422,L
1924,Otros servicios,4441.001,Z
1925,Agro,9828.721,A
1925,Pesca,42.126,B
1925,Petróleo y minería,281.014,C
1925,Industria manufacturera,9910.818,D
1925,"Electricidad, gas y agua",84.262,E
1925,Construcción,2377.186,F
1925,"Comercio, hoteles y restaurantes",13910.75,GH
1925,Transporte y comunicaciones,2213.773,I
1925,Finanzas,1275.414,J
1925,Act. inmobiliarias y empresariales,9429.913,K
1925,Adm. pública y defensa,3311.696,L
1925,Otros servicios,4500.379,Z
1926,Agro,11428.98,A
1926,Pesca,45.712,B
1926,Petróleo y minería,340.311,C
1926,Industria manufacturera,9724.773,D
1926,"Electricidad, gas y agua",88.651,E
1926,Construcción,2200.655,F
1926,"Comercio, hoteles y restaurantes",14243.34,GH
1926,Transporte y comunicaciones,2284.949,I
1926,Finanzas,1305.075,J
1926,Act. inmobiliarias y empresariales,9719.34,K
1926,Adm. pública y defensa,3427.823,L
1926,Otros servicios,4649.845,Z
1927,Agro,11729.03,A
1927,Pesca,49.297,B
1927,Petróleo y minería,355.78,C
1927,Industria manufacturera,10331.36,D
1927,"Electricidad, gas y agua",92.601,E
1927,Construcción,3071.342,F
1927,"Comercio, hoteles y restaurantes",15429.51,GH
1927,Transporte y comunicaciones,2551.858,I
1927,Finanzas,1311.431,J
1927,Act. inmobiliarias y empresariales,9961.65,K
1927,Adm. pública y defensa,3554.319,L
