anio,iso3,iso3_desc_fundar,es_agregacion,particip_bys_alta_intensidad,geocodigoFundar,geonombreFundar
2012,ARG,Argentina,0,0.127172417712165,ARG,Argentina
2013,ARG,Argentina,0,0.127197597441629,ARG,Argentina
2014,ARG,Argentina,0,0.122805312568909,ARG,Argentina
2015,ARG,Argentina,0,0.120818827759138,ARG,Argentina
2016,ARG,Argentina,0,0.116700248774314,ARG,Argentina
2017,ARG,Argentina,0,0.117733380679033,ARG,Argentina
2018,ARG,Argentina,0,0.122884412690106,ARG,Argentina
2019,ARG,Argentina,0,0.119447066384167,ARG,Argentina
2020,ARG,Argentina,0,0.12054853038176,ARG,Argentina
1995,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.150835794004668,ASEAN,Asociación de Naciones del Sudeste Asiático
1996,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.153982189321727,ASEAN,Asociación de Naciones del Sudeste Asiático
1997,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.156641503710385,ASEAN,Asociación de Naciones del Sudeste Asiático
1998,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.168555817461408,ASEAN,Asociación de Naciones del Sudeste Asiático
1999,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.162165317790773,ASEAN,Asociación de Naciones del Sudeste Asiático
2000,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.163445698870364,ASEAN,Asociación de Naciones del Sudeste Asiático
2001,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.162586282958712,ASEAN,Asociación de Naciones del Sudeste Asiático
2002,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.158670030881468,ASEAN,Asociación de Naciones del Sudeste Asiático
2003,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.15713099568302,ASEAN,Asociación de Naciones del Sudeste Asiático
2004,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.158744100245962,ASEAN,Asociación de Naciones del Sudeste Asiático
2005,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.156566086773092,ASEAN,Asociación de Naciones del Sudeste Asiático
2006,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.154662365965057,ASEAN,Asociación de Naciones del Sudeste Asiático
2007,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.15342048182322,ASEAN,Asociación de Naciones del Sudeste Asiático
2008,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.149414707386826,ASEAN,Asociación de Naciones del Sudeste Asiático
2009,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.146764514194543,ASEAN,Asociación de Naciones del Sudeste Asiático
2010,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.143789108813449,ASEAN,Asociación de Naciones del Sudeste Asiático
2011,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.135713783154714,ASEAN,Asociación de Naciones del Sudeste Asiático
2012,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.136828844774891,ASEAN,Asociación de Naciones del Sudeste Asiático
2013,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.141956144310433,ASEAN,Asociación de Naciones del Sudeste Asiático
2014,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.142338092089558,ASEAN,Asociación de Naciones del Sudeste Asiático
2015,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.145040538937351,ASEAN,Asociación de Naciones del Sudeste Asiático
2016,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.144266594727337,ASEAN,Asociación de Naciones del Sudeste Asiático
2017,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.147433797198521,ASEAN,Asociación de Naciones del Sudeste Asiático
2018,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.150674575598509,ASEAN,Asociación de Naciones del Sudeste Asiático
2019,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.148830213046672,ASEAN,Asociación de Naciones del Sudeste Asiático
2020,ASEAN,Asociación de Naciones del Sudeste Asiático,1,0.148749947395437,ASEAN,Asociación de Naciones del Sudeste Asiático
1995,AUS,Australia,0,0.121174778241342,AUS,Australia
1996,AUS,Australia,0,0.118821711552729,AUS,Australia
1997,AUS,Australia,0,0.121280553793892,AUS,Australia
1998,AUS,Australia,0,0.121138640133777,AUS,Australia
1999,AUS,Australia,0,0.120513993238383,AUS,Australia
2000,AUS,Australia,0,0.120568995446446,AUS,Australia
2001,AUS,Australia,0,0.117945949949334,AUS,Australia
2002,AUS,Australia,0,0.120347595337937,AUS,Australia
2003,AUS,Australia,0,0.123005723118186,AUS,Australia
2004,AUS,Australia,0,0.119543994152862,AUS,Australia
2005,AUS,Australia,0,0.118260200707364,AUS,Australia
2006,AUS,Australia,0,0.120020864991492,AUS,Australia
2007,AUS,Australia,0,0.121216763346355,AUS,Australia
2008,AUS,Australia,0,0.116695437999308,AUS,Australia
2009,AUS,Australia,0,0.116239239463091,AUS,Australia
2010,AUS,Australia,0,0.111350110040527,AUS,Australia
2011,AUS,Australia,0,0.111032295075031,AUS,Australia
2012,AUS,Australia,0,0.109907275169948,AUS,Australia
2013,AUS,Australia,0,0.105697583156094,AUS,Australia
2014,AUS,Australia,0,0.107538514136482,AUS,Australia
2015,AUS,Australia,0,0.106836604590753,AUS,Australia
2016,AUS,Australia,0,0.106805116534516,AUS,Australia
2017,AUS,Australia,0,0.108742973375757,AUS,Australia
2018,AUS,Australia,0,0.107857164101651,AUS,Australia
2019,AUS,Australia,0,0.111684823028065,AUS,Australia
2020,AUS,Australia,0,0.111597738868022,AUS,Australia
1995,AUT,Austria,0,0.158883265560679,AUT,Austria
1996,AUT,Austria,0,0.160961129476106,AUT,Austria
1997,AUT,Austria,0,0.168284748331409,AUT,Austria
1998,AUT,Austria,0,0.172348561118709,AUT,Austria
1999,AUT,Austria,0,0.176794154404576,AUT,Austria
2000,AUT,Austria,0,0.178477373347721,AUT,Austria
2001,AUT,Austria,0,0.184644573050884,AUT,Austria
2002,AUT,Austria,0,0.184792787425395,AUT,Austria
2003,AUT,Austria,0,0.182424267061854,AUT,Austria
2004,AUT,Austria,0,0.182683758058142,AUT,Austria
2005,AUT,Austria,0,0.189594587417939,AUT,Austria
2006,AUT,Austria,0,0.19244868889629,AUT,Austria
2007,AUT,Austria,0,0.196649503175163,AUT,Austria
2008,AUT,Austria,0,0.196032796798115,AUT,Austria
2009,AUT,Austria,0,0.184722579005219,AUT,Austria
2010,AUT,Austria,0,0.18613023751083,AUT,Austria
2011,AUT,Austria,0,0.192338979369652,AUT,Austria
2012,AUT,Austria,0,0.194595959435889,AUT,Austria
2013,AUT,Austria,0,0.196223642350574,AUT,Austria
2014,AUT,Austria,0,0.197428292156797,AUT,Austria
2015,AUT,Austria,0,0.198046438791796,AUT,Austria
2016,AUT,Austria,0,0.202388419294316,AUT,Austria
2017,AUT,Austria,0,0.202224336914614,AUT,Austria
2018,AUT,Austria,0,0.205224712309308,AUT,Austria
2019,AUT,Austria,0,0.205057750801125,AUT,Austria
2020,AUT,Austria,0,0.204129517357633,AUT,Austria
1995,BEL,Bélgica,0,0.208213618260457,BEL,Bélgica
1996,BEL,Bélgica,0,0.208780322928506,BEL,Bélgica
1997,BEL,Bélgica,0,0.21415016644815,BEL,Bélgica
1998,BEL,Bélgica,0,0.218615833975902,BEL,Bélgica
