"anio","letra","letra_desc_abrev","calificacion_cod","calificacion","particip_calif"
2016,"N","Actividades administrativas",1,"Calificado",0.113746167078005
2017,"N","Actividades administrativas",1,"Calificado",0.152154437079728
2018,"N","Actividades administrativas",1,"Calificado",0.134528859865325
2019,"N","Actividades administrativas",1,"Calificado",0.149260374809112
2020,"N","Actividades administrativas",1,"Calificado",0.0963147018303484
2021,"N","Actividades administrativas",1,"Calificado",0.134697130712009
2022,"N","Actividades administrativas",1,"Calificado",0.168487700229925
2023,"N","Actividades administrativas",1,"Calificado",0.104882436350553
2016,"N","Actividades administrativas",3,"No calificado",0.233899857901428
2017,"N","Actividades administrativas",3,"No calificado",0.277689485083874
2018,"N","Actividades administrativas",3,"No calificado",0.276087744127815
2019,"N","Actividades administrativas",3,"No calificado",0.291376082871801
2020,"N","Actividades administrativas",3,"No calificado",0.278660696713245
2021,"N","Actividades administrativas",3,"No calificado",0.198280869433205
2022,"N","Actividades administrativas",3,"No calificado",0.240573654201695
2023,"N","Actividades administrativas",3,"No calificado",0.278899212009622
2016,"N","Actividades administrativas",2,"Semicalificado",0.652353975020567
2017,"N","Actividades administrativas",2,"Semicalificado",0.570156077836398
2018,"N","Actividades administrativas",2,"Semicalificado",0.589383396006861
2019,"N","Actividades administrativas",2,"Semicalificado",0.559363542319087
2020,"N","Actividades administrativas",2,"Semicalificado",0.625024601456406
2021,"N","Actividades administrativas",2,"Semicalificado",0.667021999854786
2022,"N","Actividades administrativas",2,"Semicalificado",0.59093864556838
2023,"N","Actividades administrativas",2,"Semicalificado",0.616218351639824
2016,"O","Administración pública",1,"Calificado",0.284162530174045
2017,"O","Administración pública",1,"Calificado",0.271618808372541
2018,"O","Administración pública",1,"Calificado",0.272433581875929
2019,"O","Administración pública",1,"Calificado",0.300711434013755
2020,"O","Administración pública",1,"Calificado",0.360074485253693
2021,"O","Administración pública",1,"Calificado",0.319691886454453
2022,"O","Administración pública",1,"Calificado",0.316173052968189
2023,"O","Administración pública",1,"Calificado",0.27373507074444
2016,"O","Administración pública",3,"No calificado",0.0837914399403316
2017,"O","Administración pública",3,"No calificado",0.105658789976234
2018,"O","Administración pública",3,"No calificado",0.119368601845667
2019,"O","Administración pública",3,"No calificado",0.103874855802604
2020,"O","Administración pública",3,"No calificado",0.0918729494387004
2021,"O","Administración pública",3,"No calificado",0.102374764033412
2022,"O","Administración pública",3,"No calificado",0.0907686320819734
2023,"O","Administración pública",3,"No calificado",0.080185554083257
2016,"O","Administración pública",2,"Semicalificado",0.632046029885623
2017,"O","Administración pública",2,"Semicalificado",0.622722401651224
2018,"O","Administración pública",2,"Semicalificado",0.608197816278404
2019,"O","Administración pública",2,"Semicalificado",0.595413710183641
2020,"O","Administración pública",2,"Semicalificado",0.548052565307606
2021,"O","Administración pública",2,"Semicalificado",0.577933349512135
2022,"O","Administración pública",2,"Semicalificado",0.593058314949837
2023,"O","Administración pública",2,"Semicalificado",0.646079375172303
2016,"A","Agro y pesca",1,"Calificado",0.146246927355248
2017,"A","Agro y pesca",1,"Calificado",0.168471083093793
2018,"A","Agro y pesca",1,"Calificado",0.109193958091755
2019,"A","Agro y pesca",1,"Calificado",0.138821661707891
2020,"A","Agro y pesca",1,"Calificado",0.121946496713217
2021,"A","Agro y pesca",1,"Calificado",0.140808788826401
2022,"A","Agro y pesca",1,"Calificado",0.131644422676625
2023,"A","Agro y pesca",1,"Calificado",0.141008822755103
2016,"A","Agro y pesca",3,"No calificado",0.196074323287297
2017,"A","Agro y pesca",3,"No calificado",0.217398421806155
2018,"A","Agro y pesca",3,"No calificado",0.230092675291332
2019,"A","Agro y pesca",3,"No calificado",0.295919556818686
2020,"A","Agro y pesca",3,"No calificado",0.223761655643952
2021,"A","Agro y pesca",3,"No calificado",0.240983262133203
2022,"A","Agro y pesca",3,"No calificado",0.201461981143627
2023,"A","Agro y pesca",3,"No calificado",0.200027451571602
2016,"A","Agro y pesca",2,"Semicalificado",0.657678749357455
2017,"A","Agro y pesca",2,"Semicalificado",0.614130495100052
2018,"A","Agro y pesca",2,"Semicalificado",0.660713366616913
2019,"A","Agro y pesca",2,"Semicalificado",0.565258781473422
2020,"A","Agro y pesca",2,"Semicalificado",0.654291847642831
2021,"A","Agro y pesca",2,"Semicalificado",0.618207949040397
2022,"A","Agro y pesca",2,"Semicalificado",0.666893596179748
2023,"A","Agro y pesca",2,"Semicalificado",0.658963725673295
2016,"E","Agua y saneamiento",1,"Calificado",0.120998890578132
2017,"E","Agua y saneamiento",1,"Calificado",0.052328240783094
