anio,letra,letra_desc_abrev,share_sectorial,id_tipo_sector,tipo_sector
2004,AB,Agro y pesca,0.0836071737506228,1,Bienes
2016,AB,Agro y pesca,0.0676839312134692,1,Bienes
2017,AB,Agro y pesca,0.067581192644323,1,Bienes
2018,AB,Agro y pesca,0.0672056683299016,1,Bienes
2019,AB,Agro y pesca,0.067561843994661,1,Bienes
2020,AB,Agro y pesca,0.0727178829240915,1,Bienes
2021,AB,Agro y pesca,0.0690837947354984,1,Bienes
2015,AB,Agro y pesca,0.0712104688610584,1,Bienes
2014,AB,Agro y pesca,0.0732255418501479,1,Bienes
2013,AB,Agro y pesca,0.0747592346353305,1,Bienes
2012,AB,Agro y pesca,0.0777434345149339,1,Bienes
2011,AB,Agro y pesca,0.0814704646199109,1,Bienes
2010,AB,Agro y pesca,0.0810369692400067,1,Bienes
2009,AB,Agro y pesca,0.0822295654799282,1,Bienes
2008,AB,Agro y pesca,0.0855825016487799,1,Bienes
2007,AB,Agro y pesca,0.0843892338013716,1,Bienes
2006,AB,Agro y pesca,0.0844716984599483,1,Bienes
2005,AB,Agro y pesca,0.0832716291273329,1,Bienes
2004,C,Petróleo y minería,0.0043738113988412,1,Bienes
2016,C,Petróleo y minería,0.004996900693632,1,Bienes
2017,C,Petróleo y minería,0.0047181395983649,1,Bienes
2018,C,Petróleo y minería,0.0047912283752093,1,Bienes
2019,C,Petróleo y minería,0.0049193838579264,1,Bienes
2020,C,Petróleo y minería,0.0051458240991899,1,Bienes
2021,C,Petróleo y minería,0.0049388672094842,1,Bienes
2005,C,Petróleo y minería,0.0040488940782959,1,Bienes
2006,C,Petróleo y minería,0.004055592140657,1,Bienes
2007,C,Petróleo y minería,0.0042685872481593,1,Bienes
2008,C,Petróleo y minería,0.0052755338458738,1,Bienes
2009,C,Petróleo y minería,0.0045220162574658,1,Bienes
2010,C,Petróleo y minería,0.0043365861775377,1,Bienes
2011,C,Petróleo y minería,0.0044948236052724,1,Bienes
2012,C,Petróleo y minería,0.004390825200395,1,Bienes
2013,C,Petróleo y minería,0.0046137750945206,1,Bienes
2014,C,Petróleo y minería,0.0050442710514484,1,Bienes
2015,C,Petróleo y minería,0.0051402336174674,1,Bienes
2004,D,Industria manufacturera,0.130533414797792,1,Bienes
2016,D,Industria manufacturera,0.116597537753347,1,Bienes
2017,D,Industria manufacturera,0.114721932940768,1,Bienes
2018,D,Industria manufacturera,0.112220828919112,1,Bienes
2019,D,Industria manufacturera,0.111522053131132,1,Bienes
2020,D,Industria manufacturera,0.116880512281311,1,Bienes
2021,D,Industria manufacturera,0.114582908988958,1,Bienes
2005,D,Industria manufacturera,0.12417618282819,1,Bienes
2006,D,Industria manufacturera,0.124615565484393,1,Bienes
2007,D,Industria manufacturera,0.127416137362567,1,Bienes
2008,D,Industria manufacturera,0.125905320116558,1,Bienes
2009,D,Industria manufacturera,0.124297147996799,1,Bienes
2010,D,Industria manufacturera,0.125533605457939,1,Bienes
2011,D,Industria manufacturera,0.123022237639819,1,Bienes
2012,D,Industria manufacturera,0.124123952018574,1,Bienes
2013,D,Industria manufacturera,0.123548152029806,1,Bienes
2014,D,Industria manufacturera,0.119234228288472,1,Bienes
2015,D,Industria manufacturera,0.118624993812081,1,Bienes
2004,E,"Electricidad, gas y agua",0.0053635634146753,1,Bienes
2016,E,"Electricidad, gas y agua",0.0063125022386814,1,Bienes
2017,E,"Electricidad, gas y agua",0.0061824316540245,1,Bienes
2018,E,"Electricidad, gas y agua",0.0062212977065328,1,Bienes
2019,E,"Electricidad, gas y agua",0.0061434858226488,1,Bienes
2020,E,"Electricidad, gas y agua",0.0065971190880596,1,Bienes
2021,E,"Electricidad, gas y agua",0.0066288146680308,1,Bienes
2005,E,"Electricidad, gas y agua",0.0066698936732731,1,Bienes
2006,E,"Electricidad, gas y agua",0.0057672369427344,1,Bienes
2007,E,"Electricidad, gas y agua",0.0044783242388623,1,Bienes
2008,E,"Electricidad, gas y agua",0.0046163945088286,1,Bienes
2009,E,"Electricidad, gas y agua",0.005010313196511,1,Bienes
2010,E,"Electricidad, gas y agua",0.0050633693887027,1,Bienes
2011,E,"Electricidad, gas y agua",0.0054358355570025,1,Bienes
2012,E,"Electricidad, gas y agua",0.0056163680383079,1,Bienes
2013,E,"Electricidad, gas y agua",0.0067634076411337,1,Bienes
2014,E,"Electricidad, gas y agua",0.0070584246229189,1,Bienes
2015,E,"Electricidad, gas y agua",0.0065291707116674,1,Bienes
2004,F,Construcción,0.0716027745780865,1,Bienes
2016,F,Construcción,0.0801715517433771,1,Bienes
2017,F,Construcción,0.0822770820133905,1,Bienes
2018,F,Construcción,0.083428028742536,1,Bienes
2019,F,Construcción,0.0828157471717229,1,Bienes
2020,F,Construcción,0.0760777889217867,1,Bienes
2021,F,Construcción,0.0798296071352358,1,Bienes
2005,F,Construcción,0.0802007232449405,1,Bienes
2006,F,Construcción,0.0793020505543874,1,Bienes
2007,F,Construcción,0.0794065712010629,1,Bienes
2008,F,Construcción,0.079028666670726,1,Bienes
2009,F,Construcción,0.0714807582034167,1,Bienes
2010,F,Construcción,0.0717940498919519,1,Bienes
2011,F,Construcción,0.0785503030486037,1,Bienes
2012,F,Construcción,0.0742015796542403,1,Bienes
2013,F,Construcción,0.0793077985331701,1,Bienes
2014,F,Construcción,0.0863475324843919,1,Bienes
2015,F,Construcción,0.0846281169926241,1,Bienes
2004,G,Comercio,0.195187202542633,2,Servicios
2016,G,Comercio,0.174333907430277,2,Servicios
2017,G,Comercio,0.174988492192364,2,Servicios
2018,G,Comercio,0.173179561691387,2,Servicios
2019,G,Comercio,0.171575339799708,2,Servicios
