anio,letra,letra_desc_abrev,id_tipo_sector,tipo_sector,particip_vab
2004,A,Agro,1,Bienes,0.0948656466074961
2004,B,Pesca,1,Bienes,0.0034975741053403
2004,C,Petróleo y minería,1,Bienes,0.0589723241407285
2004,D,Industria manufacturera,1,Bienes,0.222745426862259
2004,E,"Electricidad, gas y agua",1,Bienes,0.0211004514340692
2004,F,Construcción,1,Bienes,0.0361390228763704
2004,G,Comercio,2,Servicios,0.145564011504677
2004,H,Hotelería y restaurantes,2,Servicios,0.0168175859529727
2004,I,Transporte y comunicaciones,2,Servicios,0.0722306419399931
2004,J,Finanzas,2,Servicios,0.0365625721501994
2004,K,Serv. inmobiliarios y profesionales,2,Servicios,0.128712006261828
2004,L,Adm. pública y defensa,2,Servicios,0.0523366085133262
2004,M,Enseñanza,2,Servicios,0.0413585433298758
2004,N,Salud,2,Servicios,0.0320089101168145
2004,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0297107741857923
2004,P,Servicio doméstico,2,Servicios,0.007377900018257
2005,A,Agro,1,Bienes,0.0899772916018463
2005,B,Pesca,1,Bienes,0.0033635777025794
2005,C,Petróleo y minería,1,Bienes,0.0582038099417805
2005,D,Industria manufacturera,1,Bienes,0.215639671829937
2005,E,"Electricidad, gas y agua",1,Bienes,0.021402204094713
2005,F,Construcción,1,Bienes,0.0413316845976777
2005,G,Comercio,2,Servicios,0.145765403932435
2005,H,Hotelería y restaurantes,2,Servicios,0.0185619284900975
2005,I,Transporte y comunicaciones,2,Servicios,0.0733067434968585
2005,J,Finanzas,2,Servicios,0.0378319729591132
2005,K,Serv. inmobiliarios y profesionales,2,Servicios,0.124217224394235
2005,L,Adm. pública y defensa,2,Servicios,0.0554866929801562
2005,M,Enseñanza,2,Servicios,0.0439995800776376
2005,N,Salud,2,Servicios,0.0329324748039519
2005,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0307040674620989
2005,P,Servicio doméstico,2,Servicios,0.0072756716348814
2006,A,Agro,1,Bienes,0.0774917597832128
2006,B,Pesca,1,Bienes,0.0042108777317546
2006,C,Petróleo y minería,1,Bienes,0.0674511672715471
2006,D,Industria manufacturera,1,Bienes,0.210604525372215
2006,E,"Electricidad, gas y agua",1,Bienes,0.0191958386204348
2006,F,Construcción,1,Bienes,0.0467698229220586
2006,G,Comercio,2,Servicios,0.146552112699249
2006,H,Hotelería y restaurantes,2,Servicios,0.0196396312194528
2006,I,Transporte y comunicaciones,2,Servicios,0.0733259841147338
2006,J,Finanzas,2,Servicios,0.0375415054176646
2006,K,Serv. inmobiliarios y profesionales,2,Servicios,0.120655106466495
2006,L,Adm. pública y defensa,2,Servicios,0.057696668221852
2006,M,Enseñanza,2,Servicios,0.0460621603770866
2006,N,Salud,2,Servicios,0.0338658551002898
2006,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0314617742314554
2006,P,Servicio doméstico,2,Servicios,0.0074752104504987
2007,A,Agro,1,Bienes,0.0852454850501963
2007,B,Pesca,1,Bienes,0.0030777459067058
2007,C,Petróleo y minería,1,Bienes,0.0518490698937068
2007,D,Industria manufacturera,1,Bienes,0.202041237325899
2007,E,"Electricidad, gas y agua",1,Bienes,0.0189944399048968
2007,F,Construcción,1,Bienes,0.0520330238751994
2007,G,Comercio,2,Servicios,0.151988648036814
2007,H,Hotelería y restaurantes,2,Servicios,0.0205788111738186
2007,I,Transporte y comunicaciones,2,Servicios,0.0734415531128999
2007,J,Finanzas,2,Servicios,0.0378517549712799
2007,K,Serv. inmobiliarios y profesionales,2,Servicios,0.118707342111486
2007,L,Adm. pública y defensa,2,Servicios,0.0609971517374803
2007,M,Enseñanza,2,Servicios,0.0483821357705017
2007,N,Salud,2,Servicios,0.0358605715512158
2007,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0315662988888042
2007,P,Servicio doméstico,2,Servicios,0.0073847306890959
2008,A,Agro,1,Bienes,0.0841893279203229
2008,B,Pesca,1,Bienes,0.0031004847628736
2008,C,Petróleo y minería,1,Bienes,0.0444723813012763
2008,D,Industria manufacturera,1,Bienes,0.197245502686774
2008,E,"Electricidad, gas y agua",1,Bienes,0.0170274649241588
2008,F,Construcción,1,Bienes,0.0545942239358114
2008,G,Comercio,2,Servicios,0.153968149912252
2008,H,Hotelería y restaurantes,2,Servicios,0.0211077024977974
2008,I,Transporte y comunicaciones,2,Servicios,0.0725106417775677
2008,J,Finanzas,2,Servicios,0.0386092217208611
2008,K,Serv. inmobiliarios y profesionales,2,Servicios,0.115887724047602
2008,L,Adm. pública y defensa,2,Servicios,0.0656616551871067
2008,M,Enseñanza,2,Servicios,0.052007248727915
2008,N,Salud,2,Servicios,0.0400256819567084
2008,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0320125123918727
2008,P,Servicio doméstico,2,Servicios,0.0075800762491001
2009,A,Agro,1,Bienes,0.0601301013795704
2009,B,Pesca,1,Bienes,0.0027530690228704
2009,C,Petróleo y minería,1,Bienes,0.0483776299820937
2009,D,Industria manufacturera,1,Bienes,0.185822390997521
2009,E,"Electricidad, gas y agua",1,Bienes,0.0166323089597836
2009,F,Construcción,1,Bienes,0.0506588495144995
2009,G,Comercio,2,Servicios,0.146758487323699
2009,H,Hotelería y restaurantes,2,Servicios,0.0207613806163403
2009,I,Transporte y comunicaciones,2,Servicios,0.0740982198470271
2009,J,Finanzas,2,Servicios,0.0409123063165924
2009,K,Serv. inmobiliarios y profesionales,2,Servicios,0.123215065883334
2009,L,Adm. pública y defensa,2,Servicios,0.0775711224507375
2009,M,Enseñanza,2,Servicios,0.0598742181201203
2009,N,Salud,2,Servicios,0.0483269633306287
2009,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0353494789173358
2009,P,Servicio doméstico,2,Servicios,0.0087584073378469
2010,A,Agro,1,Bienes,0.0824518231357933
2010,B,Pesca,1,Bienes,0.0025701938056895
2010,C,Petróleo y minería,1,Bienes,0.046165871976057
2010,D,Industria manufacturera,1,Bienes,0.18888536111366
2010,E,"Electricidad, gas y agua",1,Bienes,0.0140670934406811
2010,F,Construcción,1,Bienes,0.0519895930947569
2010,G,Comercio,2,Servicios,0.149435210359299
2010,H,Hotelería y restaurantes,2,Servicios,0.0214509262947381
2010,I,Transporte y comunicaciones,2,Servicios,0.0712238113690058
2010,J,Finanzas,2,Servicios,0.037927505210774
2010,K,Serv. inmobiliarios y profesionales,2,Servicios,0.114845335341746
2010,L,Adm. pública y defensa,2,Servicios,0.0751821904547433
2010,M,Enseñanza,2,Servicios,0.0545203476362729
2010,N,Salud,2,Servicios,0.0473239639260206
2010,O,"Serv. comunitarios, sociales y personales",2,Servicios,0.0339269572583115
2010,P,Servicio doméstico,2,Servicios,0.0080338155824508
2011,A,Agro,1,Bienes,0.0813162504219633
2011,B,Pesca,1,Bienes,0.0019788724194063
2011,C,Petróleo y minería,1,Bienes,0.0402493573661148
2011,D,Industria manufacturera,1,Bienes,0.188646391344263
2011,E,"Electricidad, gas y agua",1,Bienes,0.0134459820716139
2011,F,Construcción,1,Bienes,0.0577260833210522
2011,G,Comercio,2,Servicios,0.149601432975972
2011,H,Hotelería y restaurantes,2,Servicios,0.0226272164441974
2011,I,Transporte y comunicaciones,2,Servicios,0.0683438186126285
2011,J,Finanzas,2,Servicios,0.0376873261001379
2011,K,Serv. inmobiliarios y profesionales,2,Servicios,0.111346254343234
2011,L,Adm. pública y defensa,2,Servicios,0.0772446859594492
