iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo,geocodigoFundar,geonombreFundar
ARG,1950,Bienes,A,Agro y pesca,1676.851393291239,0.25826165,ARG,Argentina
ARG,1950,Bienes,B,Petróleo y minería,17.99550660091431,0.0027715927,ARG,Argentina
ARG,1950,Bienes,C,Industria,1564.445992821963,0.24094944,ARG,Argentina
ARG,1950,Bienes,DE,"Electricidad, gas y agua",71.86682078609942,0.011068627,ARG,Argentina
ARG,1950,Bienes,F,Construcción,298.3879163955025,0.045956459,ARG,Argentina
ARG,1950,Servicios,GI,"Comercio, hoteles y restaurantes",815.2005634399916,0.12555379,ARG,Argentina
ARG,1950,Servicios,H,Transporte,481.4366585264946,0.074148864,ARG,Argentina
ARG,1950,Servicios,JMN,Servicios empresariales,230.0118525633533,0.035425466,ARG,Argentina
ARG,1950,Servicios,K,Finanzas,32.61284305664292,0.0050228937,ARG,Argentina
ARG,1950,Servicios,L,Servicios inmobiliarios,25.46606669434873,0.003922177,ARG,Argentina
ARG,1950,Servicios,OPQ,"Administración pública, defensa, educación y salud",819.7574565952298,0.12625562,ARG,Argentina
ARG,1950,Servicios,RSTU,Otros servicios,458.8062226562255,0.070663415,ARG,Argentina
ARG,1951,Bienes,A,Agro y pesca,1710.038889508771,0.25931123,ARG,Argentina
ARG,1951,Bienes,B,Petróleo y minería,18.9054798506924,0.0028668372,ARG,Argentina
ARG,1951,Bienes,C,Industria,1601.212516015208,0.24280873,ARG,Argentina
ARG,1951,Bienes,DE,"Electricidad, gas y agua",77.66903552568702,0.011777774,ARG,Argentina
ARG,1951,Bienes,F,Construcción,335.732149036415,0.050910607,ARG,Argentina
ARG,1951,Servicios,GI,"Comercio, hoteles y restaurantes",805.8235057076889,0.12219551,ARG,Argentina
ARG,1951,Servicios,H,Transporte,484.3500542936528,0.073447108,ARG,Argentina
ARG,1951,Servicios,JMN,Servicios empresariales,230.2666427476107,0.034917757,ARG,Argentina
ARG,1951,Servicios,K,Finanzas,32.64896916144559,0.0049509075,ARG,Argentina
ARG,1951,Servicios,L,Servicios inmobiliarios,25.81893061640207,0.0039151968,ARG,Argentina
ARG,1951,Servicios,OPQ,"Administración pública, defensa, educación y salud",812.6170581694516,0.12322569,ARG,Argentina
ARG,1951,Servicios,RSTU,Otros servicios,459.4590475811856,0.069672622,ARG,Argentina
ARG,1952,Bienes,A,Agro y pesca,1612.599422273379,0.23998731,ARG,Argentina
ARG,1952,Bienes,B,Petróleo y minería,19.55430807880395,0.0029100752,ARG,Argentina
ARG,1952,Bienes,C,Industria,1649.212362949208,0.24543606,ARG,Argentina
ARG,1952,Bienes,DE,"Electricidad, gas y agua",89.98257729547137,0.013391222,ARG,Argentina
ARG,1952,Bienes,F,Construcción,295.8088840874114,0.044022325,ARG,Argentina
ARG,1952,Servicios,GI,"Comercio, hoteles y restaurantes",853.8988097650613,0.12707736,ARG,Argentina
ARG,1952,Servicios,H,Transporte,522.3608185871691,0.077737823,ARG,Argentina
ARG,1952,Servicios,JMN,Servicios empresariales,247.1171588277323,0.036776017,ARG,Argentina
ARG,1952,Servicios,K,Finanzas,35.03816445821004,0.0052143852,ARG,Argentina
