"anio","geocodigoFundar","geonombreFundar","indust_gdp_pc","indust_gdp_pc_relative"
"1970","AFG","Afganistán","92.4059438069453","2.46115732103651"
"1971","AFG","Afganistán","94.5353322800587","2.51651999009549"
"1972","AFG","Afganistán","96.4957725929668","2.42216250703862"
"1973","AFG","Afganistán","98.2159863369515","2.27738896200133"
"1974","AFG","Afganistán","105.463079401974","2.56901520278173"
"1975","AFG","Afganistán","112.807187832256","2.94911821430234"
"1976","AFG","Afganistán","113.038241878643","2.76980111535437"
"1977","AFG","Afganistán","114.812438220314","2.72395051725449"
"1978","AFG","Afganistán","122.893753054164","2.8250571888505"
"1979","AFG","Afganistán","113.272601187825","2.60826020520903"
"1980","AFG","Afganistán","110.185897682012","2.74989309664654"
"1981","AFG","Afganistán","119.022293420319","2.90370708337017"
"1982","AFG","Afganistán","135.227393534711","3.51166380289537"
"1983","AFG","Afganistán","149.98125103084","3.8161078999393"
"1984","AFG","Afganistán","149.485025856811","3.56022926608021"
"1985","AFG","Afganistán","159.617414396969","3.73991262366354"
"1986","AFG","Afganistán","167.209371698091","3.91845092717325"
"1987","AFG","Afganistán","165.028691807582","3.62928604478664"
"1988","AFG","Afganistán","143.416438830381","2.97249365352005"
"1989","AFG","Afganistán","127.725006440843","2.69242674406132"
"1990","AFG","Afganistán","161.355453212657","3.46687407058139"
"1991","AFG","Afganistán","139.266552011656","3.13105837703023"
"1992","AFG","Afganistán","77.8809820958999","1.74175274326553"
"1993","AFG","Afganistán","44.8636876997688","0.980810034327496"
"1994","AFG","Afganistán","25.149733095128","0.517511348694004"
"1995","AFG","Afganistán","23.7807201281624","0.464039659987634"
"1996","AFG","Afganistán","27.2298278882704","0.523842861572423"
"1997","AFG","Afganistán","31.3379952707216","0.579121278485682"
"1998","AFG","Afganistán","36.2783608619078","0.650196627047223"
"1999","AFG","Afganistán","41.8281796362566","0.716784065916088"
"2000","AFG","Afganistán","49.0881307455461","0.792754377976616"
"2001","AFG","Afganistán","52.6420414087832","0.894284042904494"
"2002","AFG","Afganistán","72.2822131115683","1.22918425881369"
"2003","AFG","Afganistán","65.0587106517832","1.05803158872752"
"2004","AFG","Afganistán","60.3383559137543","0.925683081861851"
"2005","AFG","Afganistán","55.5243728428999","0.835065078530721"
"2006","AFG","Afganistán","50.7600264120983","0.729209417273115"
"2007","AFG","Afganistán","48.0539314375736","0.67459123453589"
"2008","AFG","Afganistán","44.4077024498556","0.643130525949943"
"2009","AFG","Afganistán","41.6095835243018","0.671832868477657"
"2010","AFG","Afganistán","38.7224080853613","0.597373646172016"
"2011","AFG","Afganistán","35.4949566317635","0.550069644672542"
"2012","AFG","Afganistán","33.7606575930213","0.531374111244924"
"2013","AFG","Afganistán","30.4992334918653","0.469685316755149"
"2014","AFG","Afganistán","26.4677699022171","0.404479322527376"
"2015","AFG","Afganistán","23.9227351776854","0.364331013434112"
"2016","AFG","Afganistán","21.7387930565902","0.334824201510641"
"2017","AFG","Afganistán","25.2233048947471","0.398245182609721"
"2018","AFG","Afganistán","29.0663943305326","0.441254285926447"
"2019","AFG","Afganistán","41.8311033691933","0.636819277565586"
"2020","AFG","Afganistán","37.6044034815801","0.601362997904554"
"2021","AFG","Afganistán","32.9435544248319","0.49078836657617"
"2022","AFG","Afganistán","29.2323304941038","0.433188336171013"
"2023","AFG","Afganistán","29.0952240416533","0.432302766676192"
"1990","ARM","Armenia","499.218261602316","10.7261751137025"
"1991","ARM","Armenia","500.730400557724","11.2576644761675"
"1992","ARM","Armenia","151.155832063746","3.38049261928186"
"1993","ARM","Armenia","171.562057464996","3.75069005913229"
"1994","ARM","Armenia","98.9969015457185","2.0370800692663"
"1995","ARM","Armenia","103.284765355223","2.01542371883773"
"1996","ARM","Armenia","104.943692307923","2.01888915009407"
"1997","ARM","Armenia","107.554588358666","1.98759206449513"
"1998","ARM","Armenia","106.022169928009","1.90017563201982"
"1999","ARM","Armenia","112.178155593712","1.92232880255997"
"2000","ARM","Armenia","121.740005930764","1.96605413998717"
"2001","ARM","Armenia","126.661970604302","2.15173606727504"
"2002","ARM","Armenia","149.652522759518","2.54489337485873"
"2003","ARM","Armenia","174.81495525755","2.84296665260467"
"2004","ARM","Armenia","219.282039979986","3.36412339202229"
"2005","ARM","Armenia","239.947212399942","3.60871321019536"
"2006","ARM","Armenia","240.115720468729","3.44945928868514"
"2007","ARM","Armenia","245.220581721988","3.44245829651514"
"2008","ARM","Armenia","248.561707960235","3.59977240777071"
"2009","ARM","Armenia","232.019125577129","3.74620607743215"
"2010","ARM","Armenia","262.447934801286","4.04880500708914"
"2011","ARM","Armenia","295.719109584109","4.58279488039283"
"2012","ARM","Armenia","308.020886116917","4.84807868905622"
"2013","ARM","Armenia","331.851946383029","5.11048864865073"
"2014","ARM","Armenia","351.737613427161","5.37523909690996"
"2015","ARM","Armenia","332.591385349581","5.06519658324422"
"2016","ARM","Armenia","369.891533407683","5.69712573261877"
"2017","ARM","Armenia","414.01556590331","6.53680020657277"
"2018","ARM","Armenia","461.365575095855","7.00394878962049"
"2019","ARM","Armenia","506.245418801335","7.70686919316062"
"2020","ARM","Armenia","488.374170331105","7.80999372356278"
"2021","ARM","Armenia","504.610548493789","7.51761584857083"
"2022","ARM","Armenia","565.59714312518","8.38147630490473"
"2023","ARM","Armenia","565.203252318396","8.39790507754209"
"1990","AZE","Azerbaiyán","394.323970971702","8.47242236411287"
"1991","AZE","Azerbaiyán","382.86567449798","8.60777236241113"
"1992","AZE","Azerbaiyán","294.209450778998","6.57978500268478"
"1993","AZE","Azerbaiyán","228.340093346328","4.99197159832471"
"1994","AZE","Azerbaiyán","170.153490891963","3.5012841775864"
"1995","AZE","Azerbaiyán","131.924290662164","2.57427456582707"
"1996","AZE","Azerbaiyán","121.387160756069","2.33522583798636"
"1997","AZE","Azerbaiyán","120.82736043308","2.23287082806571"
"1998","AZE","Azerbaiyán","120.706794789504","2.16335989193557"
"1999","AZE","Azerbaiyán","124.1179569145","2.12693391354899"
"2000","AZE","Azerbaiyán","134.309046576252","2.16903929846321"
"2001","AZE","Azerbaiyán","138.491199029199","2.35269123423201"
"2002","AZE","Azerbaiyán","148.50247078381","2.52533633966979"
"2003","AZE","Azerbaiyán","167.81210191024","2.72908121007975"
"2004","AZE","Azerbaiyán","183.459682895002","2.81455339788154"
"2005","AZE","Azerbaiyán","210.684444488778","3.16861250607931"
"2006","AZE","Azerbaiyán","226.658839448075","3.2561401542994"
"2007","AZE","Azerbaiyán","246.452287537547","3.45974924278834"
"2008","AZE","Azerbaiyán","260.58307391675","3.77387075070977"
"2009","AZE","Azerbaiyán","225.108393003758","3.63462463645622"
"2010","AZE","Azerbaiyán","237.867033047284","3.66959349538215"
"2011","AZE","Azerbaiyán","251.041123251981","3.89041471153227"
"2012","AZE","Azerbaiyán","259.400284657916","4.08281726554025"
"2013","AZE","Azerbaiyán","261.257126312718","4.02333508346882"
"2014","AZE","Azerbaiyán","267.3951676954","4.08632146478913"
"2015","AZE","Azerbaiyán","271.605952336194","4.13641964994393"
"2016","AZE","Azerbaiyán","265.08198304631","4.08283307529033"
"2017","AZE","Azerbaiyán","259.464782072619","4.0966320610437"
"2018","AZE","Azerbaiyán","274.153370052229","4.16189734994586"
"2019","AZE","Azerbaiyán","300.533647455712","4.5751989510715"
"2020","AZE","Azerbaiyán","327.167945032105","5.23201215887262"
"2021","AZE","Azerbaiyán","389.062198951946","5.79619304759136"
"2022","AZE","Azerbaiyán","397.904364004001","5.89646896038087"
"2023","AZE","Azerbaiyán","435.986802599495","6.47798074103982"
"1970","BHR","Bahrein","1085.40153064758","28.9087889086279"
"1971","BHR","Bahrein","1044.45068932293","27.8031607332129"
"1972","BHR","Bahrein","1207.52304438323","30.310312730771"
"1973","BHR","Bahrein","1187.39787160825","27.5328580118033"
"1974","BHR","Bahrein","1123.25851624747","27.3618807762577"
"1975","BHR","Bahrein","1457.38601560954","38.100441350375"
"1976","BHR","Bahrein","924.700335887841","22.6581374510444"
"1977","BHR","Bahrein","955.071627775359","22.6592858301783"
"1978","BHR","Bahrein","1002.21177896569","23.0386453383827"
"1979","BHR","Bahrein","1056.35244744207","24.3239938206209"
"1980","BHR","Bahrein","1294.14411479599","32.2977626194372"
"1981","BHR","Bahrein","1387.4397220699","33.8484365655464"
"1982","BHR","Bahrein","1619.70342741108","42.0614030100719"
"1983","BHR","Bahrein","1582.30388148265","40.2599811691726"
"1984","BHR","Bahrein","1654.8748300186","39.4135383645403"
"1985","BHR","Bahrein","2333.60102982991","54.6773920817305"
"1986","BHR","Bahrein","2288.95655388356","53.6403183609759"
"1987","BHR","Bahrein","2654.75500310545","58.3829707402154"
"1988","BHR","Bahrein","2571.04428652101","53.2882623981577"
"1989","BHR","Bahrein","2426.78083663143","51.1562285929358"
"1990","BHR","Bahrein","2622.88122024643","56.3550763958558"
"1991","BHR","Bahrein","2633.95911652886","59.2179503077851"
"1992","BHR","Bahrein","2870.45728033331","64.1957344129364"
"1993","BHR","Bahrein","3360.19909077534","73.4606795505927"
"1994","BHR","Bahrein","3440.06555142026","70.7869525444846"
"1995","BHR","Bahrein","3427.9658400224","66.8908298100449"
"1996","BHR","Bahrein","3319.23348739589","63.8548570853609"
"1997","BHR","Bahrein","3288.8025475602","60.7765595589796"
"1998","BHR","Bahrein","3314.81427709815","59.4095491376027"
"1999","BHR","Bahrein","3396.09893774323","58.196881289543"
"2000","BHR","Bahrein","3391.61612219699","54.7732922083551"
"2001","BHR","Bahrein","3360.23219291715","57.0836910986209"
"2002","BHR","Bahrein","3268.20168054141","55.5769101058005"
"2003","BHR","Bahrein","3145.63698573281","51.1566132226096"
"2004","BHR","Bahrein","3248.54060078232","49.8376037819759"
"2005","BHR","Bahrein","3523.75765066232","52.9959513023088"
"2006","BHR","Bahrein","3663.97770861759","52.6360453028825"
"2007","BHR","Bahrein","3631.63272337101","50.9816268710997"
"2008","BHR","Bahrein","3660.89120191304","53.0185250360663"
"2009","BHR","Bahrein","3630.18885956097","58.6134247945564"
"2010","BHR","Bahrein","3675.41954320682","56.7009874204433"
"2011","BHR","Bahrein","3810.25378779955","59.0479647266715"
"2012","BHR","Bahrein","3956.68503075965","62.2760378971589"
"2013","BHR","Bahrein","3967.59383470733","61.1005705276929"
"2014","BHR","Bahrein","3984.32410633226","60.8882698169356"
"2015","BHR","Bahrein","3941.25382241619","60.0232786366902"
"2016","BHR","Bahrein","3972.74111600824","61.1887637236009"
"2017","BHR","Bahrein","3873.47207919131","61.1573940032123"
"2018","BHR","Bahrein","3904.96308195096","59.2808890122778"
"2019","BHR","Bahrein","3998.25392249951","60.8677507733406"
"2020","BHR","Bahrein","3807.29817428336","60.8856418936438"
"2021","BHR","Bahrein","3786.93987342256","56.4172891252522"
"2022","BHR","Bahrein","3866.29959920044","57.2939571429007"
"2023","BHR","Bahrein","3801.58340210559","56.4847007236572"
"1970","BGD","Bangladesh","48.7763173562943","1.29911762824959"
"1971","BGD","Bangladesh","40.1260007392208","1.06814965947008"
"1972","BGD","Bangladesh","21.434578365709","0.538034264885357"
"1973","BGD","Bangladesh","34.3612903362146","0.79675444141395"
"1974","BGD","Bangladesh","47.6271220094084","1.16016715234109"
"1975","BGD","Bangladesh","41.3287672155245","1.08045792570598"
"1976","BGD","Bangladesh","40.0148047718575","0.980491637571361"
"1977","BGD","Bangladesh","43.5824573825721","1.0340034509386"
"1978","BGD","Bangladesh","43.0325887824748","0.989224604778712"
"1979","BGD","Bangladesh","46.7090668424544","1.07554164899603"
"1980","BGD","Bangladesh","46.2667322617073","1.15467197098157"
"1981","BGD","Bangladesh","43.7182865215361","1.06656572140728"
"1982","BGD","Bangladesh","42.647647401073","1.10749897444818"
"1983","BGD","Bangladesh","42.3065832565313","1.07644445872432"
"1984","BGD","Bangladesh","44.3264944308996","1.05570763246076"
"1985","BGD","Bangladesh","42.5553937596251","0.997093299173358"
"1986","BGD","Bangladesh","42.6497509576709","0.999471228715238"
"1987","BGD","Bangladesh","44.9958720349332","0.989542416295669"
"1988","BGD","Bangladesh","44.3255587932195","0.918705298193916"
"1989","BGD","Bangladesh","44.6372930571403","0.940948409074544"
"1990","BGD","Bangladesh","46.9294001599097","1.00832241689348"
"1991","BGD","Bangladesh","47.1321081795041","1.05964698637889"
"1992","BGD","Bangladesh","49.6404829664808","1.11017407661126"
"1993","BGD","Bangladesh","52.9251285621324","1.15704927132149"
"1994","BGD","Bangladesh","56.184496952092","1.15612021341904"
"1995","BGD","Bangladesh","60.9302733754007","1.18894899682163"
"1996","BGD","Bangladesh","63.6598251144456","1.22467703769498"
"1997","BGD","Bangladesh","65.6473779408323","1.21315333396093"
