"anio","geocodigoFundar","geonombreFundar","industry_gdp","prop_industry_gdp"
"1970","AFG","Afganistán","1043274933.54122","0.0367871072780094"
"1971","AFG","Afganistán","1093553243.55007","0.0373604558765676"
"1972","AFG","Afganistán","1143831553.60216","0.0367533434686132"
"1973","AFG","Afganistán","1194109863.66867","0.0352036526859721"
"1974","AFG","Afganistán","1315032530.8743","0.0382597498869045"
"1975","AFG","Afganistán","1440993828.2386","0.0431053059072374"
"1976","AFG","Afganistán","1476262596.23704","0.0413314941586542"
"1977","AFG","Afganistán","1531684724.06228","0.0412290727661537"
"1978","AFG","Afganistán","1672761068.96532","0.0434744035429843"
"1979","AFG","Afganistán","1546801594.78462","0.0386029890898583"
"1980","AFG","Afganistán","1451072354.3886","0.0361076249475959"
"1981","AFG","Afganistán","1420838268.51082","0.0349343002059532"
"1982","AFG","Afganistán","1486335398.29476","0.0371543711310832"
"1983","AFG","Afganistán","1637492599.09219","0.0401407850692402"
"1984","AFG","Afganistán","1672770475.52843","0.0388407698711348"
"1985","AFG","Afganistán","1823924570.93683","0.0405258378834535"
"1986","AFG","Afganistán","1909543398.2857","0.0415149372097355"
"1987","AFG","Afganistán","1879316707.08284","0.0389881352813752"
"1988","AFG","Afganistán","1652630362.74125","0.0323776558575225"
"1989","AFG","Afganistán","1516617966.27914","0.028859326095193"
"1990","AFG","Afganistán","1943632928.54557","0.0345187509259917"
"1991","AFG","Afganistán","1704466478.81787","0.031992413281379"
"1992","AFG","Afganistán","1034179536.34592","0.0193630109868415"
"1993","AFG","Afganistán","670405801.85193","0.012522422136741"
"1994","AFG","Afganistán","408703131.683907","0.0073017157068638"
"1995","AFG","Afganistán","405837869.669119","0.00686661802047402"
"1996","AFG","Afganistán","483690675.913565","0.00793468929096083"
"1997","AFG","Afganistán","578251540.492924","0.00901587594190196"
"1998","AFG","Afganistán","695093249.00071","0.0106279569399819"
"1999","AFG","Afganistán","831869843.547249","0.0122542088823577"
"2000","AFG","Afganistán","988160123.726596","0.0136427618670896"
"2001","AFG","Afganistán","1067807329.04247","0.0147224937085522"
"2002","AFG","Afganistán","1545257608.91804","0.0208684444709681"
"2003","AFG","Afganistán","1478982857.12381","0.0191223431983859"
"2004","AFG","Afganistán","1421611126.61282","0.0171330552136449"
"2005","AFG","Afganistán","1355048277.17753","0.0156509605655319"
"2006","AFG","Afganistán","1290527682.94367","0.0139659643456264"
"2007","AFG","Afganistán","1245070251.56568","0.0127140043702152"
"2008","AFG","Afganistán","1176032397.868","0.0118501886247039"
"2009","AFG","Afganistán","1142853023.64641","0.012257131761516"
"2010","AFG","Afganistán","1095228036.58068","0.0107603635665323"
"2011","AFG","Afganistán","1041695622.70166","0.00980847135754424"
"2012","AFG","Afganistán","1031726843.90509","0.00949365373473862"
"2013","AFG","Afganistán","964468232.940143","0.00858846724044858"
"2014","AFG","Afganistán","867944953.277162","0.00741608554632026"
"2015","AFG","Afganistán","809348330.76595","0.00666479671466143"
"2016","AFG","Afganistán","754349423.205029","0.00604920238818441"
"2017","AFG","Afganistán","900192888.873811","0.00697481559887928"
"2018","AFG","Afganistán","1067987660.47614","0.00794927025563932"
"2019","AFG","Afganistán","1583563310.70769","0.0116078241590479"
"2020","AFG","Afganistán","1469165649.92938","0.0110162224404659"
"2021","AFG","Afganistán","1317755749.7377","0.00905521704872907"
"2022","AFG","Afganistán","1186214120.41202","0.00797825024129615"
"2023","AFG","Afganistán","1206135558.88819","0.00797609456875866"
"1970","ARE","Emiratos Árabes Unidos","265713417.983349","0.00936936918380758"
"1971","ARE","Emiratos Árabes Unidos","323674999.982329","0.0110581223424757"
"1972","ARE","Emiratos Árabes Unidos","339750470.76696","0.0109167872720394"
"1973","ARE","Emiratos Árabes Unidos","383235784.307432","0.0112982061852714"
"1974","ARE","Emiratos Árabes Unidos","573396730.554732","0.0166824888220881"
"1975","ARE","Emiratos Árabes Unidos","344233614.023366","0.0102972649467685"
"1976","ARE","Emiratos Árabes Unidos","511974569.815875","0.0143339497970499"
"1977","ARE","Emiratos Árabes Unidos","1402460253.54038","0.0377506773662277"
"1978","ARE","Emiratos Árabes Unidos","1658447538.44831","0.0431024005035986"
"1979","ARE","Emiratos Árabes Unidos","1853902217.58267","0.0462671924572026"
"1980","ARE","Emiratos Árabes Unidos","3056531941.05486","0.0760569303344336"
"1981","ARE","Emiratos Árabes Unidos","5827174948.25035","0.143273364397869"
"1982","ARE","Emiratos Árabes Unidos","6746832972.19952","0.168652604584486"
"1983","ARE","Emiratos Árabes Unidos","6648376324.04826","0.162975420610143"
"1984","ARE","Emiratos Árabes Unidos","7041473607.92655","0.163498973684807"
"1985","ARE","Emiratos Árabes Unidos","6886860204.93554","0.153019365295283"
"1986","ARE","Emiratos Árabes Unidos","5558600295.04131","0.120848231273417"
"1987","ARE","Emiratos Árabes Unidos","5993168243.05261","0.124333729032228"
"1988","ARE","Emiratos Árabes Unidos","5915779430.44388","0.115899522873471"
"1989","ARE","Emiratos Árabes Unidos","6157619470.02451","0.117171728284036"
"1990","ARE","Emiratos Árabes Unidos","6488754293.66979","0.115239709100193"
"1991","ARE","Emiratos Árabes Unidos","6682575486.64177","0.125430285317744"
"1992","ARE","Emiratos Árabes Unidos","7075705236.99825","0.132478891167908"
"1993","ARE","Emiratos Árabes Unidos","6388222114.75887","0.119324763901646"
"1994","ARE","Emiratos Árabes Unidos","8065351312.74596","0.144092124077968"
"1995","ARE","Emiratos Árabes Unidos","9026235344.31445","0.152720371617467"
"1996","ARE","Emiratos Árabes Unidos","9879434096.78066","0.162066882476947"
"1997","ARE","Emiratos Árabes Unidos","12275569621.8744","0.19139596711261"
"1998","ARE","Emiratos Árabes Unidos","12873084864.7266","0.196829118717145"
"1999","ARE","Emiratos Árabes Unidos","14021175613.0279","0.206544829183371"
"2000","ARE","Emiratos Árabes Unidos","18289930535.7617","0.252514912182436"
"2001","ARE","Emiratos Árabes Unidos","18447774709.1566","0.254350424187381"
"2002","ARE","Emiratos Árabes Unidos","18982169466.3148","0.25635101044651"
"2003","ARE","Emiratos Árabes Unidos","19796051793.6471","0.25595083441826"
"2004","ARE","Emiratos Árabes Unidos","21363230020.0339","0.257466611384172"
"2005","ARE","Emiratos Árabes Unidos","22767308141.4146","0.262964979112629"
"2006","ARE","Emiratos Árabes Unidos","24420343189.5179","0.264274565203306"
"2007","ARE","Emiratos Árabes Unidos","24877703049.2115","0.254038055194757"
"2008","ARE","Emiratos Árabes Unidos","28598585664.6191","0.288171172103651"
