"anio","sector","prop","intensidad_tecnologica"
1914,"Alimentos, bebidas y tabaco","0.505875769445999","Low tech"
1914,"Equipos de transporte","0.0187465025181869","High tech"
1914,"Equipos informáticos, electrónicos y eléctricos","0.00881365416899832","High tech"
1914,"Madera, papel y edición","0.146474538332401","Low tech"
1914,"Maquinarias y equipos","0","High tech"
1914,"Metales básicos y elaborados de metal","0.0762451035254617","High tech"
1914,"Otras manufacturas","0.0453273642977057","Low tech"
1914,"Químicos, minerales no metálicos","0.0949916060436486","High tech"
1914,"Textiles, cuero y calzado","0.103525461667599","Low tech"
1935,"Alimentos, bebidas y tabaco","0.327688022284123","Low tech"
1935,"Equipos de transporte","0.0923676880222841","High tech"
1935,"Equipos informáticos, electrónicos y eléctricos","0.0109192200557103","High tech"
1935,"Madera, papel y edición","0.143844011142061","Low tech"
1935,"Maquinarias y equipos","0.0177158774373259","High tech"
1935,"Metales básicos y elaborados de metal","0.0694150417827298","High tech"
1935,"Otras manufacturas","0.0492479108635097","Low tech"
1935,"Químicos, minerales no metálicos","0.0944846796657382","High tech"
1935,"Textiles, cuero y calzado","0.194317548746518","Low tech"
1946,"Alimentos, bebidas y tabaco","0.288699545991666","Low tech"
1946,"Equipos de transporte","0.0333975993531936","High tech"
1946,"Equipos informáticos, electrónicos y eléctricos","0.0205547608682132","High tech"
1946,"Madera, papel y edición","0.103799987561416","Low tech"
1946,"Maquinarias y equipos","0.0180670439703962","High tech"
1946,"Metales básicos y elaborados de metal","0.0770570309098824","High tech"
1946,"Otras manufacturas","0.0372846570060327","Low tech"
1946,"Químicos, minerales no metálicos","0.153181167983084","High tech"
1946,"Textiles, cuero y calzado","0.267958206356117","Low tech"
1953,"Alimentos, bebidas y tabaco","0.251208913649025","Low tech"
1953,"Equipos de transporte","0.0417827298050139","High tech"
1953,"Equipos informáticos, electrónicos y eléctricos","0.0498941504178273","High tech"
1953,"Madera, papel y edición","0.0827409470752089","Low tech"
1953,"Maquinarias y equipos","0.033025069637883","High tech"
1953,"Metales básicos y elaborados de metal","0.0877548746518106","High tech"
1953,"Otras manufacturas","0.0385738161559889","Low tech"
1953,"Químicos, minerales no metálicos","0.175821727019499","High tech"
1953,"Textiles, cuero y calzado","0.239197771587744","Low tech"
1963,"Alimentos, bebidas y tabaco","0.246598520792632","Low tech"
1963,"Equipos de transporte","0.104817890036282","High tech"
1963,"Equipos informáticos, electrónicos y eléctricos","0.0523478928272397","High tech"
1963,"Madera, papel y edición","0.0631454088752442","Low tech"
1963,"Maquinarias y equipos","0.0460682389059447","High tech"
1963,"Metales básicos y elaborados de metal","0.109492743511024","High tech"
1963,"Otras manufacturas","0.0173388222160201","Low tech"
1963,"Químicos, minerales no metálicos","0.219997209042702","High tech"
1963,"Textiles, cuero y calzado","0.140193273792911","Low tech"
1973,"Alimentos, bebidas y tabaco","0.20495426617365","Low tech"
1973,"Equipos de transporte","0.100211293057911","High tech"
1973,"Equipos informáticos, electrónicos y eléctricos","0.0523923378464789","High tech"
1973,"Madera, papel y edición","0.0630542967555395","Low tech"
1973,"Maquinarias y equipos","0.0520309155105786","High tech"
1973,"Metales básicos y elaborados de metal","0.142386499485668","High tech"
1973,"Otras manufacturas","0.0171397592371209","Low tech"
1973,"Químicos, minerales no metálicos","0.246490033084045","High tech"
1973,"Textiles, cuero y calzado","0.121340598849009","Low tech"
1984,"Alimentos, bebidas y tabaco","0.198196118521938","Low tech"
1984,"Equipos de transporte","0.078173693669926","High tech"
1984,"Equipos informáticos, electrónicos y eléctricos","0.0427391297178756","High tech"
1984,"Madera, papel y edición","0.0598710571009283","Low tech"
1984,"Maquinarias y equipos","0.0382871370389302","High tech"
1984,"Metales básicos y elaborados de metal","0.101703299421241","High tech"
1984,"Otras manufacturas","0.0108826487707554","Low tech"
1984,"Químicos, minerales no metálicos","0.348129338631754","High tech"
1984,"Textiles, cuero y calzado","0.122017577126651","Low tech"
1993,"Alimentos, bebidas y tabaco","0.265807467732022","Low tech"
1993,"Equipos de transporte","0.0722380147510756","High tech"
1993,"Equipos informáticos, electrónicos y eléctricos","0.0461163183773817","High tech"
1993,"Madera, papel y edición","0.0820912722802704","Low tech"
1993,"Maquinarias y equipos","0.0504187154271666","High tech"
1993,"Metales básicos y elaborados de metal","0.0725645359557468","High tech"
1993,"Otras manufacturas","0.0161916103257529","Low tech"
1993,"Químicos, minerales no metálicos","0.309426859250154","High tech"
1993,"Textiles, cuero y calzado","0.0851452059004302","Low tech"
2003,"Alimentos, bebidas y tabaco","0.255332872609998","Low tech"
2003,"Equipos de transporte","0.0527835368194732","High tech"
2003,"Equipos informáticos, electrónicos y eléctricos","0.0263226599093911","High tech"
2003,"Madera, papel y edición","0.0933886201336098","Low tech"
2003,"Maquinarias y equipos","0.0441065806649774","High tech"
2003,"Metales básicos y elaborados de metal","0.120049143822468","High tech"
2003,"Otras manufacturas","0.014251708515703","Low tech"
2003,"Químicos, minerales no metálicos","0.318144820701835","High tech"
2003,"Textiles, cuero y calzado","0.0756200568225447","Low tech"
2004,"Alimentos, bebidas y tabaco","0.251524784436474","Low tech"
2004,"Equipos de transporte","0.0453163067412539","High tech"
2004,"Equipos informáticos, electrónicos y eléctricos","0.033641396699883","High tech"
2004,"Madera, papel y edición","0.0939626965154335","Low tech"
2004,"Maquinarias y equipos","0.0458283301661001","High tech"
2004,"Metales básicos y elaborados de metal","0.14207382736465","High tech"
2004,"Otras manufacturas","0.0323186235305485","Low tech"
2004,"Químicos, minerales no metálicos","0.254914601650577","High tech"
2004,"Textiles, cuero y calzado","0.0905372668490898","Low tech"
2005,"Alimentos, bebidas y tabaco","0.246525667906273","Low tech"
2005,"Equipos de transporte","0.0516198642041752","High tech"
2005,"Equipos informáticos, electrónicos y eléctricos","0.0353452595565439","High tech"
2005,"Madera, papel y edición","0.0918164109812102","Low tech"
2005,"Maquinarias y equipos","0.0481402710414188","High tech"
2005,"Metales básicos y elaborados de metal","0.147398602770205","High tech"
2005,"Otras manufacturas","0.0298359652433318","Low tech"
2005,"Químicos, minerales no metálicos","0.247567216633297","High tech"
2005,"Textiles, cuero y calzado","0.0922849101355716","Low tech"
2006,"Alimentos, bebidas y tabaco","0.239707040417869","Low tech"
2006,"Equipos de transporte","0.0545083476205324","High tech"
2006,"Equipos informáticos, electrónicos y eléctricos","0.0376456446442745","High tech"
2006,"Madera, papel y edición","0.0929310255551394","Low tech"
2006,"Maquinarias y equipos","0.0549813965044158","High tech"
2006,"Metales básicos y elaborados de metal","0.150530629027397","High tech"
2006,"Otras manufacturas","0.0302429207034588","Low tech"
2006,"Químicos, minerales no metálicos","0.242018286556723","High tech"
2006,"Textiles, cuero y calzado","0.08783232720869","Low tech"
2007,"Alimentos, bebidas y tabaco","0.245011970629051","Low tech"
2007,"Equipos de transporte","0.0544988064608359","High tech"
2007,"Equipos informáticos, electrónicos y eléctricos","0.0408032746348065","High tech"
2007,"Madera, papel y edición","0.0946987394085641","Low tech"
2007,"Maquinarias y equipos","0.0603528334095586","High tech"
2007,"Metales básicos y elaborados de metal","0.143983900309271","High tech"
2007,"Otras manufacturas","0.0308234898915618","Low tech"
2007,"Químicos, minerales no metálicos","0.233533668410069","High tech"
2007,"Textiles, cuero y calzado","0.0863075733886617","Low tech"
2008,"Alimentos, bebidas y tabaco","0.260548676414325","Low tech"
2008,"Equipos de transporte","0.0525162298709087","High tech"
2008,"Equipos informáticos, electrónicos y eléctricos","0.0376318616364118","High tech"
2008,"Madera, papel y edición","0.0909424492342896","Low tech"
2008,"Maquinarias y equipos","0.0613058636056297","High tech"
2008,"Metales básicos y elaborados de metal","0.152026595340185","High tech"
2008,"Otras manufacturas","0.0290496160497075","Low tech"
2008,"Químicos, minerales no metálicos","0.227592917027155","High tech"
2008,"Textiles, cuero y calzado","0.078429421948585","Low tech"
2009,"Alimentos, bebidas y tabaco","0.284466503431117","Low tech"
2009,"Equipos de transporte","0.0488751630990719","High tech"
