"anio","geocodigoFundar","geonombreFundar","share_indust_id"
"2011","ISL","Islandia","44.0773536921632"
"2013","ISL","Islandia","24.7916451754715"
"2017","FRA","Francia","48.6720870758337"
"2018","CHL","Chile","28.1166601982515"
"2013","CAN","Canadá","42.1677310448964"
"2017","MEX","México","61.4424355200399"
"2021","USA","Estados Unidos","54.4896288645949"
"2010","IRL","Irlanda","39.7799410948301"
"2014","ISL","Islandia","19.3899492958467"
"2015","ISL","Islandia","21.1850293111941"
"2016","ISL","Islandia","21.3502789262845"
"2017","ISL","Islandia","23.133285335818"
"2018","ISL","Islandia","26.5934486218841"
"2005","KOR","Corea del Sur","88.6243085618175"
"2006","KOR","Corea del Sur","89.9852651602823"
"2008","USA","Estados Unidos","70.0959818356956"
"2009","USA","Estados Unidos","69.1036959131423"
"2010","USA","Estados Unidos","70.5115475469304"
"2011","USA","Estados Unidos","68.4687104715531"
"2012","USA","Estados Unidos","68.9542797211589"
"2013","USA","Estados Unidos","68.6687667427324"
"2014","USA","Estados Unidos","68.3286962034233"
"2009","CAN","Canadá","48.665669024345"
"2010","CAN","Canadá","46.6147810587357"
"2011","CAN","Canadá","43.8380489985034"
"2012","CAN","Canadá","43.0958083801498"
"2019","DNK","Dinamarca","49.705018222652"
"2022","CZE","Chequia","50.0647189622648"
"2000","TWN","Taiwán","91.9479934355316"
"2001","TWN","Taiwán","92.0200306539958"
"2018","GBR","Reino Unido","27.2385529310831"
"2019","GBR","Reino Unido","25.2095107211191"
"2020","GBR","Reino Unido","22.2465280147004"
"2021","GBR","Reino Unido","19.4791919764779"
"2010","ISR","Israel","30.1794504830816"
"2011","ISR","Israel","30.0277976389243"
"2012","ISR","Israel","26.9914101135972"
"2013","ISR","Israel","25.6805970949963"
"2014","ISR","Israel","23.2430964560696"
"2015","ISR","Israel","22.0272261442183"
"2016","ISR","Israel","19.393548943713"
"2017","ISR","Israel","18.605097497411"
"2018","ISR","Israel","20.6512976457844"
"2019","ISR","Israel","19.0058797286198"
"2020","ISR","Israel","16.5794034366072"
"2007","KOR","Corea del Sur","89.399695192167"
"2008","KOR","Corea del Sur","88.4552042624686"
"2016","ITA","Italia","69.794329942016"
"2007","AUS","Australia","29.1893749078379"
"2005","CZE","Chequia","59.7225165516558"
"2018","HUN","Hungría","48.1352827107608"
"2004","MEX","México","80.6176246649087"
"2012","NLD","Países Bajos","57.2040439543351"
"2017","NZL","Nueva Zelanda","31.5370196709048"
"2021","NOR","Noruega","26.8591846386645"
"2008","SVN","Eslovenia","82.6980922697792"
"2008","ESP","España","42.5302913033203"
"2022","GBR","Reino Unido","22.3170335117882"
"2015","USA","Estados Unidos","64.2864921374744"
"2016","USA","Estados Unidos","64.1890576323988"
"2015","ARG","Argentina","55.5700413674232"
"2009","CHN","China","84.0577384841429"
"2002","TWN","Taiwán","92.3890930088329"
"2003","TWN","Taiwán","91.7809430755451"
"2011","GBR","Reino Unido","36.8998517934797"
"2011","GRC","Grecia","39.2260781256565"
"2011","NLD","Países Bajos","56.8667724811432"
"2011","ROU","Rumania","51.9246696907177"
"2011","SVN","Eslovenia","68.290677710278"
"2012","CHL","Chile","25.0785293218965"
"2005","JPN","Japón","88.2848678478817"
"2006","JPN","Japón","88.014225752475"
"2013","FRA","Francia","50.9668870118118"
"2017","KOR","Corea del Sur","89.4878155138836"
"2017","ITA","Italia","68.4160877680948"
"2017","CZE","Chequia","53.7212171119585"
"2017","ESP","España","46.099702773775"
"2017","AUS","Australia","26.6338257431055"
"2017","AUT","Austria","65.4536052877442"
"2017","BEL","Bélgica","55.9211194479751"
"2017","CAN","Canadá","34.5470786131235"
"2017","CHL","Chile","28.7962003070349"
"2017","DNK","Dinamarca","56.167038790238"
"2017","EST","Estonia","29.5850160116721"
"2017","FIN","Finlandia","62.5574063475648"
"2017","DEU","Alemania","85.0353190164521"
"2017","GRC","Grecia","29.5460947176729"
"2017","HUN","Hungría","46.8521945284972"
"2017","IRL","Irlanda","45.0647245555759"
"2017","JPN","Japón","86.8314194467539"
"2017","LVA","Letonia","50.3733333366756"
"2017","LTU","Lituania","33.7585326759084"
"2017","NOR","Noruega","29.0639555000503"
"2017","POL","Polonia","39.8277563850112"
"2017","PRT","Portugal","39.5957202379974"
"2017","SVK","Eslovaquia","70.744669036382"
"2017","SVN","Eslovenia","74.1362987754672"
"2017","CHE","Suiza","70.6293956759981"
"2017","TUR","Turquía","58.5172503210925"
"2017","USA","Estados Unidos","61.7442108876359"
"2017","ARG","Argentina","48.1435164221144"
"2017","BGR","Bulgaria","35.5164388293255"
"2017","CHN","China","85.0985689741666"
"2017","HRV","Croacia","65.3111179032855"
"2017","ROU","Rumania","31.7331325121624"
"2017","TWN","Taiwán","91.441833900131"
"2013","AUS","Australia","25.8979065621646"
