"anio","exporter_iso3","geonombreFundar","tipo_bien","impo","prop"
"2002","AUT","Austria","Primarios","600.08","0.103428583783192"
"2002","AUT","Austria","Manufacturas","41601.507","0.492371093736478"
"2002","FIN","Finlandia","Manufacturas","33312.193","0.39426362372331"
"2002","FIN","Finlandia","Primarios","114.993","0.0198199625632926"
"2002","DEU","Alemania","Primarios","11780.167","2.03040592844204"
"2002","DEU","Alemania","Manufacturas","562169.146000001","6.65350505886535"
"2002","GRD","Granada","Primarios","496.913","0.0856469268321848"
"2002","GRD","Granada","Manufacturas","1.525","0.0000180490076464809"
"2002","ITA","Italia","Manufacturas","322311.785","3.81469368656781"
"2002","ITA","Italia","Primarios","13578.46","2.34035609878137"
"2002","MAR","Marruecos","Primarios","223.298","0.0384871948767152"
"2002","MAR","Marruecos","Manufacturas","10849.201","0.128404794627678"
"2002","NLD","Países Bajos","Primarios","9532.614","1.64302220665883"
"2002","NLD","Países Bajos","Manufacturas","74862.7090000001","0.886031217821165"
"2002","POL","Polonia","Primarios","621.71","0.107156687148128"
"2002","POL","Polonia","Manufacturas","12064.468","0.142787983726377"
"2002","IND","India","Primarios","999.285","0.172234755942187"
"2002","IND","India","Manufacturas","87398.4290000001","1.03439666446651"
"2002","SWE","Suecia","Primarios","560.308","0.096573561729091"
"2002","SWE","Suecia","Manufacturas","59672.191","0.706245135502473"
"2002","TUR","Turquía","Primarios","2778.245","0.478852729223995"
"2002","TUR","Turquía","Manufacturas","5373.831","0.0636015192196041"
"2003","BEL","Bélgica","Primarios","1271.741","0.155691335738682"
"2003","BEL","Bélgica","Manufacturas","122754.579","0.934670001993865"
"2003","CHN","China","Manufacturas","728176.517","5.5444346935219"
"2003","CHN","China","Primarios","6388.92","0.78215571309534"
"2003","CZE","Chequia","Primarios","247.177","0.0302603417628906"
"2003","CZE","Chequia","Manufacturas","22089.963","0.168195972235418"
"2003","IDN","Indonesia","Primarios","18578.943","2.27450436235274"
"2003","IDN","Indonesia","Manufacturas","49626.082","0.377859714397193"
"2003","JPN","Japón","Primarios","1235.172","0.151214420661927"
"2003","JPN","Japón","Manufacturas","397974.277","3.03023008434656"
"2003","LUX","Luxemburgo","Manufacturas","4289.602","0.03266161101732"
"2003","MAR","Marruecos","Primarios","385.998","0.0472553328173424"
"2003","MAR","Marruecos","Manufacturas","2739.691","0.0208603785968145"
"2003","PRY","Paraguay","Primarios","31953.543","3.91187340130846"
"2003","PRY","Paraguay","Manufacturas","279887.904","2.13110443553995"
"2003","RUS","Rusia","Manufacturas","109648.617","0.83487943101507"
"2003","RUS","Rusia","Primarios","289.542","0.0354468250472773"
"2003","IND","India","Primarios","3273.96","0.400810546766217"
"2003","IND","India","Manufacturas","158273.31","1.20511443384344"
"2003","SVK","Eslovaquia","Primarios","3.405","0.000416852958417015"
"2003","SVK","Eslovaquia","Manufacturas","8775.32","0.0668164758391358"
"2003","CHE","Suiza","Manufacturas","182924.892","1.39281492033277"
"2003","CHE","Suiza","Primarios","1759.896","0.215453114274969"
"2004","BOL","Bolivia","Primarios","114253.473","9.05304885353277"
"2004","BOL","Bolivia","Manufacturas","31058.449","0.149011494625955"
"2004","BGR","Bulgaria","Primarios","309.153","0.0244962112636718"
"2004","BGR","Bulgaria","Manufacturas","4800.723","0.0230327956658493"
"2004","CRI","Costa Rica","Primarios","39.27","0.00311161857178934"
"2004","CRI","Costa Rica","Manufacturas","17382.791","0.0833987449817795"
"2004","HRV","Croacia","Primarios","15.003","0.00118878567437116"
"2004","HRV","Croacia","Manufacturas","516.75","0.00247925097122404"
"2004","FRA","Francia","Primarios","19027.649","1.50768489956427"
"2004","FRA","Francia","Manufacturas","595492.018","2.85703756939074"
"2004","GRC","Grecia","Primarios","1059.592","0.0839583943396845"
"2004","GRC","Grecia","Manufacturas","11671.952","0.0559994162207651"
"2004","IRL","Irlanda","Primarios","72.573","0.00575043276318991"
"2004","IRL","Irlanda","Manufacturas","52386.568","0.251339041302553"
"2004","ISR","Israel","Primarios","2052.391","0.162624343065274"
"2004","ISR","Israel","Manufacturas","64374.7639999999","0.308855725533272"
"2004","JPN","Japón","Primarios","1708.221","0.135353506196093"
"2004","JPN","Japón","Manufacturas","606175.418","2.90829413412412"
"2002","COM","Comoras","Manufacturas","1.959","0.0000231855776914466"
"2002","CRI","Costa Rica","Primarios","281.143","0.0484572429185409"
"2002","CRI","Costa Rica","Manufacturas","1888.044","0.0223457839953393"
"2002","DMA","Dominica","Manufacturas","0.032","0.000000378733275204846"
"2002","SLV","El Salvador","Manufacturas","49.786","0.000589237963729639"
"2002","SLV","El Salvador","Primarios","0.116","0.0000199935270611424"
"2002","ETH","Etiopía","Manufacturas","0.576","0.00000681719895368722"
"2002","GEO","Georgia","Manufacturas","288.129","0.00341012624535928"
"2002","GUY","Guyana","Manufacturas","59.07","0.000699117955198444"
"2002","KAZ","Kazajstán","Manufacturas","1702.799","0.020153332571423"
"2002","KEN","Kenia","Primarios","171.815","0.0296136883793981"
"2002","KEN","Kenia","Manufacturas","90.511","0.00107123523350206"
"2002","PRK","Corea del Norte","Manufacturas","10.41","0.000123206668590076"
"2002","MLT","Malta","Manufacturas","577.099","0.00683020607460754"
"2002","MUS","Mauricio","Primarios","10.307","0.00177649382257926"
"2002","MUS","Mauricio","Manufacturas","13.62","0.000161198350259062"
"2002","NAM","Namibia","Primarios","121.828","0.0209980294379729"
"2002","NPL","Nepal","Manufacturas","0.175","0.0000020711975987765"
"2002","RWA","Ruanda","Manufacturas","0.011","0.000000130189563351666"
"2002","SEN","Senegal","Manufacturas","2.714","0.000032121315903311"
"2002","SDN","Sudán","Primarios","16.387","0.00282443041337017"
"2002","SUR","Suriname","Manufacturas","25.355","0.000300086943525589"
"2003","AFG","Afganistán","Manufacturas","137.218","0.00104479644978127"
"2003","ALB","Albania","Manufacturas","0.465","0.00000354057302357044"
"2003","ALB","Albania","Primarios","21.252","0.00260175009464858"
"2003","AND","Andorra","Manufacturas","65.225","0.000496631990241682"
"2003","BHS","Bahamas","Manufacturas","578.348","0.00440362005814176"
"2003","BGD","Bangladesh","Manufacturas","799.909","0.00609061554131443"
"2003","BRB","Barbados","Manufacturas","56.201","0.000427922031177812"
"2003","CYP","Chipre","Manufacturas","247.239","0.0018825112554291"
"2003","DMA","Dominica","Manufacturas","0.13","0.000000989837619492812"
"2003","SLV","El Salvador","Primarios","3.638","0.000445377698302819"
