"anio","region","industry_gdp","prop_industry_gdp"
"1988","Otros","194374764832.76","3.80811062475156"
"1988","África","130925935648.202","2.56504720160786"
"1989","América Latina","490717610433.314","9.33773689553034"
"1989","Asia","1247169420229.37","23.7320602779459"
"1989","Estados Unidos","1189167832684.94","22.6283632585242"
"1989","Europa","2004875977403.18","38.1502599196084"
"1989","Otros","195418857676.163","3.71857426472587"
"1989","África","127859523287.18","2.43300538366529"
"1990","América Latina","490512294309.54","8.71145547327086"
"1990","Asia","1367109654202.62","24.2797479651944"
"1990","Estados Unidos","1179251881062.84","20.9434103341088"
"1990","Europa","2275453562899.83","40.4118563890435"
"1990","Otros","188723004473.495","3.35170406394596"
"1990","África","129607944985.087","2.30182577443658"
"1991","América Latina","488460259294.248","9.16827798086662"
"1991","Asia","1446323254160.39","27.147128946566"
"1991","Estados Unidos","1140760929067.84","21.4117998514701"
"1991","Europa","1942983507032.4","36.4693187741628"
"1991","Otros","178540904991.946","3.35116852758247"
"1991","África","130652014231.605","2.45230591935201"
"1992","América Latina","483245201191.495","9.04783145591031"
"1992","Asia","1500455253036.8","28.0931216764065"
"1992","Estados Unidos","1160806078583.83","21.7338480053747"
"1992","Europa","1882544905029.8","35.2470111796158"
"1992","Otros","181550946528.318","3.39919022640905"
"1992","África","132403397471.829","2.47899745628368"
"1993","América Latina","487588617135.971","9.10760389599819"
"1993","Asia","1550214927216.26","28.9562615175082"
"1993","Estados Unidos","1201322870156.42","22.4393524952557"
"1993","Europa","1799049776048.98","33.6042150567046"
"1993","Otros","190494340422.066","3.55821882632219"
"1993","África","124972674234.946","2.33434820821115"
"1994","América Latina","514675029307.253","9.19496439858412"
"1994","Asia","1629785391849.67","29.1170501812784"
"1994","Estados Unidos","1290139942211.7","23.0490895464564"
"1994","Europa","1839343738895.81","32.8609301653315"
"1994","Otros","201011685239.543","3.5911889721263"
"1994","África","122401711634.409","2.18677673622331"
"1995","América Latina","555481789289.942","9.39853461061499"
"1995","Asia","1770928385486.16","29.963415623738"
"1995","Estados Unidos","1374478842566.23","23.255644419828"
"1995","Europa","1876176950210.01","31.7441801732637"
"1995","Otros","208352353758.674","3.52524033327379"
"1995","África","124883787515.228","2.11298483928141"
"1996","América Latina","572504526352.301","9.39163345601885"
"1996","Asia","1904755569592.11","31.2465060265939"
"1996","Estados Unidos","1407958507182.49","23.0968134086059"
"1996","Europa","1869168973691.54","30.6627267737468"
"1996","Otros","210986202726.563","3.4611168804381"
"1996","África","130525608280.85","2.14120345459643"
"1997","América Latina","605561499789.356","9.44168233886397"
"1997","Asia","2012033597624.56","31.3708551327996"
"1997","Estados Unidos","1479817719786.91","23.0727495630256"
"1997","Europa","1950718390443.03","30.4148519705262"
"1997","Otros","231262015511.483","3.60574852969415"
"1997","África","134310162063.805","2.09411246509049"
"1998","América Latina","620501468015.125","9.48745063017228"
"1998","Asia","1999993333314.46","30.5798438659489"
"1998","Estados Unidos","1540634999756.12","23.5562673945928"
"1998","Europa","2003601784163.8","30.6350169816453"
"1998","Otros","239408812524.968","3.66055425545494"
"1998","África","136093561828.83","2.08086687218579"
"1999","América Latina","611995097367.256","9.01525138372352"
"1999","Asia","2093163102868.65","30.8342201443675"
"1999","Estados Unidos","1626862239163.93","23.9651789954598"
"1999","Europa","2061940310783.87","30.374279663215"
"1999","Otros","253023481749.164","3.72726890095466"
"1999","África","141457613096.279","2.08380091227947"
"2000","América Latina","641090775194.662","8.85104404758245"
"2000","Asia","2262460558617.76","31.2360415015538"
"2000","Estados Unidos","1742977422665.46","24.0639399892618"
"2000","Europa","2179427149173.01","30.0896634957351"
"2000","Otros","269725904620.872","3.72389676305739"
"2000","África","147427270964.46","2.03541420280941"
"2001","América Latina","640185119548.127","8.82661238456548"
"2001","Asia","2291535971110.91","31.5947671457307"
"2001","Estados Unidos","1673412451742.71","23.0723311430045"
"2001","Europa","2229930943291.18","30.7453820461693"
"2001","Otros","265683454252.321","3.66313554637594"
"2001","África","152149226668.49","2.09777173415414"
"2002","América Latina","628131909031.829","8.48281593206456"
"2002","Asia","2403620059664.53","32.460485199963"
"2002","Estados Unidos","1688200215022.02","22.7988603581321"
"2002","Europa","2250273908031.2","30.3895711777778"
"2002","Otros","273491043178.471","3.69345060327723"
