"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2015","GEO","Georgia","Manufacturas de media tecnología","1592.381","87.5547980040963"
"2015","GEO","Georgia","Manufacturas de alta tecnología","14.531","0.798966308815241"
"2015","ISL","Islandia","Manufacturas de alta tecnología","33.12","2.23884531823104"
"2015","ISL","Islandia","Manufacturas de media tecnología","365.5","24.7070641248021"
"2015","CIV","Costa de Marfil","Manufacturas en basadas en RRNN","81.854","4.43834499302154"
"2015","CIV","Costa de Marfil","Productos primarios","1762.392","95.5616550069785"
"2015","LBN","Líbano","Manufacturas de alta tecnología","5.179","2.3879344528361"
"2015","MDG","Madagascar","Productos primarios","626.9","68.409364957251"
"2015","MDG","Madagascar","Manufacturas en basadas en RRNN","130.745","14.2673192236972"
"2015","MDG","Madagascar","Manufacturas de baja tecnología","73.371","8.00648192100568"
"2015","MWI","Malawi","Productos primarios","683.29","99.4751745172115"
"2015","MWI","Malawi","Manufacturas en basadas en RRNN","0.399","0.0580874806193086"
"2015","MWI","Malawi","Manufacturas de baja tecnología","2.251","0.327706563594145"
"2015","MDA","Moldavia","Manufacturas de media tecnología","2.112","19.5609891636566"
"2015","MNE","Montenegro","Manufacturas de baja tecnología","0.026","2.16847372810676"
"2015","MOZ","Mozambique","Productos primarios","4920.656","48.276778217596"
"2015","MOZ","Mozambique","Manufacturas en basadas en RRNN","5271.85","51.7223584104302"
"2015","MOZ","Mozambique","Manufacturas de baja tecnología","0.088","0.000863371973807649"
"2015","OMN","Omán","Manufacturas de media tecnología","20280.099","46.302161453342"
"2015","NAM","Namibia","Manufacturas de alta tecnología","4.523","19.0578519361227"
"2015","PNG","Papúa Nueva Guinea","Productos primarios","21.601","100"
"2015","SOM","Somalia","Productos primarios","8.937","100"
"2015","SUR","Suriname","Manufacturas de baja tecnología","5.44","57.4992072719586"
"2015","SYR","Siria","Manufacturas de alta tecnología","2.856","19.4219653179191"
"2015","UGA","Uganda","Productos primarios","1.578","94.0405244338498"
"2015","UGA","Uganda","Manufacturas en basadas en RRNN","0.1","5.95947556615018"
"2015","TZA","Tanzanía","Manufacturas de media tecnología","0.75","0.0465216967889484"
"2015","TZA","Tanzanía","Manufacturas de alta tecnología","3.194","0.198120399391868"
