"anio","letra","letra_desc","prop_empleo","prop_vab"
"2004","A_B","Agro y pesca","0.083607173750623","0.0983632207128364"
"2004","C","Petróleo y minería","0.00437381139884124","0.0589723241407285"
"2004","D","Industria manufacturera","0.130533414797792","0.222745426862259"
"2004","E","Electricidad, gas y agua","0.00536356341467535","0.0211004514340692"
"2004","F","Construcción","0.0716027745780864","0.0361390228763704"
"2004","G","Comercio","0.195187202542633","0.145564011504677"
"2004","H","Hotelería y restaurantes","0.0305847382392814","0.0168175859529727"
"2004","I","Transporte y comunicaciones","0.0591995719843089","0.0722306419399931"
"2004","J","Finanzas","0.0150183220681195","0.0365625721501994"
"2004","K","Serv. inmobiliarios y profesionales","0.067290166109857","0.128712006261828"
"2004","L","Adm. pública y defensa","0.068355154468376","0.0523366085133262"
"2004","M","Enseñanza","0.0909667914373457","0.0413585433298758"
"2004","N_O","Serv. comunitarios, sociales y personales","0.103585280238459","0.0617196843026068"
"2004","P","Servicio doméstico","0.0743320349716016","0.00737790001825707"
"2005","A_B","Agro y pesca","0.083271629127333","0.0933408693044257"
"2005","C","Petróleo y minería","0.00404889407829599","0.0582038099417805"
"2005","D","Industria manufacturera","0.12417618282819","0.215639671829937"
"2005","E","Electricidad, gas y agua","0.00666989367327308","0.021402204094713"
"2005","F","Construcción","0.0802007232449406","0.0413316845976777"
"2005","G","Comercio","0.196325205492601","0.145765403932435"
"2005","H","Hotelería y restaurantes","0.032722936225432","0.0185619284900975"
"2005","I","Transporte y comunicaciones","0.0590742024234185","0.0733067434968586"
"2005","J","Finanzas","0.014061097328995","0.0378319729591132"
"2005","K","Serv. inmobiliarios y profesionales","0.0677921171908548","0.124217224394235"
"2005","L","Adm. pública y defensa","0.0666492397482988","0.0554866929801562"
"2005","M","Enseñanza","0.0883878195836546","0.0439995800776376"
"2005","N_O","Serv. comunitarios, sociales y personales","0.10165963647214","0.0636365422660508"
"2005","P","Servicio doméstico","0.0749604225825728","0.00727567163488144"
"2006","A_B","Agro y pesca","0.0844716984599482","0.0817026375149675"
"2006","C","Petróleo y minería","0.00405559214065704","0.0674511672715471"
"2006","D","Industria manufacturera","0.124615565484393","0.210604525372215"
"2006","E","Electricidad, gas y agua","0.00576723694273447","0.0191958386204348"
"2006","F","Construcción","0.0793020505543871","0.0467698229220586"
"2006","G","Comercio","0.187305068171735","0.146552112699249"
"2006","H","Hotelería y restaurantes","0.0346687697615704","0.0196396312194528"
"2006","I","Transporte y comunicaciones","0.0562927220430337","0.0733259841147338"
"2006","J","Finanzas","0.0144141924369408","0.0375415054176646"
"2006","K","Serv. inmobiliarios y profesionales","0.0695082959847881","0.120655106466495"
"2006","L","Adm. pública y defensa","0.066758583840172","0.057696668221852"
