"anio","importer_iso3","geonombreFundar","clasificacion_lall","expo","prop"
"2002","AFG","Afganistán","Manufacturas en basadas en RRNN","84.33","100"
"2002","AGO","Angola","Productos primarios","7747.865","26.6234514841166"
"2002","AGO","Angola","Manufacturas en basadas en RRNN","20321.6","69.8297055614191"
"2002","AGO","Angola","Manufacturas de baja tecnología","349.574","1.20121690673606"
"2002","AZE","Azerbaiyán","Manufacturas de media tecnología","174.659","60.8661258171984"
"2002","AUS","Australia","Productos primarios","16270.211","14.9885277527601"
"2002","AUS","Australia","Manufacturas en basadas en RRNN","33536.953","30.8950849367295"
"2002","AUS","Australia","Manufacturas de baja tecnología","19624.623","18.0786964885062"
"2002","AUT","Austria","Manufacturas de alta tecnología","642.913","3.1588259369299"
"2002","BHS","Bahamas","Manufacturas de alta tecnología","6.01","0.0811855631806045"
"2002","BHR","Bahrein","Manufacturas de alta tecnología","38.58","1.36322246285325"
"2002","ARM","Armenia","Manufacturas en basadas en RRNN","150.47","21.6921209465129"
"2002","ARM","Armenia","Manufacturas de baja tecnología","11.34","1.63480196406896"
"2002","BRB","Barbados","Manufacturas de alta tecnología","15.928","0.138897536556963"
"2002","BEL","Bélgica","Manufacturas de alta tecnología","1030.832","0.35700515744921"
"2002","ARM","Armenia","Productos primarios","531.852","76.6730770894182"
"2002","BRA","Brasil","Manufacturas de media tecnología","1651533.808","33.6667157257695"
"2002","BLZ","Belice","Manufacturas de media tecnología","360.25","37.7875234565855"
"2002","BGR","Bulgaria","Productos primarios","21298.999","97.0399333536686"
"2002","BGR","Bulgaria","Manufacturas en basadas en RRNN","524.525","2.3897776154801"
"2002","BGR","Bulgaria","Manufacturas de baja tecnología","48.736","0.222045091974716"
"2002","KHM","Camboya","Manufacturas en basadas en RRNN","30.139","13.2521061610708"
"2002","KHM","Camboya","Manufacturas de baja tecnología","197.289","86.7478938389292"
"2002","CMR","Camerún","Manufacturas de media tecnología","1460.555","47.9452279635059"
"2002","CAN","Canadá","Productos primarios","53311.628","22.5231203057089"
"2002","CAN","Canadá","Manufacturas en basadas en RRNN","70821.315","29.9206206562198"
"2002","CAN","Canadá","Manufacturas de baja tecnología","28144.472","11.8904890467171"
"2002","LKA","Sri Lanka","Manufacturas de media tecnología","367.471","3.58313894286232"
"2002","CHN","China","Manufacturas de media tecnología","87382.321","7.57512596556765"
"2002","COL","Colombia","Productos primarios","66717.607","32.4693640416285"
"2002","COL","Colombia","Manufacturas en basadas en RRNN","51892.549","25.2544738981577"
"2002","COL","Colombia","Manufacturas de baja tecnología","16503.171","8.03157503895855"
"2002","HRV","Croacia","Manufacturas de media tecnología","421.022","2.90248464521082"
"2002","CUB","Cuba","Manufacturas de media tecnología","5374.858","24.3761115233617"
"2002","CYP","Chipre","Manufacturas de alta tecnología","90.666","0.316373782646961"
"2002","DNK","Dinamarca","Manufacturas de media tecnología","1521.014","0.610747018401458"
"2002","DMA","Dominica","Manufacturas de alta tecnología","10.604","13.8092695568376"
"2002","DOM","Rep. Dominicana","Manufacturas de alta tecnología","3280.83","4.71701999207137"
"2002","ECU","Ecuador","Manufacturas de media tecnología","77393.03","44.2833041840173"
"2002","GNQ","Guinea Ecuatorial","Productos primarios","88.752","14.2467301481306"
"2002","GNQ","Guinea Ecuatorial","Manufacturas en basadas en RRNN","22.94","3.68239577246839"
"2002","ETH","Etiopía","Manufacturas de baja tecnología","10.187","81.1907228819638"
"2002","EST","Estonia","Manufacturas de alta tecnología","308.119","5.30256121490518"
"2002","DJI","Djibouti","Manufacturas en basadas en RRNN","69.916","97.1743874133066"
"2002","DJI","Djibouti","Manufacturas de baja tecnología","2.033","2.82561258669335"
"2002","GNQ","Guinea Ecuatorial","Manufacturas de baja tecnología","2.994","0.480605620870548"
"2002","GHA","Ghana","Manufacturas de alta tecnología","0.411","0.00571335950265136"
"2002","GRC","Grecia","Productos primarios","73353.557","90.8142874613303"
"2002","GRC","Grecia","Manufacturas en basadas en RRNN","2829.613","3.50316056774612"
"2002","GRC","Grecia","Manufacturas de baja tecnología","3942.918","4.8814713741619"
"2002","HTI","Haití","Manufacturas de media tecnología","1483.519","13.6130348714046"
"2002","HUN","Hungría","Productos primarios","20116.905","68.8652212900899"
"2002","HUN","Hungría","Manufacturas en basadas en RRNN","3470.612","11.8807770575067"
"2002","HUN","Hungría","Manufacturas de baja tecnología","4630.336","15.850803753732"
"2002","ISL","Islandia","Manufacturas de media tecnología","14.268","6.18704224863515"
"2002","IDN","Indonesia","Productos primarios","51840.422","71.5592385441204"
"2002","IDN","Indonesia","Manufacturas en basadas en RRNN","6749.297","9.31656293284256"
"2002","IDN","Indonesia","Manufacturas de baja tecnología","5604.405","7.73618228441236"
"2002","IRL","Irlanda","Productos primarios","28811.174","85.269517200345"
"2002","IRL","Irlanda","Manufacturas en basadas en RRNN","4517.978","13.3714024559284"
