"anio","geocodigoFundar","geonombreFundar","variable","variacion_interanual"
"1963","AFG","Afganistán","Var. interanual de las importaciones industriales","0.336098528551864"
"1963","AGO","Angola","Var. interanual de las importaciones industriales","-0.000959925869081113"
"1963","ALB","Albania","Var. interanual de las importaciones industriales","0.782352746345857"
"1963","ANS","Países no declarados","Var. interanual de las importaciones industriales","0.134124808492855"
"1963","ANT","Antillas Holandesas","Var. interanual de las importaciones industriales","0.0268570937497705"
"1963","ARG","Argentina","Var. interanual de las importaciones industriales","-0.371646402035092"
"1963","ARG","Argentina","Var. interanual del PIB","-0.0530819682539128"
"1963","AUS","Australia","Var. interanual de las importaciones industriales","0.171142459146537"
"1963","AUS","Australia","Var. interanual del PIB","0.0621617959257419"
"1963","AUT","Austria","Var. interanual de las importaciones industriales","0.186463235365053"
"1963","AUT","Austria","Var. interanual del PIB","0.0413826758157037"
"1963","BDI","Burundi","Var. interanual de las importaciones industriales","0.173085074590454"
"1963","BDI","Burundi","Var. interanual del PIB","0.0413540742185579"
"1963","BEL","Bélgica","Var. interanual de las importaciones industriales","0.161713390627779"
"1963","BEL","Bélgica","Var. interanual del PIB","0.0435158428167017"
"1963","BEN","Benin","Var. interanual de las importaciones industriales","0.389577999816043"
"1963","BEN","Benin","Var. interanual del PIB","0.0473002797091882"
"1963","BFA","Burkina Faso","Var. interanual de las importaciones industriales","-0.00672209830005199"
"1963","BFA","Burkina Faso","Var. interanual del PIB","-0.0126801637269223"
"1963","BGR","Bulgaria","Var. interanual de las importaciones industriales","0.429656839253083"
"1963","BHR","Bahrein","Var. interanual de las importaciones industriales","0.124716069270815"
"1963","BHS","Bahamas","Var. interanual de las importaciones industriales","0.0192033890709733"
"1963","BHS","Bahamas","Var. interanual del PIB","0.105240552186811"
"1963","BMU","Bermuda","Var. interanual de las importaciones industriales","-0.159276917107146"
"1963","BMU","Bermuda","Var. interanual del PIB","0.0106999999436301"
"1963","BOL","Bolivia","Var. interanual de las importaciones industriales","-0.0559355347359859"
"1963","BOL","Bolivia","Var. interanual del PIB","0.0679762576905414"
"1963","BRA","Brasil","Var. interanual de las importaciones industriales","-0.0468491658621345"
"1963","BRA","Brasil","Var. interanual del PIB","0.00600000000000289"
"1963","BRB","Barbados","Var. interanual de las importaciones industriales","0.195852288191991"
"1963","BRB","Barbados","Var. interanual del PIB","-0.0507842107998042"
"1963","BRN","Brunei","Var. interanual de las importaciones industriales","0.405443792315401"
"1963","CAF","Rep. Centroafricana","Var. interanual de las importaciones industriales","0.156224566674747"
"1963","CAF","Rep. Centroafricana","Var. interanual del PIB","-0.00707010752236326"
"1963","CAN","Canadá","Var. interanual de las importaciones industriales","0.0602138671390013"
"1963","CAN","Canadá","Var. interanual del PIB","0.0529744024171557"
"1963","CHE","Suiza","Var. interanual de las importaciones industriales","0.101376984114985"
"1963","CHE","Suiza","Var. interanual del PIB","0.0487919908861301"
"1963","CHL","Chile","Var. interanual de las importaciones industriales","-0.0207262887496321"
"1963","CHL","Chile","Var. interanual del PIB","0.0584014013990826"
"1963","CHN","China","Var. interanual de las importaciones industriales","0.275268490586529"
"1963","CHN","China","Var. interanual del PIB","0.102999999963985"
"1963","CIV","Costa de Marfil","Var. interanual de las importaciones industriales","0.274094789113165"
"1963","CIV","Costa de Marfil","Var. interanual del PIB","0.14490355865667"
"1963","CMR","Camerún","Var. interanual de las importaciones industriales","0.174357549275383"
"1963","CMR","Camerún","Var. interanual del PIB","0.0374255032074069"
"1963","COD","Rep. Dem. Congo","Var. interanual de las importaciones industriales","-0.0560946661793631"
"1963","COD","Rep. Dem. Congo","Var. interanual del PIB","0.0521399013434882"
"1963","COG","Congo","Var. interanual de las importaciones industriales","0.113025143710891"
"1963","COG","Congo","Var. interanual del PIB","-0.0402930039798799"
"1963","COL","Colombia","Var. interanual de las importaciones industriales","0.0610029268648296"
"1963","COL","Colombia","Var. interanual del PIB","0.0328670755407103"
"1963","COM","Comoras","Var. interanual de las importaciones industriales","0.132909178160653"
"1963","CRI","Costa Rica","Var. interanual de las importaciones industriales","0.0858250075127218"
"1963","CRI","Costa Rica","Var. interanual del PIB","0.068989234420092"
"1963","CSK","Checoslovaquia","Var. interanual de las importaciones industriales","0.0415011835246966"
"1963","CUB","Cuba","Var. interanual de las importaciones industriales","0.168760337437288"
"1963","CYP","Chipre","Var. interanual de las importaciones industriales","0.125761332845289"
"1963","DEU","Alemania","Var. interanual de las importaciones industriales","0.110257010060578"
"1963","DEU","Alemania","Var. interanual del PIB","0.0273529640413517"
"1963","DJI","Djibouti","Var. interanual de las importaciones industriales","1.04391596491465"
"1963","DNK","Dinamarca","Var. interanual de las importaciones industriales","0.00544100366744238"
"1963","DNK","Dinamarca","Var. interanual del PIB","0.00637021234202373"
"1963","DOM","Rep. Dominicana","Var. interanual de las importaciones industriales","0.181439360935749"
"1963","DOM","Rep. Dominicana","Var. interanual del PIB","0.0650290263397366"
"1963","DZA","Argelia","Var. interanual de las importaciones industriales","0.0304722418220196"
"1963","DZA","Argelia","Var. interanual del PIB","0.343137287803281"
"1963","ECU","Ecuador","Var. interanual de las importaciones industriales","0.281749447287507"
"1963","ECU","Ecuador","Var. interanual del PIB","0.0210636824719366"
"1963","EGY","Egipto","Var. interanual de las importaciones industriales","0.20726665387267"
"1963","EGY","Egipto","Var. interanual del PIB","0.105180926173666"
"1963","ESP","España","Var. interanual de las importaciones industriales","0.238493837891502"
"1963","ESP","España","Var. interanual del PIB","0.0959649887419822"
"1963","ETH","Etiopía","Var. interanual de las importaciones industriales","0.0141363458020058"
"1963","ETH","Etiopía","Var. interanual del PIB","0.0451863392606093"
"1963","FIN","Finlandia","Var. interanual de las importaciones industriales","0.182523488682946"
"1963","FIN","Finlandia","Var. interanual del PIB","0.0328509963570323"
"1963","FJI","Fiji","Var. interanual de las importaciones industriales","0.710173061740252"
"1963","FJI","Fiji","Var. interanual del PIB","0.0635877194090919"
"1963","FRA","Francia","Var. interanual de las importaciones industriales","0.165116408712261"
"1963","FRA","Francia","Var. interanual del PIB","0.061986348421319"
"1963","GAB","Gabón","Var. interanual de las importaciones industriales","0.25057568227488"
"1963","GAB","Gabón","Var. interanual del PIB","0.0609243528403629"
"1963","GBR","Reino Unido","Var. interanual de las importaciones industriales","0.135960917929638"
"1963","GBR","Reino Unido","Var. interanual del PIB","0.0485954532830453"
"1963","GHA","Ghana","Var. interanual de las importaciones industriales","0.11332580233181"
"1963","GHA","Ghana","Var. interanual del PIB","0.0440597419943651"
"1963","GIN","Guinea","Var. interanual de las importaciones industriales","-0.187509440099488"
"1963","GLP","Guadalupe","Var. interanual de las importaciones industriales","0.217736106574578"
"1963","GMB","Gambia","Var. interanual de las importaciones industriales","0.0300582599344328"
"1963","GNB","Guinea-Bissau","Var. interanual de las importaciones industriales","0.014825379545754"
"1963","GNQ","Guinea Ecuatorial","Var. interanual de las importaciones industriales","-0.231459983518431"
"1963","GRC","Grecia","Var. interanual de las importaciones industriales","0.207887408097242"
"1963","GRC","Grecia","Var. interanual del PIB","0.118448662648481"
"1963","GTM","Guatemala","Var. interanual de las importaciones industriales","0.429104605480254"
