"anio","provincia_id","provincia","prop"
"1913","2","CABA","0.3719"
"1935","2","CABA","0.4676"
"1946","2","CABA","0.4549"
"1953","2","CABA","0.388"
"1963","2","CABA","0.2747"
"1973","2","CABA","0.2062"
"1984","2","CABA","0.1364"
"1993","2","CABA","0.2211"
"2003","2","CABA","0.1483"
"2004","2","CABA","0.149833747930531"
"2005","2","CABA","0.150234733551098"
"2006","2","CABA","0.149885455393421"
"2007","2","CABA","0.151316745159215"
"2008","2","CABA","0.149913023766251"
"2009","2","CABA","0.152065491090628"
"2010","2","CABA","0.148222761134585"
"2011","2","CABA","0.146253290485159"
"2012","2","CABA","0.141529523476546"
"2013","2","CABA","0.136463139853347"
"2014","2","CABA","0.136552786144252"
"2015","2","CABA","0.137132765748348"
"2016","2","CABA","0.136348017592505"
"2017","2","CABA","0.132352627224156"
"2018","2","CABA","0.128872718873623"
"2019","2","CABA","0.128304319358478"
"2020","2","CABA","0.125202862616376"
"2021","2","CABA","0.120411295723266"
"2022","2","CABA","0.119052278146823"
"2023","2","CABA","0.120172046780101"
"1913","6","Buenos Aires","0.2356"
"1935","6","Buenos Aires","0.265"
"1946","6","Buenos Aires","0.3086"
"1953","6","Buenos Aires","0.3729"
"1963","6","Buenos Aires","0.4348"
"1973","6","Buenos Aires","0.4805"
"1984","6","Buenos Aires","0.536"
"1993","6","Buenos Aires","0.4705"
"2003","6","Buenos Aires","0.48"
"2004","6","Buenos Aires","0.476482096784362"
"2005","6","Buenos Aires","0.477389228291225"
"2006","6","Buenos Aires","0.475860977469844"
"2007","6","Buenos Aires","0.474248105251722"
"2008","6","Buenos Aires","0.475366300218783"
"2009","6","Buenos Aires","0.477304001635647"
"2010","6","Buenos Aires","0.479782813282607"
"2011","6","Buenos Aires","0.4753800830983"
"2012","6","Buenos Aires","0.478759987945813"
"2013","6","Buenos Aires","0.480834128973176"
"2014","6","Buenos Aires","0.481852399507746"
"2015","6","Buenos Aires","0.480310399777554"
"2016","6","Buenos Aires","0.482183927136354"
"2017","6","Buenos Aires","0.486219226392643"
"2018","6","Buenos Aires","0.486678132506831"
"2019","6","Buenos Aires","0.4831737596507"
"2020","6","Buenos Aires","0.479818801321272"
"2021","6","Buenos Aires","0.48444369530814"
"2022","6","Buenos Aires","0.487584152716058"
"2023","6","Buenos Aires","0.488809407049167"
"1913","10","Catamarca","0.0018"
"1935","10","Catamarca","0.0009"
"1946","10","Catamarca","0.0015"
"1953","10","Catamarca","0.001"
"1963","10","Catamarca","0.0005"
"1973","10","Catamarca","0.0006"
"1984","10","Catamarca","0.0016"
"1993","10","Catamarca","0.0049"
"2003","10","Catamarca","0.0052"
"2004","10","Catamarca","0.00493543265103452"
"2005","10","Catamarca","0.00486693888657086"
"2006","10","Catamarca","0.00475297516750737"
"2007","10","Catamarca","0.00464230832532847"
"2008","10","Catamarca","0.00424002506881254"
"2009","10","Catamarca","0.0041258312351706"
"2010","10","Catamarca","0.00431859113025783"
"2011","10","Catamarca","0.00422094409781933"
"2012","10","Catamarca","0.00418825421867395"
"2013","10","Catamarca","0.00417452634711745"
"2014","10","Catamarca","0.00420031648703571"
"2015","10","Catamarca","0.00421656527985325"
"2016","10","Catamarca","0.00404983705260024"
"2017","10","Catamarca","0.00401634900371581"
"2018","10","Catamarca","0.00389453997409434"
"2019","10","Catamarca","0.00374170918793714"
"2020","10","Catamarca","0.00347956628972529"
"2021","10","Catamarca","0.00379464893078639"
"2022","10","Catamarca","0.00384020013426702"
"2023","10","Catamarca","0.00389808062400701"
"1913","14","Córdoba","0.0351"
"1935","14","Córdoba","0.0341"
"1946","14","Córdoba","0.0319"
"1953","14","Córdoba","0.0385"
"1963","14","Córdoba","0.0609"
"1973","14","Córdoba","0.0657"
"1984","14","Córdoba","0.0587"
"1993","14","Córdoba","0.061"
"2003","14","Córdoba","0.0632"
"2004","14","Córdoba","0.0670721696088175"
"2005","14","Córdoba","0.0690922382600026"
"2006","14","Córdoba","0.0705728061325416"
"2007","14","Córdoba","0.0714459207633961"
"2008","14","Córdoba","0.0729522696393971"
"2009","14","Córdoba","0.0714308286793264"
"2010","14","Córdoba","0.0735371031618085"
"2011","14","Córdoba","0.0753929676194699"
"2012","14","Córdoba","0.073992362568339"
"2013","14","Córdoba","0.0747943139248358"
"2014","14","Córdoba","0.0726070413648817"
"2015","14","Córdoba","0.0723911366278071"
"2016","14","Córdoba","0.0722472378044449"
"2017","14","Córdoba","0.0736689870898795"
"2018","14","Córdoba","0.0746420903379792"
"2019","14","Córdoba","0.0726984532814381"
"2020","14","Córdoba","0.0728577385229332"
"2021","14","Córdoba","0.0759325411375103"
"2022","14","Córdoba","0.0770169921637108"
"2023","14","Córdoba","0.0774466908545023"
"1913","18","Corrientes","0.0087"
"1935","18","Corrientes","0.0068"
"1946","18","Corrientes","0.0041"
"1953","18","Corrientes","0.0053"
"1963","18","Corrientes","0.0077"
"1973","18","Corrientes","0.0048"
"1984","18","Corrientes","0.0073"
"1993","18","Corrientes","0.0131"
"2003","18","Corrientes","0.0067"
"2004","18","Corrientes","0.00510352750556536"
"2005","18","Corrientes","0.00519527836837887"
"2006","18","Corrientes","0.00504896748903928"
"2007","18","Corrientes","0.0050887348264445"
"2008","18","Corrientes","0.00509769926923708"
"2009","18","Corrientes","0.00535927748657232"
"2010","18","Corrientes","0.00520317078830392"
"2011","18","Corrientes","0.00506326553754497"
"2012","18","Corrientes","0.00508705414221472"
"2013","18","Corrientes","0.00519294221850268"
"2014","18","Corrientes","0.00548212320119633"
"2015","18","Corrientes","0.00562737545857434"
"2016","18","Corrientes","0.00537755787417617"
"2017","18","Corrientes","0.00548220568575429"
"2018","18","Corrientes","0.0056838327126798"
"2019","18","Corrientes","0.00603279438250299"
"2020","18","Corrientes","0.0059482155068014"
"2021","18","Corrientes","0.00586012269232909"
"2022","18","Corrientes","0.0056419760892011"
"2023","18","Corrientes","0.00556655634012595"
"1913","22","Chaco","0.0093"
"1935","22","Chaco","0.0135"
"1946","22","Chaco","0.0107"
"1953","22","Chaco","0.0115"
"1963","22","Chaco","0.0086"
"1973","22","Chaco","0.0066"
"1984","22","Chaco","0.0055"
"1993","22","Chaco","0.0035"
"2003","22","Chaco","0.0043"
"2004","22","Chaco","0.00624043826443788"
"2005","22","Chaco","0.00613955588829628"
"2006","22","Chaco","0.00613564305989629"
"2007","22","Chaco","0.00620750782030963"
"2008","22","Chaco","0.00625732906989602"
"2009","22","Chaco","0.00728516328765775"
"2010","22","Chaco","0.00680544839834119"
"2011","22","Chaco","0.00679953472394656"
"2012","22","Chaco","0.00663882314124318"
"2013","22","Chaco","0.00684180381376205"
"2014","22","Chaco","0.00706098681610199"
"2015","22","Chaco","0.00724481314410202"
"2016","22","Chaco","0.00706217057898737"
"2017","22","Chaco","0.00696440888441733"
"2018","22","Chaco","0.00699173475660385"
"2019","22","Chaco","0.00701537099567313"
"2020","22","Chaco","0.00687209112803895"
"2021","22","Chaco","0.00664460402790532"
"2022","22","Chaco","0.00648160607022686"
"2023","22","Chaco","0.00677090925505216"
"1913","26","Chubut","0.0005"
"1935","26","Chubut","0.0064"
"1946","26","Chubut","0.0042"
"1953","26","Chubut","0.0025"
"1963","26","Chubut","0.0051"
"1973","26","Chubut","0.0062"
"1984","26","Chubut","0.015"
"1993","26","Chubut","0.0085"
"2003","26","Chubut","0.0169"
"2004","26","Chubut","0.015571356560233"
"2005","26","Chubut","0.0148969449127001"
"2006","26","Chubut","0.0154338601709499"
"2007","26","Chubut","0.0154925127500809"
"2008","26","Chubut","0.0157825756737491"
"2009","26","Chubut","0.0145617981325954"
"2010","26","Chubut","0.0153008223717362"
"2011","26","Chubut","0.015577151651936"
"2012","26","Chubut","0.0152408373713958"
"2013","26","Chubut","0.0157605602691719"
"2014","26","Chubut","0.016281445373544"
"2015","26","Chubut","0.0154588422721594"
"2016","26","Chubut","0.0156302696405249"
"2017","26","Chubut","0.0164056746719497"
"2018","26","Chubut","0.0164852960230299"
"2019","26","Chubut","0.0172385479788473"
"2020","26","Chubut","0.0160089274094949"
"2021","26","Chubut","0.0154172877936335"
"2022","26","Chubut","0.0146823450518853"
"2023","26","Chubut","0.0144697158160517"
"1913","30","Entre Ríos","0.0305"
"1935","30","Entre Ríos","0.016"
"1946","30","Entre Ríos","0.0105"
"1953","30","Entre Ríos","0.0127"
"1963","30","Entre Ríos","0.0117"
"1973","30","Entre Ríos","0.0094"
"1984","30","Entre Ríos","0.0088"
"1993","30","Entre Ríos","0.0103"
"2003","30","Entre Ríos","0.0153"
"2004","30","Entre Ríos","0.0158175058414003"
"2005","30","Entre Ríos","0.0163377094960631"
"2006","30","Entre Ríos","0.0169247604415155"
"2007","30","Entre Ríos","0.0175003044159326"
"2008","30","Entre Ríos","0.0175834622884623"
"2009","30","Entre Ríos","0.0187234283859918"
"2010","30","Entre Ríos","0.0178148063491117"
"2011","30","Entre Ríos","0.0179388958139849"
"2012","30","Entre Ríos","0.0185976319672288"
"2013","30","Entre Ríos","0.0186172482130075"
"2014","30","Entre Ríos","0.0190801157022691"
"2015","30","Entre Ríos","0.0196086496855404"
"2016","30","Entre Ríos","0.019864348247403"
"2017","30","Entre Ríos","0.0197613061853442"
"2018","30","Entre Ríos","0.0205104404975098"
"2019","30","Entre Ríos","0.0213400373782188"
"2020","30","Entre Ríos","0.0225584341566877"
"2021","30","Entre Ríos","0.0216026903116151"
"2022","30","Entre Ríos","0.0212376071803578"
"2023","30","Entre Ríos","0.0208802228957977"
"1913","34","Formosa","0.0012"
"1935","34","Formosa","0.0019"
"1946","34","Formosa","0.0016"
"1953","34","Formosa","0.0015"
"1963","34","Formosa","0.0011"
"1973","34","Formosa","0.0015"
"1984","34","Formosa","0.001"
"1993","34","Formosa","0.001"
"2003","34","Formosa","0.0011"
"2004","34","Formosa","0.00194412384978654"
"2005","34","Formosa","0.00195870755717989"
"2006","34","Formosa","0.00197061533870633"
"2007","34","Formosa","0.00193567226807969"
"2008","34","Formosa","0.00193194137354687"
"2009","34","Formosa","0.0020254857089886"
"2010","34","Formosa","0.00188470040739798"
"2011","34","Formosa","0.00191568631339592"
"2012","34","Formosa","0.00183970543825813"
"2013","34","Formosa","0.00183408169597109"
"2014","34","Formosa","0.00182900376337694"
"2015","34","Formosa","0.00184993353404965"
"2016","34","Formosa","0.00190805859444146"
"2017","34","Formosa","0.00190862751902655"
"2018","34","Formosa","0.00189918830487925"
"2019","34","Formosa","0.0019405989136505"
"2020","34","Formosa","0.00199081548294177"
"2021","34","Formosa","0.00193933408025098"
"2022","34","Formosa","0.00195350246240957"
"2023","34","Formosa","0.00187603859040991"
"1913","38","Jujuy","0.0124"
"1935","38","Jujuy","0.0078"
"1946","38","Jujuy","0.0044"
"1953","38","Jujuy","0.0055"
"1963","38","Jujuy","0.0086"
"1973","38","Jujuy","0.0114"
"1984","38","Jujuy","0.0112"
"1993","38","Jujuy","0.0056"
"2003","38","Jujuy","0.0067"
"2004","38","Jujuy","0.00716387946067209"
"2005","38","Jujuy","0.00688192506518391"
"2006","38","Jujuy","0.00666937531127329"
"2007","38","Jujuy","0.00661908853128716"
"2008","38","Jujuy","0.0065393174618273"
"2009","38","Jujuy","0.00686699023421181"
"2010","38","Jujuy","0.00682790760171316"
"2011","38","Jujuy","0.00671462190248139"
"2012","38","Jujuy","0.00657704175104532"
"2013","38","Jujuy","0.00641832422010453"
"2014","38","Jujuy","0.00661623631967239"
"2015","38","Jujuy","0.00680803026315866"
"2016","38","Jujuy","0.00562935697084963"
"2017","38","Jujuy","0.00542007423330219"
"2018","38","Jujuy","0.00545028269203874"
"2019","38","Jujuy","0.00638479688797098"
"2020","38","Jujuy","0.00716620366916684"
"2021","38","Jujuy","0.00689420548881332"
"2022","38","Jujuy","0.00716710372341823"
"2023","38","Jujuy","0.00699846297347243"
"1913","42","La Pampa","0.0025"
"1935","42","La Pampa","0.0024"
"1946","42","La Pampa","0.0024"
"1953","42","La Pampa","0.0015"
"1963","42","La Pampa","0.0016"
"1973","42","La Pampa","0.0016"
"1984","42","La Pampa","0.0023"
"1993","42","La Pampa","0.0023"
"2003","42","La Pampa","0.002"
"2004","42","La Pampa","0.0024000453592754"
"2005","42","La Pampa","0.00243187477221274"
"2006","42","La Pampa","0.00241837325067615"
"2007","42","La Pampa","0.00254472027178609"
"2008","42","La Pampa","0.00259096884710584"
"2009","42","La Pampa","0.0026115975813601"
"2010","42","La Pampa","0.00251336101223846"
"2011","42","La Pampa","0.00238875397675848"
"2012","42","La Pampa","0.00224109302568573"
"2013","42","La Pampa","0.00222690874361802"
"2014","42","La Pampa","0.00222360036863001"
"2015","42","La Pampa","0.0023250983899568"
"2016","42","La Pampa","0.00242009952516689"
"2017","42","La Pampa","0.00237443843968111"
"2018","42","La Pampa","0.00248538893853038"
"2019","42","La Pampa","0.00266198071411217"
"2020","42","La Pampa","0.00259896974254903"
"2021","42","La Pampa","0.00270903045451085"
"2022","42","La Pampa","0.00283254080933782"
"2023","42","La Pampa","0.00284988575294731"
"1913","46","La Rioja","0.0034"
"1935","46","La Rioja","0.0009"
"1946","46","La Rioja","0.0015"
"1953","46","La Rioja","0.0009"
"1963","46","La Rioja","0.0006"
"1973","46","La Rioja","0.0008"
"1984","46","La Rioja","0.0046"
"1993","46","La Rioja","0.0061"
"2003","46","La Rioja","0.0106"
"2004","46","La Rioja","0.00779936588601784"
"2005","46","La Rioja","0.00794624018944612"
"2006","46","La Rioja","0.00751431637892953"
"2007","46","La Rioja","0.00750373537569946"
"2008","46","La Rioja","0.0070238637641159"
"2009","46","La Rioja","0.00708863331532759"
"2010","46","La Rioja","0.00718133527505309"
"2011","46","La Rioja","0.00718591922650682"
"2012","46","La Rioja","0.00687114716395365"
"2013","46","La Rioja","0.0070056554248115"
"2014","46","La Rioja","0.00671007648212807"
"2015","46","La Rioja","0.00683064095288197"
"2016","46","La Rioja","0.00699633363249831"
"2017","46","La Rioja","0.00651448395889892"
"2018","46","La Rioja","0.00586175072464784"
"2019","46","La Rioja","0.00595799876095002"
"2020","46","La Rioja","0.00598008019386966"
"2021","46","La Rioja","0.00553533208466696"
"2022","46","La Rioja","0.00550541799445116"
"2023","46","La Rioja","0.00564182579220273"
"1913","50","Mendoza","0.0611"
"1935","50","Mendoza","0.016"
"1946","50","Mendoza","0.0366"
"1953","50","Mendoza","0.0262"
"1963","50","Mendoza","0.0374"
"1973","50","Mendoza","0.0452"
"1984","50","Mendoza","0.0431"
"1993","50","Mendoza","0.0521"
