"anio","provincia_id","provincia","prop_industria"
"2023","6","Buenos Aires","0.488809407049167"
"2023","2","CABA","0.120172046780101"
"2023","10","Catamarca","0.00389808062400701"
"2023","22","Chaco","0.00677090925505216"
"2023","26","Chubut","0.0144697158160517"
"2023","18","Corrientes","0.00556655634012595"
"2023","14","Córdoba","0.0774466908545023"
"2023","30","Entre Ríos","0.0208802228957977"
"2023","34","Formosa","0.00187603859040991"
"2023","38","Jujuy","0.00699846297347243"
"2023","42","La Pampa","0.00284988575294731"
"2023","46","La Rioja","0.00564182579220273"
"2023","50","Mendoza","0.0374872641348137"
"2023","54","Misiones","0.0124311252438667"
"2023","58","Neuquén","0.00906847584801955"
"2023","62","Río Negro","0.00501306648904549"
"2023","66","Salta","0.0110123923949473"
"2023","70","San Juan","0.0108884633682644"
"2023","74","San Luis","0.0188775933754059"
"2023","78","Santa Cruz","0.00193656935929063"
"2023","82","Santa Fe","0.103113501965225"
"2023","86","Santiago del Estero","0.00819166336942577"
"2023","94","Tierra del Fuego","0.0130364547656674"
"2023","90","Tucumán","0.0135635869621908"
