"anio","region","lall_desc_full","exportaciones","prop_global"
"1967","Asia","Manufacturas de media tecnología","4556663393","8.49482598235144"
"1968","Asia","Manufacturas basadas en recursos naturales","9641564405","16.8626724153763"
"1968","Asia","Manufacturas de alta tecnología","2021250887","10.8347725446415"
"1968","Asia","Manufacturas de baja tecnología","7885219614","22.3328928658407"
"1968","Asia","Manufacturas de media tecnología","5672525335","9.23134854571764"
"1969","Asia","Manufacturas basadas en recursos naturales","10564549156","16.7756411535528"
"1969","Asia","Manufacturas de alta tecnología","2668948066","12.2533724225044"
"1969","Asia","Manufacturas de baja tecnología","9417282569","22.5072450489987"
"1969","Asia","Manufacturas de media tecnología","7074630762","9.84943586267923"
"1970","Asia","Manufacturas basadas en recursos naturales","11807932647","16.3661708262363"
"1970","Asia","Manufacturas de alta tecnología","3301667043","12.6760010181062"
"1970","Asia","Manufacturas de baja tecnología","10992206540","22.7110864024689"
"1970","Asia","Manufacturas de media tecnología","8955610469","10.7722306905162"
"1971","Asia","Manufacturas basadas en recursos naturales","14617120390","18.6691528966429"
"1971","Asia","Manufacturas de alta tecnología","3959351726","13.4425436408077"
"1971","Asia","Manufacturas de baja tecnología","13016017479","23.8245448424628"
"1971","Asia","Manufacturas de media tecnología","11722780555","12.3601544487446"
"1972","Asia","Manufacturas basadas en recursos naturales","18083487377","19.4609823462991"
"1972","Asia","Manufacturas de alta tecnología","5289050088","15.1725420878046"
"1972","Asia","Manufacturas de baja tecnología","15471497332","23.356478440604"
"1972","Asia","Manufacturas de media tecnología","15100504119","13.1905929571436"
"1973","Asia","Manufacturas basadas en recursos naturales","27467985990","20.3238831413193"
"1973","Asia","Manufacturas de alta tecnología","7549038242","16.166723886721"
"1973","Asia","Manufacturas de baja tecnología","21233067509","23.4439056132612"
"1973","Asia","Manufacturas de media tecnología","21030971428","13.7802694896843"
"1974","Asia","Manufacturas basadas en recursos naturales","72181736575","29.8267929441491"
"1974","Asia","Manufacturas de alta tecnología","9323394224","15.7192186522052"
"1974","Asia","Manufacturas de baja tecnología","28477287742","23.6563895589978"
"1974","Asia","Manufacturas de media tecnología","32448895193","15.8877995126591"
"1975","Asia","Manufacturas basadas en recursos naturales","69851346406","30.1640791324873"
"1975","Asia","Manufacturas de alta tecnología","9686357758","14.7269106521537"
"1975","Asia","Manufacturas de baja tecnología","26829428221","22.768601607"
"1975","Asia","Manufacturas de media tecnología","36063842117","15.0937559423458"
"1976","Asia","Manufacturas basadas en recursos naturales","53249054244","24.8619298124026"
"1976","Asia","Manufacturas de alta tecnología","13021992421","17.985553275889"
"1976","Asia","Manufacturas de baja tecnología","32075299263","25.646405538595"
"1976","Asia","Manufacturas de media tecnología","41994094614","16.7730072478283"
"1977","Asia","Manufacturas basadas en recursos naturales","75045657823","28.6467177256338"
"1977","Asia","Manufacturas de alta tecnología","15319878855","18.4476328926889"
"1977","Asia","Manufacturas de baja tecnología","38185413591","25.8042752282804"
"1977","Asia","Manufacturas de media tecnología","52646968628","18.1492303816542"
"1978","Asia","Manufacturas basadas en recursos naturales","36681499266","15.1400448029228"
"1978","Asia","Manufacturas de alta tecnología","20542591562","18.9047987231529"
"1978","Asia","Manufacturas de baja tecnología","47491829857","26.0705967763103"
"1978","Asia","Manufacturas de media tecnología","66591487751","19.1126815049072"
"1979","Asia","Manufacturas basadas en recursos naturales","50276912138","15.3994106958586"
"1979","Asia","Manufacturas de alta tecnología","23927758964","18.0750632686818"
"1979","Asia","Manufacturas de baja tecnología","57437003591","25.5913187885549"
"1979","Asia","Manufacturas de media tecnología","71927123370","17.6160019991128"
"1980","Asia","Manufacturas basadas en recursos naturales","64148887498","15.646247646804"
"1980","Asia","Manufacturas de alta tecnología","30057116780","17.8708603429016"
"1980","Asia","Manufacturas de baja tecnología","68625261289","26.7375614546162"
"1980","Asia","Manufacturas de media tecnología","93107587763","19.7925532997387"
"1981","Asia","Manufacturas basadas en recursos naturales","62516468123","17.0050905785932"
"1981","Asia","Manufacturas de alta tecnología","36153261223","21.3583350028787"
"1981","Asia","Manufacturas de baja tecnología","76189522271","30.8060152179306"
"1981","Asia","Manufacturas de media tecnología","113644321294","23.9667345739414"
"1982","Asia","Manufacturas basadas en recursos naturales","59279486720","17.5787433524158"
"1982","Asia","Manufacturas de alta tecnología","35187169075","20.5949629773781"
"1982","Asia","Manufacturas de baja tecnología","74305121727","31.6008944846377"
"1982","Asia","Manufacturas de media tecnología","104653328844","22.974815761035"
"1983","Asia","Manufacturas basadas en recursos naturales","58834449246","17.2974990560097"
"1983","Asia","Manufacturas de alta tecnología","43750523488","24.4672010679805"
"1983","Asia","Manufacturas de baja tecnología","77914290179","33.2944153744539"
"1983","Asia","Manufacturas de media tecnología","106311620647","23.9603184844332"
"1984","Asia","Manufacturas basadas en recursos naturales","61725936175","17.3181342737297"
"1984","Asia","Manufacturas de alta tecnología","58841504546","28.7702364038676"
"1984","Asia","Manufacturas de baja tecnología","88878363719","35.1232596740039"
"1984","Asia","Manufacturas de media tecnología","123072185015","25.6908185241185"
"1985","Asia","Manufacturas basadas en recursos naturales","62918482610","17.8534228611643"
"1985","Asia","Manufacturas de alta tecnología","59990104644","27.2724926229063"
"1985","Asia","Manufacturas de baja tecnología","90739306555","34.4290418181316"
"1985","Asia","Manufacturas de media tecnología","131305840864","25.6233366084675"
"1986","Asia","Manufacturas basadas en recursos naturales","55990616394","15.6632054226758"
"1986","Asia","Manufacturas de alta tecnología","76159138442","28.6532883137567"
"1986","Asia","Manufacturas de baja tecnología","110382040571","33.9390043355385"
"1986","Asia","Manufacturas de media tecnología","153620600471","24.7455292177499"
"1987","Asia","Manufacturas basadas en recursos naturales","69907863314","16.410528855406"
"1987","Asia","Manufacturas de alta tecnología","96882518585","29.855040381609"
"1987","Asia","Manufacturas de baja tecnología","139954028048","35.1888543622195"
"1987","Asia","Manufacturas de media tecnología","176264992078","24.0498237746897"
