"anio","vabpb_industrial","poblacion","vab_indust_pc","vab_indust_pc_indice"
1900,"2455.41785369032","4692719","523.239907117882","18.1855554595813"
1901,"2455.41785369032","4825716","508.819386323257","17.6843605447836"
1902,"2598.82820978589","4962483","523.695136040947","18.2013772474736"
1903,"2864.33116634119","5103126","561.289524566157","19.5079955466398"
1904,"3141.46198960695","5247754","598.629811840828","20.8057823856648"
1905,"3668.59194714742","5396482","679.811763876432","23.6273158179913"
1906,"3852.69983672956","5646864","682.272467821","23.7128392412716"
1907,"4275.17899387596","5908864","723.51961288599","25.1464115547071"
1908,"4538.74397264619","6183019","734.065991491567","25.5129580478557"
1909,"4486.41857244916","6469894","693.429996295019","24.1006266598073"
1910,"5490.29106511813","6770080","810.96398641052","28.1855996646469"
1911,"5885.63853327348","7040680","835.947455824363","29.0539169745799"
1912,"5581.37602101667","7322097","762.26469289012","26.4930229114022"
1913,"5910.83224447946","7614761","776.233455584418","26.97851666909"
1914,"5397.26813143452","7919123","681.548718391484","23.687684842285"
1915,"4843.006484903","8235651","588.053875146361","20.4382085812246"
1916,"4961.22312979259","8378004","592.172447016329","20.5813523210974"
1917,"4922.46357409109","8522818","577.562911010312","20.0735880552951"
1918,"5858.50684428242","8670136","675.71106661792","23.4847933222811"
1919,"6096.87811184668","8819999","691.256100125031","24.0250714339446"
1920,"6333.31140162586","8972453","705.861752814515","24.5327007324647"
1921,"6664.70560287372","9245755","720.839520717748","25.0532631459192"
1922,"7403.07513898738","9527382","777.031417338717","27.0062503674185"
1923,"8656.94676593106","9817588","881.779390816875","30.6468367505527"
1924,"9131.75132327449","10116633","902.647286233917","31.3721145137144"
1925,"9910.81839287473","10424787","950.697447619288","33.0421302423094"
1926,"9724.77252550751","10710842","907.93725885486","31.5559710758175"
1927,"10331.3595722361","11004746","938.809452961119","32.628954979455"
1928,"11532.9057989827","11306715","1020.00499694055","35.4509608089458"
1929,"12100.7332900097","11616970","1041.64281133632","36.2029976248796"
1930,"11968.9508006246","11935738","1002.78263485883","34.8523860127163"
1931,"10622.0562399973","12158617","873.623722171473","30.3633809926044"
1932,"9976.70963756729","12385658","805.505015362712","27.99586944837"
1933,"11308.100375914","12616938","896.263449651094","31.1502399727198"
1934,"12839.1028261234","12852537","998.954745364546","34.7193451346327"
1935,"13195.6907385773","13092536","1007.87889669177","35.0295100258865"
1936,"14044.5250084402","13298008","1056.13750634232","36.7067705143619"
