anio,metodologia,porcentaje
1980,prop_manuf_indec,0.5956275166776952
1980,prop_lall,0.425384584360409
1981,prop_manuf_indec,0.47996601901246844
1981,prop_lall,0.470846694106481
1982,prop_manuf_indec,0.539232989018555
1982,prop_lall,0.444365830260769
1983,prop_manuf_indec,0.47061350332542146
1983,prop_lall,0.356683905014941
1984,prop_manuf_indec,0.5000088705325825
1984,prop_lall,0.383409093995412
1985,prop_manuf_indec,0.503372554927339
1985,prop_lall,0.430982190036775
1986,prop_manuf_indec,0.6109353825229569
1986,prop_lall,0.440398885934848
1987,prop_manuf_indec,0.7119976752349713
1987,prop_lall,0.487168870509695
1988,prop_manuf_indec,0.734407561093576
1988,prop_lall,0.492217480677748
1989,prop_manuf_indec,0.7597469292907268
1989,prop_lall,0.541201377850505
1990,prop_manuf_indec,0.6632128385470846
1990,prop_lall,0.537986341749313
1991,prop_manuf_indec,0.6604622487586564
1991,prop_lall,0.51097054186517
1992,prop_manuf_indec,0.6254905832055448
1992,prop_lall,0.474327301414406
1993,prop_manuf_indec,0.6564571557416617
1993,prop_lall,0.51979692581587
1994,prop_manuf_indec,0.6598647754633723
1994,prop_lall,0.521063574212613
1995,prop_manuf_indec,0.6667791498276151
1995,prop_lall,0.572017284143145
1996,prop_manuf_indec,0.6259449097186159
1996,prop_lall,0.499586871016575
1997,prop_manuf_indec,0.6597945611052379
1997,prop_lall,0.53983755467973
1998,prop_manuf_indec,0.6577268583024448
1998,prop_lall,0.556832299380245
1999,prop_manuf_indec,0.6503476734754889
1999,prop_lall,0.536496794261756
2000,prop_manuf_indec,0.6109703221982922
2000,prop_lall,0.515187164933722
2001,prop_manuf_indec,0.591319593864815
2001,prop_lall,0.508096690693204
2002,prop_manuf_indec,0.6115034678099442
2002,prop_lall,0.514999190313124
2003,prop_manuf_indec,0.5984679085750187
2003,prop_lall,0.502120417379883
2004,prop_manuf_indec,0.6224112345013193
2004,prop_lall,0.521940160894885
2005,prop_manuf_indec,0.6221457592805262
2005,prop_lall,0.534849215795088
2006,prop_manuf_indec,0.6468431513735124
2006,prop_lall,0.563185117951161
2007,prop_manuf_indec,0.6528439006851927
2007,prop_lall,0.551295578820681
2008,prop_manuf_indec,0.6565325135128649
2008,prop_lall,0.538830295980349
2009,prop_manuf_indec,0.7177495259042878
2009,prop_lall,0.533498961672938
2010,prop_manuf_indec,0.6820843741802759
2010,prop_lall,0.515294823747212
2011,prop_manuf_indec,0.6807974642161059
2011,prop_lall,0.510795590592729
2012,prop_manuf_indec,0.6746476468713425
2012,prop_lall,0.50468191080713
2013,prop_manuf_indec,0.692910085066711
2013,prop_lall,0.487015945639495
2014,prop_manuf_indec,0.7198943556670407
2014,prop_lall,0.483207051049983
2015,prop_manuf_indec,0.7262094205435514
2015,prop_lall,0.462563317906818
2016,prop_manuf_indec,0.6937351948584024
2016,prop_lall,0.440812544984706
2017,prop_manuf_indec,0.7050494711702491
2017,prop_lall,0.45685832480341
2018,prop_manuf_indec,0.7051035107881064
2018,prop_lall,0.451122882026685
2019,prop_manuf_indec,0.6630474844892192
2019,prop_lall,0.406468156959426
2020,prop_manuf_indec,0.6392391225129364
2020,prop_lall,0.381086054932376
2021,prop_manuf_indec,0.6523513184063643
2021,prop_lall,0.427404819366218
2022,prop_manuf_indec,0.6344919406221837
2022,prop_lall,0.402591788592343
2023,prop_manuf_indec,0.6660875453301845
2023,prop_lall,0.439005935933839
2024,prop_manuf_indec,0.6487755128924411
2024,prop_lall,NA
