anio,grupo_especie,valor
1989,crustaceos,11782.6
1990,crustaceos,10116.2
1991,crustaceos,8990.9
1992,crustaceos,25077.2
1993,crustaceos,20088.4
1994,crustaceos,22241.2
1995,crustaceos,7275.6
1996,crustaceos,10730.7
1997,crustaceos,7811.4
1998,crustaceos,23959.9
1999,crustaceos,23361.9
2000,crustaceos,37574.1
2001,crustaceos,79494.2
2002,crustaceos,52277.9
2003,crustaceos,55036.6
2004,crustaceos,28651.0
2005,crustaceos,8710.7
2006,crustaceos,45803.0
2007,crustaceos,48433.1
2008,crustaceos,48621.6
2009,crustaceos,54302.4
2010,crustaceos,73924.7
2011,crustaceos,86396.7
2012,crustaceos,84530.513
2013,crustaceos,105897.445
2014,crustaceos,132641.758
2015,crustaceos,147025.028
2016,crustaceos,181087.688
2017,crustaceos,245608.219
2018,crustaceos,257375.119
2019,crustaceos,218123.169
2020,crustaceos,186244.235
2021,crustaceos,225843.376
2022,crustaceos,210623.388
1989,moluscos,26587.3
1990,moluscos,34817.5
1991,moluscos,49509.9
1992,moluscos,80992.8
1993,moluscos,197423.9
1994,moluscos,200549.6
1995,moluscos,203843.2
1996,moluscos,298259.1
1997,moluscos,419229.1
1998,moluscos,296695.6
1999,moluscos,350597.9
2000,moluscos,286073.7
2001,moluscos,237434.2
2002,moluscos,184731.4
2003,moluscos,148211.7
2004,moluscos,83281.7
2005,moluscos,152645.0
2006,moluscos,303977.4
2007,moluscos,241126.2
2008,moluscos,265044.9
2009,moluscos,80630.7
2010,moluscos,94392.9
2011,moluscos,84164.0
2012,moluscos,100655.987
2013,moluscos,197883.063
2014,moluscos,173630.842
2015,moluscos,131182.454
2016,moluscos,64949.734
2017,moluscos,104781.596
2018,moluscos,112216.154
2019,moluscos,99910.416
2020,moluscos,176539.897
2021,moluscos,139450.462
2022,moluscos,173827.898
1989,peces,464940.62
1990,peces,538358.146
1991,peces,645879.663
1992,peces,625142.364
1993,peces,753114.874
1994,peces,761522.855
1995,peces,937560.683
1996,peces,940555.088
1997,peces,916178.957
1998,peces,799496.403999998
1999,peces,645776.858
2000,peces,533721.12
2001,peces,573839.547
2002,peces,652655.326999999
2003,peces,639474.199
2004,peces,765457.942999999
2005,peces,707013.165999999
2006,peces,723974.327
2007,peces,629600.075
2008,peces,619682.11
2009,peces,637547.175
2010,peces,596339.358
2011,peces,563305.948
2012,peces,507076.072
2013,peces,520364.602
2014,peces,484867.177
2015,peces,489500.935
2016,peces,459687.509
2017,peces,428570.952
2018,peces,422064.601
2019,peces,463297.198
2020,peces,426972.165
2021,peces,433728.119
2022,peces,409061.64
