geocodigoFundar,geonombreFundar,year,share_expo,product
ARG,Argentina,1962,0.11019753,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1963,0.14509332,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1964,0.15073307,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1965,0.13167939,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1966,0.1413807,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1967,0.13628604,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1968,0.099709392,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1969,0.13143373,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1970,0.12307075,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1971,0.11477216,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1972,0.21349667,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1973,0.15154555,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1974,0.058192033,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1975,0.025453452,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1976,0.047614273,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1977,0.05206769,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1978,0.056072894,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1979,0.074463822,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1980,0.063769542,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1981,0.053500991,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1982,0.057894103,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1983,0.038115531,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1984,0.019912291,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1985,0.01664272,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1986,0.02839233,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1987,0.038776554,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1988,0.029992683,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1989,0.036392402,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1990,0.035855144,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1991,0.032022066,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1992,0.028631892,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1993,0.026070764,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1994,0.030439002,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1995,0.029603316,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1996,0.023908647,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1997,0.021472394,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1998,0.015822031,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,1999,0.019721719,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2000,0.017340349,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2001,0.0047208783,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2002,0.011842405,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2003,0.01392405,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2004,0.020845331,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2005,0.027521867,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2006,0.022553742,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2007,0.020630781,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2008,0.018203033,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2009,0.027085073,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2010,0.015066364,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2011,0.013578936,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2012,0.012066722,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2013,0.012919284,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2014,0.014306325,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2015,0.014855162,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2016,0.017098254,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2017,0.021423105,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2018,0.02778127,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2019,0.04244357,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2020,0.048014019,"Carne bovina, fresca, enfriada o congelada"
ARG,Argentina,2021,0.034552392,"Carne bovina, fresca, enfriada o congelada"
