"geocodigoFundar","geonombreFundar","cadena","share"
"AR-D","San Luis","Yerba mate","0.01000"
"AR-E","Entre Ríos","Algodón textil","0.32000"
"AR-E","Entre Ríos","Apícola","21.79000"
"AR-E","Entre Ríos","Arrocera","65.25000"
"AR-E","Entre Ríos","Avícola","48.47000"
"AR-E","Entre Ríos","Azucarera","0.02000"
"AR-E","Entre Ríos","Bovina","5.64000"
"AR-E","Entre Ríos","Caprina","0.15000"
"AR-E","Entre Ríos","Cebada","0.62000"
"AR-E","Entre Ríos","Cítricos dulces","31.90000"
"AR-E","Entre Ríos","Fruta de carozo","3.22000"
"AR-E","Entre Ríos","Frutas finas","15.15000"
"AR-E","Entre Ríos","Girasol","0.43000"
"AR-E","Entre Ríos","Hortícola","2.75000"
"AR-E","Entre Ríos","Legumbres","0.46000"
"AR-E","Entre Ríos","Limón","1.28000"
"AR-E","Entre Ríos","Láctea","4.08000"
"AR-E","Entre Ríos","Maicera","5.17000"
"AR-E","Entre Ríos","Maní","1.73000"
"AR-E","Entre Ríos","Olivícola","0.36000"
"AR-E","Entre Ríos","Ovina","2.21000"
"AR-E","Entre Ríos","Peras y Manzanas","0.27000"
"AR-E","Entre Ríos","Pesca","0.56000"
"AR-E","Entre Ríos","Porcina","5.91000"
"AR-E","Entre Ríos","Sojera","4.03000"
"AR-E","Entre Ríos","Sorgo","4.60000"
"AR-E","Entre Ríos","Tabacalera","0.09000"
"AR-E","Entre Ríos","Tealera","1.24000"
"AR-E","Entre Ríos","Triguera","3.95000"
"AR-E","Entre Ríos","Vitivinícola","0.44000"
"AR-E","Entre Ríos","Yerba mate","0.14000"
"AR-F","La Rioja","Algodón textil","1.81000"
"AR-F","La Rioja","Apícola","0.80000"
"AR-F","La Rioja","Arrocera","0.01000"
"AR-F","La Rioja","Avícola","0.22000"
"AR-F","La Rioja","Azucarera","0.00000"
"AR-F","La Rioja","Bovina","0.22000"
"AR-F","La Rioja","Caprina","1.90000"
"AR-F","La Rioja","Cebada","0.06000"
"AR-F","La Rioja","Cítricos dulces","1.02000"
"AR-F","La Rioja","Fruta de carozo","2.23000"
"AR-F","La Rioja","Frutas finas","0.99000"
"AR-F","La Rioja","Girasol","0.06000"
"AR-F","La Rioja","Hortícola","1.35000"
"AR-F","La Rioja","Legumbres","0.03000"
"AR-F","La Rioja","Limón","0.03000"
"AR-F","La Rioja","Láctea","0.01000"
"AR-F","La Rioja","Maicera","0.18000"
"AR-F","La Rioja","Maní","0.25000"
"AR-F","La Rioja","Olivícola","31.73000"
"AR-F","La Rioja","Ovina","0.17000"
"AR-F","La Rioja","Peras y Manzanas","0.23000"
"AR-F","La Rioja","Pesca","0.00000"
"AR-F","La Rioja","Porcina","0.79000"
"AR-F","La Rioja","Sojera","0.06000"
"AR-F","La Rioja","Sorgo","0.11000"
