"geocodigoFundar","geonombreFundar","cadena","share"
"AR-V","Tierra del Fuego","Cítricos dulces","0.01000"
"AR-V","Tierra del Fuego","Fruta de carozo","0.00000"
"AR-V","Tierra del Fuego","Frutas finas","0.46000"
"AR-V","Tierra del Fuego","Girasol","0.01000"
"AR-V","Tierra del Fuego","Hortícola","0.02000"
"AR-V","Tierra del Fuego","Legumbres","0.00000"
"AR-V","Tierra del Fuego","Limón","0.00000"
"AR-V","Tierra del Fuego","Láctea","0.05000"
"AR-V","Tierra del Fuego","Maicera","0.01000"
"AR-V","Tierra del Fuego","Maní","0.03000"
"AR-V","Tierra del Fuego","Olivícola","0.00000"
"AR-V","Tierra del Fuego","Ovina","4.06000"
"AR-V","Tierra del Fuego","Peras y Manzanas","0.00000"
"AR-V","Tierra del Fuego","Pesca","5.45000"
"AR-V","Tierra del Fuego","Porcina","0.12000"
"AR-V","Tierra del Fuego","Sojera","0.01000"
"AR-V","Tierra del Fuego","Sorgo","0.01000"
"AR-V","Tierra del Fuego","Tabacalera","0.00000"
"AR-V","Tierra del Fuego","Tealera","0.00000"
"AR-V","Tierra del Fuego","Triguera","0.24000"
"AR-V","Tierra del Fuego","Vitivinícola","0.01000"
"AR-V","Tierra del Fuego","Yerba mate","0.00000"
"AR-W","Corrientes","Algodón textil","1.14000"
"AR-W","Corrientes","Apícola","1.01000"
"AR-W","Corrientes","Arrocera","13.33000"
"AR-W","Corrientes","Avícola","0.27000"
"AR-W","Corrientes","Azucarera","0.01000"
"AR-W","Corrientes","Bovina","4.41000"
"AR-W","Corrientes","Caprina","0.12000"
"AR-W","Corrientes","Cebada","3.61000"
"AR-W","Corrientes","Cítricos dulces","17.66000"
"AR-W","Corrientes","Fruta de carozo","1.22000"
"AR-W","Corrientes","Frutas finas","1.78000"
"AR-W","Corrientes","Girasol","0.19000"
"AR-W","Corrientes","Hortícola","1.25000"
"AR-W","Corrientes","Legumbres","0.01000"
"AR-W","Corrientes","Limón","5.43000"
"AR-W","Corrientes","Láctea","0.85000"
"AR-W","Corrientes","Maicera","0.58000"
"AR-W","Corrientes","Maní","0.84000"
"AR-W","Corrientes","Olivícola","0.16000"
"AR-W","Corrientes","Ovina","5.27000"
"AR-W","Corrientes","Peras y Manzanas","0.12000"
"AR-W","Corrientes","Pesca","0.00000"
"AR-W","Corrientes","Porcina","0.60000"
"AR-W","Corrientes","Sojera","0.22000"
"AR-W","Corrientes","Sorgo","1.34000"
"AR-W","Corrientes","Tabacalera","6.68000"
"AR-W","Corrientes","Tealera","4.32000"
"AR-W","Corrientes","Triguera","0.90000"
"AR-W","Corrientes","Vitivinícola","0.21000"
"AR-W","Corrientes","Yerba mate","12.85000"
"AR-X","Córdoba","Algodón textil","3.59000"
"AR-X","Córdoba","Apícola","6.08000"
"AR-X","Córdoba","Arrocera","0.11000"
"AR-X","Córdoba","Avícola","7.24000"
"AR-X","Córdoba","Azucarera","19.88000"
"AR-X","Córdoba","Bovina","11.82000"
"AR-X","Córdoba","Caprina","21.91000"
"AR-X","Córdoba","Cebada","5.59000"
"AR-X","Córdoba","Cítricos dulces","1.95000"
"AR-X","Córdoba","Fruta de carozo","3.03000"
"AR-X","Córdoba","Frutas finas","2.14000"
"AR-X","Córdoba","Girasol","10.18000"
"AR-X","Córdoba","Hortícola","13.42000"
"AR-X","Córdoba","Legumbres","12.89000"
"AR-X","Córdoba","Limón","0.24000"
"AR-X","Córdoba","Láctea","25.64000"
"AR-X","Córdoba","Maicera","28.61000"
"AR-X","Córdoba","Maní","79.78000"
"AR-X","Córdoba","Olivícola","5.88000"
"AR-X","Córdoba","Ovina","1.36000"
"AR-X","Córdoba","Peras y Manzanas","0.28000"
"AR-X","Córdoba","Pesca","0.00000"
"AR-X","Córdoba","Porcina","19.95000"
"AR-X","Córdoba","Sojera","15.15000"
"AR-X","Córdoba","Sorgo","16.86000"
"AR-X","Córdoba","Tabacalera","1.18000"
"AR-X","Córdoba","Tealera","5.87000"
"AR-X","Córdoba","Triguera","14.05000"
"AR-X","Córdoba","Vitivinícola","0.57000"
"AR-X","Córdoba","Yerba mate","0.16000"
"AR-Y","Jujuy","Algodón textil","0.02000"
"AR-Y","Jujuy","Apícola","0.62000"
"AR-Y","Jujuy","Arrocera","0.01000"
"AR-Y","Jujuy","Avícola","0.19000"
"AR-Y","Jujuy","Azucarera","9.24000"
"AR-Y","Jujuy","Bovina","0.32000"
"AR-Y","Jujuy","Caprina","1.47000"
"AR-Y","Jujuy","Cebada","0.05000"
"AR-Y","Jujuy","Cítricos dulces","4.39000"
"AR-Y","Jujuy","Fruta de carozo","1.30000"
"AR-Y","Jujuy","Frutas finas","1.82000"
"AR-Y","Jujuy","Girasol","0.04000"
"AR-Y","Jujuy","Hortícola","1.40000"
"AR-Y","Jujuy","Legumbres","2.86000"
"AR-Y","Jujuy","Limón","3.10000"
"AR-Y","Jujuy","Láctea","0.06000"
"AR-Y","Jujuy","Maicera","0.23000"
"AR-Y","Jujuy","Maní","0.18000"
"AR-Y","Jujuy","Olivícola","0.07000"
"AR-Y","Jujuy","Ovina","2.39000"
"AR-Y","Jujuy","Peras y Manzanas","0.11000"
"AR-Y","Jujuy","Pesca","0.00000"
"AR-Y","Jujuy","Porcina","0.43000"
"AR-Y","Jujuy","Sojera","0.06000"
"AR-Y","Jujuy","Sorgo","0.24000"
"AR-Y","Jujuy","Tabacalera","3.83000"
"AR-Y","Jujuy","Tealera","0.05000"
"AR-Y","Jujuy","Triguera","0.43000"
"AR-Y","Jujuy","Vitivinícola","0.05000"
"AR-Y","Jujuy","Yerba mate","0.01000"
"AR-Z","Santa Cruz","Algodón textil","0.00000"
"AR-Z","Santa Cruz","Apícola","0.01000"
"AR-Z","Santa Cruz","Arrocera","0.01000"
"AR-Z","Santa Cruz","Avícola","0.00000"
"AR-Z","Santa Cruz","Azucarera","0.00000"
"AR-Z","Santa Cruz","Bovina","0.15000"
"AR-Z","Santa Cruz","Caprina","0.00000"
"AR-Z","Santa Cruz","Cebada","0.03000"
"AR-Z","Santa Cruz","Cítricos dulces","0.04000"
"AR-Z","Santa Cruz","Fruta de carozo","0.00000"
"AR-Z","Santa Cruz","Frutas finas","3.43000"
"AR-Z","Santa Cruz","Girasol","0.03000"
"AR-Z","Santa Cruz","Hortícola","0.07000"
"AR-Z","Santa Cruz","Legumbres","0.00000"
"AR-Z","Santa Cruz","Limón","0.01000"
"AR-Z","Santa Cruz","Láctea","0.04000"
"AR-Z","Santa Cruz","Maicera","0.04000"
"AR-Z","Santa Cruz","Maní","0.12000"
"AR-Z","Santa Cruz","Olivícola","0.02000"
"AR-Z","Santa Cruz","Ovina","25.06000"
"AR-Z","Santa Cruz","Peras y Manzanas","0.03000"
"AR-Z","Santa Cruz","Pesca","11.04000"
"AR-Z","Santa Cruz","Porcina","0.04000"
"AR-Z","Santa Cruz","Sojera","0.03000"
"AR-Z","Santa Cruz","Sorgo","0.05000"
"AR-Z","Santa Cruz","Tabacalera","0.01000"
"AR-Z","Santa Cruz","Tealera","0.05000"
"AR-Z","Santa Cruz","Triguera","0.87000"
"AR-Z","Santa Cruz","Vitivinícola","0.03000"
"AR-Z","Santa Cruz","Yerba mate","0.01000"
