"anio","producto_exportacion","valor"
"2025","residuos_alimenticios","155.30903"
"1986","semillas_frutos_oleaginosos","71.92221"
"1987","semillas_frutos_oleaginosos","69.95152"
"1988","semillas_frutos_oleaginosos","94.42156"
"1989","semillas_frutos_oleaginosos","93.81515"
"1990","semillas_frutos_oleaginosos","82.02847"
"1991","semillas_frutos_oleaginosos","77.33131"
"1992","semillas_frutos_oleaginosos","77.71784"
"1993","semillas_frutos_oleaginosos","84.36442"
"1994","semillas_frutos_oleaginosos","90.81697"
"1995","semillas_frutos_oleaginosos","81.60131"
"1996","semillas_frutos_oleaginosos","102.66659"
"1997","semillas_frutos_oleaginosos","100.34620"
"1998","semillas_frutos_oleaginosos","87.78186"
"1999","semillas_frutos_oleaginosos","66.84472"
"2000","semillas_frutos_oleaginosos","72.49644"
"2001","semillas_frutos_oleaginosos","65.12478"
"2002","semillas_frutos_oleaginosos","69.11769"
"2003","semillas_frutos_oleaginosos","79.76601"
"2004","semillas_frutos_oleaginosos","100.00000"
"2005","semillas_frutos_oleaginosos","86.32877"
"2006","semillas_frutos_oleaginosos","85.18511"
"2007","semillas_frutos_oleaginosos","109.24855"
"2008","semillas_frutos_oleaginosos","147.22291"
"2009","semillas_frutos_oleaginosos","143.19712"
"2010","semillas_frutos_oleaginosos","137.35805"
"2011","semillas_frutos_oleaginosos","189.03904"
"2012","semillas_frutos_oleaginosos","196.83004"
"2013","semillas_frutos_oleaginosos","194.51532"
"2014","semillas_frutos_oleaginosos","187.84694"
"2015","semillas_frutos_oleaginosos","138.37511"
"2016","semillas_frutos_oleaginosos","134.59226"
"2017","semillas_frutos_oleaginosos","140.92625"
"2018","semillas_frutos_oleaginosos","148.55604"
"2019","semillas_frutos_oleaginosos","129.28333"
"2020","semillas_frutos_oleaginosos","135.81196"
"2021","semillas_frutos_oleaginosos","186.59857"
"2022","semillas_frutos_oleaginosos","206.32253"
"2023","semillas_frutos_oleaginosos","193.44785"
"2024","semillas_frutos_oleaginosos","176.95153"
"2025","semillas_frutos_oleaginosos","152.55412"
