geocodigoFundar,geonombreFundar,anio,va_agro_sobre_pbi
NAM,Namibia,2021,9.563003791
NER,Níger,2021,36.4810258
NGA,Nigeria,2021,23.35705876
NIC,Nicaragua,2021,15.4434217
NLD,Países Bajos,2021,1.516907558
NOR,Noruega,2021,1.598869177
NPL,Nepal,2021,22.02145228
NZL,Nueva Zelanda,2021,5.780224316
OED,Miembros de la OCDE,2021,1.403022085
OMN,Omán,2021,2.120779761
OSS,Otros Estados pequeños,2021,2.747808348
PAK,Pakistán,2021,22.66250808
PAN,Panamá,2021,2.65507344
PER,Perú,2021,7.12151916
PHL,Filipinas,2021,10.06916402
PLW,Palau,2021,3.503394546
PNG,Papúa Nueva Guinea,2021,18.98993702
POL,Polonia,2021,2.241855933
PRE,Países del bono predemográfico,2021,18.29955954
PRI,Puerto Rico,2021,0.673046024
PRT,Portugal,2021,2.150372134
PRY,Paraguay,2021,11.27890078
PSE,Palestina,2021,6.316748578
PSS,Pequeños Estados insulares del Pacífico,2021,18.7029587
PST,Países del bono posdemográfico,2021,1.256591036
QAT,Qatar,2021,0.29823968
ROU,Rumania,2021,4.762592363
RUS,Rusia,2021,3.937600101
RWA,Ruanda,2021,24.0703111
EAS,Este de Asia y Pacífico,2021,5.7770637
SAU,Arabia Saudita,2021,2.67515943
SDN,Sudán,2021,6.357092128
SEN,Senegal,2021,15.55126462
SGP,Singapur,2021,0.030725891
SLB,Islas Salomón,2021,35.04358777
SLE,Sierra Leona,2021,57.44878664
SLV,El Salvador,2021,4.812255149
SMR,San Marino,2021,0.016625393
SRB,Serbia,2021,6.293190057
EAP,Este de Asia y Pacífico (excluyendo Países de Altos Ingresos),2021,7.926313482
TEA,Este de Asia y Pacífico (IDA y BIRF),2021,7.912968426
SST,Estados pequeños,2021,3.722319919
STP,Santo Tomé y Príncipe,2021,15.26617676
SUR,Suriname,2021,8.900155434
SVK,Eslovaquia,2021,1.78909981
SVN,Eslovenia,2021,1.683995436
SWE,Suecia,2021,1.288093555
SWZ,Eswatini,2021,8.100368351
SYC,Seychelles,2021,2.444662638
SYR,Siria,2021,27.82214695
TCD,Chad,2021,25.30360768
ECS,Europa y Asia Central,2021,2.027042226
ECA,Europa y Asia Central (excluyendo Países de Altos Ingresos),2021,7.587176074
TGO,Togo,2021,18.36499115
THA,Tailandia,2021,8.691894567
TJK,Tayikistán,2021,22.44908055
TKM,Turkmenistán,2021,11.80795996
TEC,Europa y Asia Central (IDA y BIRF),2021,5.046433067
TLS,Timor-Leste,2021,8.620599687
MEA,Oriente Medio y África del Norte,2021,5.076182169
TON,Tonga,2021,16.32324846
MNA,Oriente Medio y África del Norte (excluidos Países de Altos Ingresos),2021,10.09898193
TMN,Oriente Medio y África del Norte (IDA y BIRF),2021,10.14412613
TTO,Trinidad y Tobago,2021,1.470946825
TUN,Túnez,2021,10.14635891
TUR,Turquía,2021,5.533753092
TZA,Tanzanía,2021,24.78845062
UGA,Uganda,2021,23.84180383
UKR,Ucrania,2021,10.88577211
UMC,Países de ingreso medio alto,2021,7.290136454
URY,Uruguay,2021,7.938814678
USA,Estados Unidos,2021,0.948221773
UZB,Uzbekistán,2021,24.61828846
VCT,San Vicente y las Granadinas,2021,5.356665152
VNM,Vietnam,2021,12.60309956
WLD,Mundo,2021,4.274546047
WSM,Samoa,2021,9.852790569
XKX,Kosovo,2021,6.923305531
ZAF,Sudáfrica,2021,2.557298933
ZMB,Zambia,2021,3.000880539
ZWE,Zimbabwe,2021,8.849899248
