"anio","participacion_agro"
"1935","0.25742"
"1936","0.25617"
"1937","0.28583"
"1938","0.24139"
"1939","0.23239"
"1940","0.23156"
"1941","0.23827"
"1942","0.23321"
"1943","0.21660"
"1944","0.22262"
"1945","0.20158"
"1946","0.23107"
"1947","0.19009"
"1948","0.17329"
"1949","0.15736"
"1950","0.13502"
"1951","0.15805"
"1952","0.13931"
"1953","0.18837"
"1954","0.17227"
"1955","0.15673"
"1956","0.15999"
"1957","0.15869"
"1958","0.15399"
"1959","0.18988"
"1960","0.16739"
"1961","0.13272"
"1962","0.14955"
"1963","0.16614"
"1964","0.18139"
"1965","0.15710"
"1966","0.13784"
"1967","0.13551"
"1968","0.12522"
"1969","0.12645"
"1970","0.12130"
"1971","0.13718"
"1972","0.14725"
"1973","0.15479"
"1974","0.13443"
"1975","0.10075"
"1976","0.11021"
"1977","0.11062"
"1978","0.09999"
"1979","0.10663"
"1980","0.06281"
"1981","0.06353"
"1982","0.09439"
"1983","0.08523"
"1984","0.08285"
"1985","0.07488"
"1986","0.07703"
"1987","0.07992"
"1988","0.08849"
"1989","0.09397"
"1990","0.07878"
"1991","0.06517"
"1992","0.05757"
"1993","0.05306"
"1994","0.05242"
"1995","0.05469"
"1996","0.05759"
"1997","0.05355"
"1998","0.05389"
"1999","0.04526"
"2000","0.04756"
"2001","0.04536"
"2002","0.10207"
"2003","0.10546"
"2004","0.08065"
"2005","0.07653"
"2006","0.06578"
"2007","0.07193"
"2008","0.07059"
"2009","0.05043"
"2010","0.06917"
"2011","0.06832"
"2012","0.05625"
"2013","0.05821"
"2014","0.06474"
"2015","0.04923"
"2016","0.05997"
"2017","0.04974"
"2018","0.04165"
"2019","0.04965"
"2020","0.06023"
"2021","0.06959"
"2022","0.06274"
"2023","0.05608"
"2024","0.05509"
"2025","0.05251"
