"geocodigoFundar","geonombreFundar","tipo_carne","valor"
"BOL","Bolivia","caprina_ovina","3.34000"
"BOL","Bolivia","otras_carnes","1.80000"
"BOL","Bolivia","pescado_mariscos","2.13000"
"BOL","Bolivia","porcina","10.58000"
"BOL","Bolivia","vacuna","23.54000"
"BRA","Brasil","aviar","47.55000"
"BRA","Brasil","caprina_ovina","0.72000"
"BRA","Brasil","otras_carnes","0.48000"
"BRA","Brasil","pescado_mariscos","8.19000"
"BRA","Brasil","porcina","16.75000"
"BRA","Brasil","vacuna","39.07000"
"BRB","Barbados","aviar","48.97000"
"BRB","Barbados","caprina_ovina","3.92000"
"BRB","Barbados","otras_carnes","0.10000"
"BRB","Barbados","pescado_mariscos","43.16000"
"BRB","Barbados","porcina","11.31000"
"BRB","Barbados","vacuna","11.94000"
"BTN","Bhután","aviar","5.34000"
"BTN","Bhután","caprina_ovina","0.32000"
"BTN","Bhután","otras_carnes","0.00000"
"BTN","Bhután","pescado_mariscos","6.26000"
"BTN","Bhután","porcina","2.15000"
"BTN","Bhután","vacuna","6.85000"
"BWA","Botswana","aviar","2.75000"
"BWA","Botswana","caprina_ovina","2.23000"
"BWA","Botswana","otras_carnes","12.62000"
"BWA","Botswana","pescado_mariscos","2.22000"
"BWA","Botswana","porcina","0.50000"
"BWA","Botswana","vacuna","25.18000"
"CAN","Canadá","aviar","41.56000"
"CAN","Canadá","caprina_ovina","1.12000"
"CAN","Canadá","otras_carnes","0.57000"
"CAN","Canadá","pescado_mariscos","20.81000"
"CAN","Canadá","porcina","25.90000"
"CAN","Canadá","vacuna","25.64000"
"CHE","Suiza","aviar","17.52000"
"CHE","Suiza","caprina_ovina","1.25000"
"CHE","Suiza","otras_carnes","0.96000"
"CHE","Suiza","pescado_mariscos","16.46000"
"CHE","Suiza","porcina","25.27000"
"CHE","Suiza","vacuna","18.97000"
"CHL","Chile","aviar","37.86000"
"CHL","Chile","caprina_ovina","0.42000"
"CHL","Chile","otras_carnes","1.37000"
"CHL","Chile","pescado_mariscos","14.37000"
"CHL","Chile","porcina","31.39000"
"CHL","Chile","vacuna","27.49000"
"CHN","China","aviar","18.71000"
"CHN","China","caprina_ovina","4.02000"
"CHN","China","otras_carnes","0.76000"
"CHN","China","pescado_mariscos","41.68000"
"CHN","China","porcina","42.16000"
"CHN","China","vacuna","7.89000"
"CIV","Costa de Marfil","aviar","3.83000"
"CIV","Costa de Marfil","caprina_ovina","0.70000"
"CIV","Costa de Marfil","otras_carnes","6.16000"
"CIV","Costa de Marfil","pescado_mariscos","23.70000"
"CIV","Costa de Marfil","porcina","0.45000"
"CIV","Costa de Marfil","vacuna","0.88000"
"CMR","Camerún","aviar","4.23000"
"CMR","Camerún","caprina_ovina","1.56000"
"CMR","Camerún","otras_carnes","2.84000"
"CMR","Camerún","pescado_mariscos","18.11000"
"CMR","Camerún","porcina","1.83000"
"CMR","Camerún","vacuna","4.29000"
"COD","Rep. Dem. Congo","aviar","0.76000"
"COD","Rep. Dem. Congo","caprina_ovina","0.20000"
"COD","Rep. Dem. Congo","otras_carnes","1.61000"
"COD","Rep. Dem. Congo","pescado_mariscos","3.28000"
"COD","Rep. Dem. Congo","porcina","0.61000"
"COD","Rep. Dem. Congo","vacuna","0.31000"
"COG","Congo","aviar","36.57000"
"COG","Congo","caprina_ovina","0.26000"
"COG","Congo","otras_carnes","7.74000"
"COG","Congo","pescado_mariscos","23.18000"
"COG","Congo","porcina","8.47000"
"COG","Congo","vacuna","2.78000"
"COL","Colombia","aviar","35.69000"
"COL","Colombia","caprina_ovina","0.02000"
"COL","Colombia","otras_carnes","0.15000"
"COL","Colombia","pescado_mariscos","10.31000"
"COL","Colombia","porcina","13.82000"
"COL","Colombia","vacuna","12.91000"
"COM","Comoras","aviar","21.93000"
"COM","Comoras","caprina_ovina","0.59000"
"COM","Comoras","otras_carnes","0.00000"
"COM","Comoras","pescado_mariscos","16.98000"
"COM","Comoras","porcina","0.12000"
"COM","Comoras","vacuna","3.95000"
"CPV","Cabo Verde","aviar","24.80000"
"CPV","Cabo Verde","caprina_ovina","1.55000"
"CPV","Cabo Verde","otras_carnes","0.19000"
"CPV","Cabo Verde","pescado_mariscos","10.67000"
"CPV","Cabo Verde","porcina","13.91000"
"CPV","Cabo Verde","vacuna","3.41000"
"CRI","Costa Rica","aviar","35.01000"
"CRI","Costa Rica","caprina_ovina","0.06000"
"CRI","Costa Rica","otras_carnes","0.01000"
"CRI","Costa Rica","pescado_mariscos","17.83000"
"CRI","Costa Rica","porcina","15.39000"
"CRI","Costa Rica","vacuna","13.66000"
"CUB","Cuba","aviar","0.00000"
"CUB","Cuba","caprina_ovina","0.00000"
"CUB","Cuba","otras_carnes","0.00000"
"CUB","Cuba","pescado_mariscos","0.00000"
"CUB","Cuba","porcina","0.00000"
"CUB","Cuba","vacuna","0.00000"
"CYP","Chipre","aviar","31.80000"
"CYP","Chipre","caprina_ovina","3.71000"
"CYP","Chipre","otras_carnes","0.34000"
"CYP","Chipre","pescado_mariscos","17.97000"
"CYP","Chipre","porcina","33.41000"
"CYP","Chipre","vacuna","8.69000"
"CZE","Chequia","aviar","24.45000"
"CZE","Chequia","caprina_ovina","0.28000"
"CZE","Chequia","otras_carnes","1.86000"
"CZE","Chequia","pescado_mariscos","10.36000"
"CZE","Chequia","porcina","44.46000"
"CZE","Chequia","vacuna","11.25000"
"DEU","Alemania","aviar","16.77000"
"DEU","Alemania","caprina_ovina","0.75000"
"DEU","Alemania","otras_carnes","0.93000"
"DEU","Alemania","pescado_mariscos","12.97000"
"DEU","Alemania","porcina","38.67000"
"DEU","Alemania","vacuna","13.55000"
"DJI","Djibouti","aviar","3.18000"
"DJI","Djibouti","caprina_ovina","3.99000"
"DJI","Djibouti","otras_carnes","0.64000"
"DJI","Djibouti","pescado_mariscos","5.31000"
"DJI","Djibouti","porcina","0.25000"
"DJI","Djibouti","vacuna","6.01000"
"DNK","Dinamarca","aviar","20.32000"
"DNK","Dinamarca","caprina_ovina","0.71000"
"DNK","Dinamarca","otras_carnes","0.76000"
"DNK","Dinamarca","pescado_mariscos","28.81000"
"DNK","Dinamarca","porcina","57.90000"
"DNK","Dinamarca","vacuna","21.58000"
"DOM","Rep. Dominicana","aviar","38.63000"
"DOM","Rep. Dominicana","caprina_ovina","0.21000"
"DOM","Rep. Dominicana","otras_carnes","0.03000"
"DOM","Rep. Dominicana","pescado_mariscos","17.13000"
"DOM","Rep. Dominicana","porcina","16.33000"
"DOM","Rep. Dominicana","vacuna","6.40000"
"DZA","Argelia","aviar","9.88000"
"DZA","Argelia","caprina_ovina","8.64000"
"DZA","Argelia","otras_carnes","0.52000"
"DZA","Argelia","pescado_mariscos","2.76000"
"DZA","Argelia","porcina","0.00000"
"DZA","Argelia","vacuna","3.22000"
"ECU","Ecuador","aviar","31.51000"
"ECU","Ecuador","caprina_ovina","0.42000"
"ECU","Ecuador","otras_carnes","0.58000"
"ECU","Ecuador","pescado_mariscos","6.45000"
"ECU","Ecuador","porcina","11.94000"
"ECU","Ecuador","vacuna","11.79000"
"EGY","Egipto","aviar","18.95000"
"EGY","Egipto","caprina_ovina","0.56000"
"EGY","Egipto","otras_carnes","1.03000"
"EGY","Egipto","pescado_mariscos","20.49000"
"EGY","Egipto","porcina","0.01000"
"EGY","Egipto","vacuna","7.08000"
"ESP","España","aviar","32.96000"
"ESP","España","caprina_ovina","1.59000"
"ESP","España","otras_carnes","1.44000"
"ESP","España","pescado_mariscos","36.80000"
"ESP","España","porcina","53.04000"
"ESP","España","vacuna","11.77000"
"EST","Estonia","aviar","20.81000"
"EST","Estonia","caprina_ovina","0.35000"
"EST","Estonia","otras_carnes","0.22000"
"EST","Estonia","pescado_mariscos","12.70000"
"EST","Estonia","porcina","35.54000"
"EST","Estonia","vacuna","7.81000"
"ETH","Etiopía","aviar","0.50000"
"ETH","Etiopía","caprina_ovina","2.05000"
"ETH","Etiopía","otras_carnes","0.99000"
"ETH","Etiopía","pescado_mariscos","0.50000"
"ETH","Etiopía","porcina","0.02000"
"ETH","Etiopía","vacuna","3.35000"
"FIN","Finlandia","aviar","23.32000"
"FIN","Finlandia","caprina_ovina","0.41000"
"FIN","Finlandia","otras_carnes","0.50000"
"FIN","Finlandia","pescado_mariscos","31.49000"
"FIN","Finlandia","porcina","27.87000"
"FIN","Finlandia","vacuna","17.30000"
"FJI","Fiji","aviar","46.80000"
"FJI","Fiji","caprina_ovina","10.07000"
"FJI","Fiji","otras_carnes","0.00000"
