"anio","valor"
"1993"," 709.00"
"1994"," 727.00"
"1995"," 917.00"
"1996","1011.00"
"1997","1035.00"
"1998"," 922.00"
"1999"," 809.00"
"2000"," 838.00"
"2001"," 956.00"
"2002"," 730.00"
"2003"," 891.00"
"2004"," 818.00"
"2005"," 814.00"
"2006","1250.00"
"2007","1108.00"
"2008","1304.00"
"2009","1129.00"
"2010","1344.00"
"2011","1481.00"
"2012","1340.00"
"2013","1515.00"
"2014","1584.00"
"2015","1466.00"
"2016","1701.00"
"2017","1980.00"
"2018","2155.00"
"2019","1863.00"
"2020","1730.00"
"2021","1990.00"
"2022","1823.00"
