"geocodigoFundar","geonombreFundar","valor"
"AFG","Afganistán","28688.92000"
"AGO","Angola","57631.00000"
"ALB","Albania","11411.00000"
"ARE","Emiratos Árabes Unidos","59074.93000"
"ARG","Argentina","2304000.00000"
"ARM","Armenia","14058.00000"
"ATG","Antigua y Barbuda","6.00000"
"AUS","Australia","1477685.00000"
"AUT","Austria","0.00000"
"AZE","Azerbaiyán","142320.54000"
"BDI","Burundi","9962.91000"
"BEL","Bélgica","531510.00000"
"BEN","Benin","14486.70000"
"BFA","Burkina Faso","168997.37000"
"BGD","Bangladesh","232507.67000"
"BGR","Bulgaria","95990.00000"
"BHR","Bahrein","8671.20000"
"BHS","Bahamas","5996.59000"
"BIH","Bosnia y Herzegovina","76457.00000"
"BLR","Belarús","549184.43000"
"BLZ","Belice","23663.00000"
"BOL","Bolivia","579764.14000"
"BRA","Brasil","13714701.69000"
"BRB","Barbados","12873.03000"
"BRN","Brunei","28994.80000"
"BTN","Bhután","1208.23000"
"BWA","Botswana","1584.46000"
"CAF","Rep. Centroafricana","6061.57000"
"CAN","Canadá","1418174.00000"
"CHE","Suiza","113613.00000"
"CHL","Chile","695566.00000"
"CHN","China","15350000.00000"
"CIV","Costa de Marfil","163914.94000"
"CMR","Camerún","113200.11000"
"COD","Rep. Dem. Congo","10000.00000"
"COG","Congo","6840.70000"
"COK","Islas Cook","49.01000"
"COL","Colombia","1821768.14000"
"COM","Comoras","592.21000"
"CPV","Cabo Verde","590.12000"
"CRI","Costa Rica","143676.57000"
"CUB","Cuba","3900.00000"
"CYP","Chipre","28080.00000"
"CZE","Chequia","160250.00000"
"DEU","Alemania","1114000.00000"
"DMA","Dominica","372.88000"
"DNK","Dinamarca","163170.00000"
"DOM","Rep. Dominicana","421615.20000"
"DZA","Argelia","448819.53000"
"ECU","Ecuador","554360.00000"
"EGY","Egipto","2598603.52000"
"ERI","Eritrea","910.22000"
"ESP","España","1517910.00000"
"EST","Estonia","22237.00000"
"ETH","Etiopía","61261.18000"
"FIN","Finlandia","140010.00000"
"FJI","Fiji","45553.00000"
"FRA","Francia","1245830.00000"
"FSM","Micronesia","161.73000"
"GAB","Gabón","4220.38000"
"GBR","Reino Unido","1852000.00000"
"GEO","Georgia","26200.00000"
"GHA","Ghana","74517.97000"
"GIN","Guinea","14137.58000"
"GLP","Guadalupe","0.00000"
"GMB","Gambia","1360.33000"
"GNB","Guinea-Bissau","3183.38000"
"GNQ","Guinea Ecuatorial","264.42000"
"GRC","Grecia","275600.00000"
"GRD","Granada","548.83000"
"GTM","Guatemala","391941.86000"
"GUF","Guayana Francesa","0.00000"
"GUY","Guyana","81678.00000"
"HKG","Hong Kong","23760.37000"
"HND","Honduras","229377.26000"
"HRV","Croacia","67130.00000"
"HTI","Haití","8928.49000"
"HUN","Hungría","401760.00000"
"IDN","Indonesia","4179444.20000"
"IND","India","5019410.00000"
"IRL","Irlanda","162200.00000"
"IRN","Irán","2268606.42000"
"IRQ","Iraq","190000.00000"
"ISL","Islandia","9879.00000"
"ISR","Israel","600072.00000"
"ITA","Italia","1134090.00000"
"JAM","Jamaica","142354.00000"
"JOR","Jordania","302275.00000"
"JPN","Japón","2466966.59000"
"KAZ","Kazajstán","352738.00000"
"KEN","Kenia","102529.00000"
"KGZ","Kirguistán","19604.00000"
"KHM","Camboya","17577.10000"
"KIR","Kiribati","1155.80000"
"KNA","Saint Kitts y Nevis","27.50000"
"KOR","Corea del Sur","935000.00000"
"KWT","Kuwait","62000.00000"
"LAO","Laos","43454.75000"
"LBN","Líbano","137661.60000"
"LBR","Liberia","14204.35000"
"LBY","Libia","131498.63000"
"LCA","Santa Lucía","1421.71000"
"LKA","Sri Lanka","258540.00000"
"LSO","Lesotho","568.52000"
"LTU","Lituania","83240.00000"
"LUX","Luxemburgo","0.00000"
"LVA","Letonia","38460.00000"
"MAC","Macao","3029.22000"
"MAR","Marruecos","583000.00000"
"MDA","Moldavia","50351.60000"
"MDG","Madagascar","55453.15000"
"MEX","México","4013215.82000"
"MKD","Macedonia del Norte","1997.00000"
