tipo_carne,anio,valor
Carne de cerdo,2012,331000.0
Carne de cerdo,2013,416442.0
Carne de cerdo,2014,442025.0
Carne de cerdo,2015,483437.0
Carne de cerdo,2016,522428.0
Carne de cerdo,2017,566276.0
Carne de cerdo,2018,620549.0
Carne de cerdo,2019,629717.0
Carne de cerdo,2020,655381.88
Carne de cerdo,2021,695939.0
