"geocodigoFundar","geonombreFundar","valor"
"AFG","Afganistán","61420.58000"
"AGO","Angola","110104.00000"
"ALB","Albania","25996.00000"
"ARE","Emiratos Árabes Unidos","22004.76000"
"ARG","Argentina","3178044.00000"
"ARM","Armenia","60060.00000"
"ATG","Antigua y Barbuda","73.34000"
"AUS","Australia","2589767.00000"
"AUT","Austria","203470.00000"
"AZE","Azerbaiyán","140472.61000"
"BDI","Burundi","16871.09000"
"BEL","Bélgica","249440.00000"
"BEN","Benin","47794.00000"
"BFA","Burkina Faso","136145.87000"
"BGD","Bangladesh","211783.39000"
"BGR","Bulgaria","18820.00000"
"BHR","Bahrein","775.56000"
"BHS","Bahamas","17.55000"
"BIH","Bosnia y Herzegovina","9792.00000"
"BLR","Belarús","399000.00000"
"BLZ","Belice","2143.00000"
"BOL","Bolivia","349417.26000"
"BRA","Brasil","10237584.00000"
"BRB","Barbados","146.44000"
"BRN","Brunei","1412.13000"
"BTN","Bhután","1560.39000"
"BWA","Botswana","64888.95000"
"CAF","Rep. Centroafricana","103630.23000"
"CAN","Canadá","1291344.00000"
"CHE","Suiza","144057.00000"
"CHL","Chile","197958.30000"
"CHN","China","7790900.00000"
"CIV","Costa de Marfil","37009.00000"
"CMR","Camerún","127280.80000"
"COD","Rep. Dem. Congo","27812.36000"
"COG","Congo","5382.63000"
"COK","Islas Cook","7.21000"
"COL","Colombia","743677.85000"
"COM","Comoras","1226.08000"
"CPV","Cabo Verde","701.57000"
"CRI","Costa Rica","94191.44000"
"CUB","Cuba","60208.81000"
"CYP","Chipre","5640.00000"
"CZE","Chequia","71040.00000"
"DEU","Alemania","1015350.00000"
"DJI","Djibouti","6471.79000"
"DMA","Dominica","543.97000"
"DNK","Dinamarca","116400.00000"
"DOM","Rep. Dominicana","67693.11000"
"DZA","Argelia","135000.00000"
"ECU","Ecuador","242011.00000"
"EGY","Egipto","521030.99000"
"ERI","Eritrea","25584.96000"
"ESP","España","718450.00000"
"EST","Estonia","7720.00000"
"ETH","Etiopía","428612.34000"
"FIN","Finlandia","86510.00000"
"FJI","Fiji","4159.70000"
"FRA","Francia","1298540.00000"
"FRO","Islas Feroe","77.00000"
"FSM","Micronesia","252.21000"
"GAB","Gabón","754.60000"
"GBR","Reino Unido","934300.00000"
"GEO","Georgia","26700.00000"
"GHA","Ghana","31832.95000"
"GIN","Guinea","74012.56000"
"GLP","Guadalupe","0.00000"
"GMB","Gambia","2576.57000"
"GNB","Guinea-Bissau","7956.75000"
"GNQ","Guinea Ecuatorial","48.36000"
"GRC","Grecia","32440.00000"
"GRD","Granada","190.83000"
"GTM","Guatemala","312601.68000"
"GUF","Guayana Francesa","0.00000"
"GUY","Guyana","3256.00000"
"HKG","Hong Kong","5802.01000"
"HND","Honduras","65000.00000"
"HRV","Croacia","42480.00000"
"HTI","Haití","49944.42000"
"HUN","Hungría","23810.00000"
"IDN","Indonesia","619351.36000"
"IND","India","4565000.00000"
"IRL","Irlanda","602600.00000"
"IRN","Irán","238796.15000"
"IRQ","Iraq","40546.59000"
"ISL","Islandia","4860.00000"
"ISR","Israel","120244.00000"
"ITA","Italia","659120.00000"
"JAM","Jamaica","7407.00000"
"JOR","Jordania","49530.47000"
"JPN","Japón","461905.15000"
"KAZ","Kazajstán","429335.60000"
"KEN","Kenia","260083.00000"
"KGZ","Kirguistán","125469.00000"
"KHM","Camboya","64962.18000"
"KNA","Saint Kitts y Nevis","42.73000"
"KOR","Corea del Sur","370000.00000"
"KWT","Kuwait","1858.80000"
"LAO","Laos","69617.13000"
"LBN","Líbano","39193.98000"
"LBR","Liberia","968.67000"
"LBY","Libia","6219.27000"
"LCA","Santa Lucía","403.73000"
"LKA","Sri Lanka","29800.00000"
"LSO","Lesotho","1042.29000"
"LTU","Lituania","44760.00000"
"LUX","Luxemburgo","9430.00000"
"LVA","Letonia","16820.00000"
"MAC","Macao","760.51000"
"MAR","Marruecos","254200.00000"
"MDA","Moldavia","2261.00000"
"MDG","Madagascar","24978.54000"
"MEX","México","2253615.34000"
"MKD","Macedonia del Norte","4135.00000"
"MLI","Malí","67217.15000"
"MLT","Malta","1150.00000"
"MMR","Myanmar","138981.38000"
"MNE","Montenegro","6700.00000"
"MNG","Mongolia","107748.70000"
"MOZ","Mozambique","21335.00000"
"MRT","Mauritania","31134.44000"
"MTQ","Martinica","0.00000"
"MUS","Mauricio","2090.00000"
"MWI","Malawi","73661.51000"
"MYS","Malasia","42426.31000"
"NAM","Namibia","35742.73000"
"NCL","Nueva Caledonia","2983.69000"
"NER","Níger","65288.84000"
"NGA","Nigeria","317048.80000"
"NIC","Nicaragua","0.00000"
"NIU","Niue","1.82000"
"NLD","Países Bajos","433330.00000"
"NOR","Noruega","86090.00000"
"NPL","Nepal","138271.00000"
"NZL","Nueva Zelanda","741844.00000"
"OMN","Omán","16137.69000"
"PAK","Pakistán","2636643.36000"
"PAN","Panamá","71678.08000"
"PER","Perú","203990.58000"
"PHL","Filipinas","181455.00000"
"PNG","Papúa Nueva Guinea","2296.49000"
"POL","Polonia","637490.00000"
"PRI","Puerto Rico","4060.48000"
"PRK","Corea del Norte","20348.85000"
"PRT","Portugal","101770.00000"
"PRY","Paraguay","427139.78000"
"PSE","Palestina","0.00000"
"PYF","Polinesia Francesa","163.47000"
"QAT","Qatar","914.21000"
"REU","Reunión","0.00000"
"ROU","Rumania","75780.00000"
"RUS","Rusia","1692987.76000"
"RWA","Ruanda","42094.20000"
"SAU","Arabia Saudita","43000.00000"
"SDN","Sudán","366281.51000"
"SEN","Senegal","79495.90000"
"SGP","Singapur","33.90000"
"SLB","Islas Salomón","772.26000"
"SLE","Sierra Leona","11276.86000"
"SLV","El Salvador","16414.65000"
"SOM","Somalia","55480.62000"
"SRB","Serbia","75048.00000"
"SSD","Sudán del Sur","132346.43000"
"STP","Santo Tomé y Príncipe","420.21000"
"SUR","Suriname","1488.48000"
"SVK","Eslovaquia","10060.00000"
"SVN","Eslovenia","31940.00000"
"SWE","Suecia","140970.00000"
"SWZ","Eswatini","17957.10000"
"SYC","Seychelles","17.05000"
"SYR","Siria","41902.00000"
"TCD","Chad","578029.26000"
"TGO","Togo","8800.00000"
"THA","Tailandia","130568.73000"
"TJK","Tayikistán","313638.54000"
"TKM","Turkmenistán","209347.02000"
"TLS","Timor-Leste","1981.28000"
"TON","Tonga","345.87000"
"TTO","Trinidad y Tobago","1030.00000"
"TUN","Túnez","41793.32000"
"TUR","Turquía","1496823.72000"
"TWN","Taiwán","8368.93000"
"TZA","Tanzanía","666227.00000"
"UGA","Uganda","237542.63000"
"UKR","Ucrania","244500.00000"
"URY","Uruguay","577892.98000"
"USA","Estados Unidos","12289768.00000"
"UZB","Uzbekistán","1161390.21000"
"VCT","San Vicente y las Granadinas","155.00000"
"VEN","Venezuela","418690.15000"
"VNM","Vietnam","338900.00000"
"VUT","Vanuatu","2022.00000"
"WSM","Samoa","1293.19000"
"YEM","Yemen","86024.86000"
"ZAF","Sudáfrica","1101970.00000"
"ZMB","Zambia","221926.90000"
"ZWE","Zimbabwe","755211.44000"
