"cadena","anio","valor"
"Ajo","2001","245000000.00000"
"Ajo","2002","226000000.00000"
"Ajo","2003","257000000.00000"
"Ajo","2004","258000000.00000"
"Ajo","2005","188000000.00000"
"Ajo","2006","285000000.00000"
"Ajo","2007","330000000.00000"
"Ajo","2008","316000000.00000"
"Ajo","2009","359000000.00000"
"Ajo","2010","214000000.00000"
"Ajo","2011","315000000.00000"
"Ajo","2012","372000000.00000"
"Ajo","2013","196000000.00000"
"Ajo","2014","167000000.00000"
"Ajo","2015","209000000.00000"
"Ajo","2016","234000000.00000"
"Ajo","2017","235000000.00000"
"Ajo","2018","236000000.00000"
"Ajo","2019","237000000.00000"
"Ajo","2020","260000000.00000"
"Ajo","2021","261000000.00000"
"Algodón","2001","439000000.00000"
"Algodón","2002","189000000.00000"
"Algodón","2003","172000000.00000"
"Algodón","2004","300000000.00000"
"Algodón","2005","378000000.00000"
"Algodón","2006","350000000.00000"
"Algodón","2007","457000000.00000"
"Algodón","2008","412000000.00000"
"Algodón","2009","362000000.00000"
"Algodón","2010","557000000.00000"
"Algodón","2011","678000000.00000"
"Algodón","2012","524000000.00000"
"Algodón","2013","447000000.00000"
"Algodón","2014","653000000.00000"
"Algodón","2015","538000000.00000"
"Algodón","2016","474000000.00000"
"Algodón","2017","445000000.00000"
"Algodón","2018","496000000.00000"
"Algodón","2019","494000000.00000"
"Algodón","2020","530000000.00000"
"Algodón","2021","560000000.00000"
"Arroz","2001","1926000000.00000"
"Arroz","2002","1946000000.00000"
"Arroz","2003","1920000000.00000"
"Arroz","2004","1513000000.00000"
"Arroz","2005","1842000000.00000"
"Arroz","2006","1806000000.00000"
"Arroz","2007","1641000000.00000"
"Arroz","2008","1750000000.00000"
"Arroz","2009","1974000000.00000"
"Arroz","2010","1824000000.00000"
"Arroz","2011","2505000000.00000"
"Arroz","2012","2449000000.00000"
"Arroz","2013","2326000000.00000"
"Arroz","2014","2261000000.00000"
"Arroz","2015","2055000000.00000"
"Arroz","2016","2281000000.00000"
"Arroz","2017","2049000000.00000"
"Arroz","2018","2164000000.00000"
"Arroz","2019","1981000000.00000"
"Arroz","2020","2044000000.00000"
"Arroz","2021","2303000000.00000"
"Avicola","2001","2676000000.00000"
"Avicola","2002","2094000000.00000"
"Avicola","2003","2299000000.00000"
"Avicola","2004","3266000000.00000"
"Avicola","2005","3569000000.00000"
"Avicola","2006","4182000000.00000"
"Avicola","2007","4800000000.00000"
"Avicola","2008","5151000000.00000"
"Avicola","2009","5063000000.00000"
"Avicola","2010","5503000000.00000"
"Avicola","2011","6423000000.00000"
"Avicola","2012","6570000000.00000"
"Avicola","2013","6546000000.00000"
"Avicola","2014","6537000000.00000"
"Avicola","2015","6636000000.00000"
"Avicola","2016","6432000000.00000"
"Avicola","2017","6274000000.00000"
"Avicola","2018","6383000000.00000"
"Avicola","2019","6517000000.00000"
"Avicola","2020","6355000000.00000"
"Avicola","2021","6603000000.00000"
"Berries","2001","1024000000.00000"
"Berries","2002","1071000000.00000"
"Berries","2003","1071000000.00000"
"Berries","2004","1055000000.00000"
"Berries","2005","1055000000.00000"
"Berries","2006","1063000000.00000"
"Berries","2007","1071000000.00000"
"Berries","2008","1259000000.00000"
"Berries","2009","1365000000.00000"
"Berries","2010","1609000000.00000"
"Berries","2011","1645000000.00000"
"Berries","2012","1673000000.00000"
"Berries","2013","1598000000.00000"
"Berries","2014","1722000000.00000"
"Berries","2015","1720000000.00000"
"Berries","2016","1808000000.00000"
"Berries","2017","1792000000.00000"
"Berries","2018","1792000000.00000"
"Berries","2019","1686000000.00000"
"Berries","2020","1659000000.00000"
"Berries","2021","1824000000.00000"
"Bovino","2001","16018000000.00000"
"Bovino","2002","16013000000.00000"
"Bovino","2003","15949000000.00000"
"Bovino","2004","15625000000.00000"
"Bovino","2005","15692000000.00000"
"Bovino","2006","16248000000.00000"
"Bovino","2007","15962000000.00000"
"Bovino","2008","15618000000.00000"
"Bovino","2009","15247000000.00000"
"Bovino","2010","13403000000.00000"
"Bovino","2011","13060000000.00000"
"Bovino","2012","13496000000.00000"
"Bovino","2013","13990000000.00000"
"Bovino","2014","13923000000.00000"
"Bovino","2015","13904000000.00000"
"Bovino","2016","13925000000.00000"
"Bovino","2017","14249000000.00000"
"Bovino","2018","14836000000.00000"
"Bovino","2019","14950000000.00000"
"Bovino","2020","14818000000.00000"
"Bovino","2021","14470000000.00000"
"Caprino","2001","212000000.00000"
"Caprino","2002","212000000.00000"
"Caprino","2003","212000000.00000"
"Caprino","2004","211000000.00000"
"Caprino","2005","196000000.00000"
"Caprino","2006","206000000.00000"
"Caprino","2007","179000000.00000"
"Caprino","2008","154000000.00000"
"Caprino","2009","143000000.00000"
"Caprino","2010","135000000.00000"
"Caprino","2011","131000000.00000"
"Caprino","2012","81000000.00000"
"Caprino","2013","78000000.00000"
"Caprino","2014","91000000.00000"
"Caprino","2015","84000000.00000"
"Caprino","2016","91000000.00000"
"Caprino","2017","83000000.00000"
"Caprino","2018","91000000.00000"
"Caprino","2019","98000000.00000"
"Caprino","2020","102000000.00000"
"Caprino","2021","105000000.00000"
