"geocodigoFundar","geonombreFundar","year","share_expo","product"
"ARG","Argentina","1962","0.11151","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1963","0.14982","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1964","0.16107","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1965","0.14875","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1966","0.14819","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1967","0.13661","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1968","0.10893","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1969","0.14689","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1970","0.13371","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1971","0.13256","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1972","0.23616","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1973","0.15182","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1974","0.05284","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1975","0.03067","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1976","0.05366","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1977","0.04956","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1978","0.05650","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1979","0.08101","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1980","0.05064","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1981","0.04595","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1982","0.04974","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1983","0.03243","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1984","0.01661","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1985","0.01383","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1986","0.02300","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1987","0.02984","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1988","0.02451","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1989","0.02851","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1990","0.02924","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1991","0.02605","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1992","0.02153","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1993","0.01999","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1994","0.02488","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1995","0.02747","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1996","0.02180","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1997","0.01993","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1998","0.01624","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","1999","0.01984","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2000","0.01619","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2001","0.00344","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2002","0.01182","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2003","0.01440","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2004","0.01958","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2005","0.02494","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2006","0.02118","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2007","0.01826","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2008","0.01714","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2009","0.02384","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2010","0.01302","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2011","0.01181","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2012","0.01069","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2013","0.01149","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2014","0.01322","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2015","0.01234","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2016","0.01498","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2017","0.01727","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2018","0.02269","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2019","0.03433","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2020","0.04066","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2021","0.02913","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2022","0.03018","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2023","0.03244","Carne bovina, fresca, enfriada o congelada"
"ARG","Argentina","2024","0.02826","Carne bovina, fresca, enfriada o congelada"
