geocodigoFundar,geonombreFundar,valor
AFG,Afganistán,28480.02
AGO,Angola,55384.74
ALB,Albania,13250.0
ARE,Emiratos Árabes Unidos,46494.0
ARG,Argentina,2294101.41
ARM,Armenia,14600.0
ATG,Antigua y Barbuda,33.6
AUS,Australia,1292240.0
AUT,Austria,129390.0
AZE,Azerbaiyán,124388.0
BDI,Burundi,8228.51
BEL,Bélgica,447710.0
BEN,Benin,9359.4
BFA,Burkina Faso,149121.0
BGD,Bangladesh,215838.43
BGR,Bulgaria,90680.0
BHR,Bahrein,8262.0
BHS,Bahamas,6138.01
BIH,Bosnia y Herzegovina,63703.0
BLR,Belarús,503200.0
BLZ,Belice,19187.0
BOL,Bolivia,506148.14
BRA,Brasil,14329000.0
BRB,Barbados,13183.0
BRN,Brunei,31444.55
BTN,Bhután,1865.5
BWA,Botswana,1266.77
CAF,Rep. Centroafricana,6444.39
CAN,Canadá,1334020.0
CHE,Suiza,107315.0
CHL,Chile,680289.52
CHN,China,14700000.0
CIV,Costa de Marfil,63949.0
CMR,Camerún,104762.07
COD,Rep. Dem. Congo,10532.0
COG,Congo,6883.75
COK,Islas Cook,16.27
COL,Colombia,1694334.86
COM,Comoras,585.02
CPV,Cabo Verde,581.35
CRI,Costa Rica,147816.0
CUB,Cuba,17918.0
CYP,Chipre,26640.0
CZE,Chequia,167980.0
DEU,Alemania,1080000.0
DMA,Dominica,369.44
DNK,Dinamarca,163100.0
DOM,Rep. Dominicana,347491.61
DZA,Argelia,273520.2
ECU,Ecuador,489786.0
EGY,Egipto,2403000.0
ERI,Eritrea,1143.15
ESP,España,1331410.0
EST,Estonia,23300.0
ETH,Etiopía,48847.93
F351,China,15413190.6
FIN,Finlandia,138600.0
FJI,Fiji,25715.0
FRA,Francia,1143000.0
FSM,Micronesia,160.56
GAB,Gabón,4111.35
GBR,Reino Unido,1841000.0
GEO,Georgia,25000.0
GHA,Ghana,65190.0
GIN,Guinea,14996.93
GMB,Gambia,1098.56
GNB,Guinea-Bissau,3076.86
GNQ,Guinea Ecuatorial,260.25
GRC,Grecia,235500.0
GRD,Granada,421.17
GTM,Guatemala,342169.0
GUY,Guyana,48945.0
HKG,Hong Kong,25550.86
HND,Honduras,243580.67
HRV,Croacia,58610.0
HTI,Haití,8753.27
HUN,Hungría,367610.0
IDN,Indonesia,3455498.0
IND,India,4641260.08
IRL,Irlanda,147770.0
IRN,Irán,2106293.0
IRQ,Iraq,144702.0
ISL,Islandia,8997.0
ISR,Israel,541292.0
ITA,Italia,1068500.0
JAM,Jamaica,125192.0
JOR,Jordania,246582.0
JPN,Japón,2342999.77
KAZ,Kazajstán,263560.5
KEN,Kenia,89450.0
KGZ,Kirguistán,11069.0
KHM,Camboya,16296.78
KIR,Kiribati,991.03
KNA,Saint Kitts y Nevis,16.5
KOR,Corea del Sur,935000.0
KWT,Kuwait,64345.25
LAO,Laos,36417.38
LBN,Líbano,126642.43
LBR,Liberia,14336.68
LBY,Libia,131084.67
LCA,Santa Lucía,1366.27
LKA,Sri Lanka,236790.0
LSO,Lesotho,1060.13
LTU,Lituania,85030.0
LUX,Luxemburgo,0.0
LVA,Letonia,35080.0
MAC,Macao,3216.74
MAR,Marruecos,525000.0
MDA,Moldavia,51599.94
MDG,Madagascar,52991.44
MEX,México,3668551.32
MKD,Macedonia del Norte,1695.0
MLI,Malí,59779.99
MLT,Malta,4070.0
MMR,Myanmar,620000.0
MNE,Montenegro,1332.66
MNG,Mongolia,245.8
MOZ,Mozambique,135708.0
MRT,Mauritania,3992.52
MUS,Mauricio,49100.0
MWI,Malawi,143705.34
MYS,Malasia,1583219.5
NAM,Namibia,11663.24
NCL,Nueva Caledonia,888.0
NER,Níger,20206.66
NGA,Nigeria,342959.34
NIC,Nicaragua,143283.01
NIU,Niue,24.78
NLD,Países Bajos,869380.0
NOR,Noruega,106043.0
NPL,Nepal,226959.0
NRU,Nauru,4.02
NZL,Nueva Zelanda,224397.0
OMN,Omán,6563.9
PAK,Pakistán,1809000.0
PAN,Panamá,197594.0
PER,Perú,1751607.81
PHL,Filipinas,1343496.28
PNG,Papúa Nueva Guinea,6708.4
POL,Polonia,2096770.0
PRI,Puerto Rico,24479.01
PRK,Corea del Norte,30902.16
PRT,Portugal,300040.0
PRY,Paraguay,75054.51
PSE,Palestina,37625.45
PYF,Polinesia Francesa,591.31
QAT,Qatar,35344.0
ROU,Rumania,451850.0
RUS,Rusia,4617338.0
RWA,Ruanda,13457.71
SAU,Arabia Saudita,930000.0
SDN,Sudán,79814.97
SEN,Senegal,133202.0
SGP,Singapur,75961.95
SLB,Islas Salomón,284.55
SLE,Sierra Leona,19748.04
SLV,El Salvador,155405.52
SOM,Somalia,3986.05
SRB,Serbia,110528.0
SSD,Sudán del Sur,49274.75
STP,Santo Tomé y Príncipe,701.17
SUR,Suriname,12332.0
SVN,Eslovenia,66600.0
SWE,Suecia,179690.0
SWZ,Eswatini,5520.55
SYC,Seychelles,1470.15
SYR,Siria,113313.0
TCD,Chad,6498.61
TGO,Togo,24911.34
THA,Tailandia,1796629.84
TJK,Tayikistán,30900.0
TKL,Tokelau,4.84
TKM,Turkmenistán,21555.0
TLS,Timor-Leste,530.48
TON,Tonga,273.96
TTO,Trinidad y Tobago,46112.82
TUN,Túnez,152300.0
TUR,Turquía,2245770.43
TUV,Tuvalu,62.95
TWN,Taiwán,684423.0
TZA,Tanzanía,86206.0
UGA,Uganda,69340.26
UKR,Ucrania,1313700.0
URY,Uruguay,82421.0
USA,Estados Unidos,19003499.0
UZB,Uzbekistán,123600.0
VCT,San Vicente y las Granadinas,452.73
VEN,Venezuela,432395.88
VNM,Vietnam,1277360.73
VUT,Vanuatu,618.65
WSM,Samoa,403.33
YEM,Yemen,198878.58
ZAF,Sudáfrica,1910000.0
ZMB,Zambia,50533.34
ZWE,Zimbabwe,113000.0
